case_id	is_target	source_exp	source_variant	source_slug	source_tree	contact_source_case	raw_frame_count	trimmed_frames	fps
box001_20231003_1_041_p1	false	E173	omnirt_v2	dcv3_omnirt_v2_ref_fk_box001_20231003_1_041_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box001_20231003_1_041_p1	166	147	30
box001_20231003_1_041_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231003_1_041_p2	166	142	30
box001_20231003_1_042_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231003_1_042_p1	156	109	30
box001_20231003_1_042_p2	false	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231003_1_042_p2	156	122	30
box001_20231003_2_037_p1	false	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231003_2_037_p1	128	110	30
box001_20231003_2_037_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231003_2_037_p2	128	115	30
box001_20231003_2_038_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231003_2_038_p1	130	109	30
box001_20231003_2_038_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231003_2_038_p2	130	110	30
box001_20231023_107_p1	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231023_107_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231023_107_p1	117	102	30
box001_20231023_107_p2	true	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231023_107_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231023_107_p2	117	97	30
box001_20231023_108_p1	true	E173	omnirt_v2	dcv3_omnirt_v2_ref_fk_box001_20231023_108_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box001_20231023_108_p1	145	119	30
box001_20231023_108_p2	false	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231023_108_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231023_108_p2	145	107	30
box001_20231023_110_p1	true	E173	omnirt_v2	dcv3_omnirt_v2_ref_fk_box001_20231023_110_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box001_20231023_110_p1	201	174	30
box001_20231023_110_p2	false	E173	omnirt_v1	dcv3_omnirt_v1_ref_fk_box001_20231023_110_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box001_20231023_110_p2	201	190	30
box004_20231003_2_082_p1	true	E172	omnirt_v1	dcv3_omnirt_v1_ref_fk_box004_20231003_2_082_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E172/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box004_20231003_2_082_p1	139	109	30
box004_20231003_2_082_p2	false	E172	omnirt_v2	dcv3_omnirt_v2_ref_fk_box004_20231003_2_082_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E172/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box004_20231003_2_082_p2	139	108	30
box004_20231003_2_083_p1	true	E172	omnirt_v1	dcv3_omnirt_v1_ref_fk_box004_20231003_2_083_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E172/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box004_20231003_2_083_p1	121	102	30
box004_20231003_2_083_p2	true	E172	omnirt_v1	dcv3_omnirt_v1_ref_fk_box004_20231003_2_083_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E172/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box004_20231003_2_083_p2	121	105	30
box021_20231011_036_p1	false	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231011_036_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231011_036_p1	201	143	30
box021_20231011_036_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231011_036_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231011_036_p2	201	144	30
box021_20231011_037_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231011_037_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231011_037_p1	217	108	30
box021_20231011_037_p2	false	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231011_037_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231011_037_p2	217	124	30
box021_20231011_038_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231011_038_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231011_038_p1	193	114	30
box021_20231011_038_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231011_038_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231011_038_p2	193	117	30
box021_20231018_028_p1	false	E170	omnirt_v2	dcv3_omnirt_v2_ref_fk_box021_20231018_028_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk	box021_20231018_028_p1	101	74	30
box021_20231018_028_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_028_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_028_p2	101	93	30
box021_20231018_029_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_029_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_029_p1	134	71	30
box021_20231018_029_p2	false	E197_rerun	omnirt_v1	rl_partner_omnirt_omnirt_v1_box021_20231018_029_p2	/home/ubuntu/Workspace/spider/workspace/core4d/results/E197/s6_downstream/rl_export/partner_omnirt_rerun/omnirt_v1/results/omnirt_v1	box021_20231018_029_p1	134	75	30
box021_20231018_030_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_030_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_030_p1	172	88	30
box021_20231018_030_p2	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_030_p2	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_030_p2	172	88	30
box021_20231018_032_p1	true	E170	omnirt_v1	dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk	box021_20231018_032_p1	119	82	30
