case_id	object_key	source_exp	retarget_variant_id	qpos_frames	euler_convention	roundtrip_position_error_cm_max	roundtrip_orientation_error_deg_max	omnirt_contact_3mm_in_mask	prg_contact_3mm_in_mask	delta_prg_minus_omnirt_contact_3mm_in_mask	improvement_contact_3mm_in_mask	omnirt_raw_contact_in_mask	prg_raw_contact_in_mask	delta_prg_minus_omnirt_raw_contact_in_mask	improvement_raw_contact_in_mask	omnirt_hand_object_penetration_3mm	prg_hand_object_penetration_3mm	delta_prg_minus_omnirt_hand_object_penetration_3mm	improvement_hand_object_penetration_3mm	omnirt_lower_body_penetration	prg_lower_body_penetration	delta_prg_minus_omnirt_lower_body_penetration	improvement_lower_body_penetration	omnirt_foot_slip_max_m	prg_foot_slip_max_m	delta_prg_minus_omnirt_foot_slip_max_m	improvement_foot_slip_max_m	omnirt_obj_speed_max	prg_obj_speed_max	delta_prg_minus_omnirt_obj_speed_max	improvement_obj_speed_max	omnirt_ankle_jerk_p95	prg_ankle_jerk_p95	delta_prg_minus_omnirt_ankle_jerk_p95	improvement_ankle_jerk_p95
box001_20231003_1_039_p1	box001	E173	omnirt_v1	126	XZY	7.021666937e-14	1.707547293e-06	0	0.6136363636	0.6136363636	0.6136363636	0.9886363636	0.8977272727	-0.0909090909	-0.0909090909	0.6984126984	0.1984126984	-0.5	0.5	0.007936507937	0	-0.007936507937	0.007936507937	1.990374514	0.7864476971	-1.203926817	1.203926817	2.36336184	1.34044098	-1.02292086	1.02292086	1571.100675	760.191483	-810.909192	810.909192
box001_20231003_1_039_p2	box001	E173	omnirt_v1	125	XZY	4.577566799e-14	2.414836539e-06	0	0.6794871795	0.6794871795	0.6794871795	1	0.7435897436	-0.2564102564	-0.2564102564	0.648	0.04	-0.608	0.608	0.032	0	-0.032	0.032	1.895656809	1.53603724	-0.359619569	0.359619569	2.385994076	1.531528116	-0.85446596	0.85446596	1995.133234	782.0929713	-1213.040263	1213.040263
box001_20231003_1_040_p1	box001	E173	omnirt_v1	130	ZYX	5.236911533e-14	2.414836539e-06	0	0.4324324324	0.4324324324	0.4324324324	1	0.7702702703	-0.2297297297	-0.2297297297	0.6	0.1923076923	-0.4076923077	0.4076923077	0.1153846154	0.1461538462	0.0307692308	-0.0307692308	1.719547408	1.211315369	-0.508232039	0.508232039	1.808062128	1.786121038	-0.02194109	0.02194109	1599.793209	847.4034532	-752.3897558	752.3897558
box001_20231003_1_040_p2	box001	E173	omnirt_v2	128	ZYX	8.082545621e-14	2.414836539e-06	0.05479452055	0.2191780822	0.1643835617	0.1643835617	1	0.9178082192	-0.0821917808	-0.0821917808	0.5390625	0.4140625	-0.125	0.125	0	0	0	-0	1.940457545	0.5821039547	-1.35835359	1.35835359	1.825377091	1.849028692	0.023651601	-0.023651601	1338.877219	656.0980107	-682.7792083	682.7792083
box001_20231003_1_041_p1	box001	E173	omnirt_v2	147	ZYX	8.082545621e-14	2.957558667e-06	0.01724137931	0.3448275862	0.3275862069	0.3275862069	0.8275862069	0.8965517241	0.0689655172	0.0689655172	0.7074829932	0.4693877551	-0.2380952381	0.2380952381	0.06802721088	0	-0.06802721088	0.06802721088	2.143543782	1.709945953	-0.433597829	0.433597829	4.084323376	1.478975524	-2.605347852	2.605347852	1572.909304	639.4227115	-933.4865925	933.4865925
box001_20231003_1_041_p2	box001	E173	omnirt_v1	142	ZYX	5.438959822e-14	2.414836539e-06	0.05504587156	0.5321100917	0.4770642201	0.4770642201	1	0.7798165138	-0.2201834862	-0.2201834862	0.7394366197	0.1971830986	-0.5422535211	0.5422535211	0	0.1126760563	0.1126760563	-0.1126760563	1.73663662	1.060781118	-0.675855502	0.675855502	4.123435561	1.358548589	-2.764886972	2.764886972	1506.672842	592.0127376	-914.6601044	914.6601044
box001_20231003_1_042_p1	box001	E173	omnirt_v1	109	XZY	4.652682299e-14	2.414836539e-06	0.01515151515	0.5606060606	0.5454545454	0.5454545454	1	0.9393939394	-0.0606060606	-0.0606060606	0.623853211	0.3027522936	-0.3211009174	0.3211009174	0	0	0	-0	0.5821989197	0.9343621088	0.3521631891	-0.3521631891	4.328086818	0.8694193129	-3.458667505	3.458667505	1181.644471	398.563334	-783.081137	783.081137
box001_20231003_1_042_p2	box001	E173	omnirt_v1	122	XZY	3.642754084e-14	2.414836539e-06	0	0.1746031746	0.1746031746	0.1746031746	1	0.5714285714	-0.4285714286	-0.4285714286	0.5737704918	0.2049180328	-0.368852459	0.368852459	0	0	0	-0	0.8482788192	0.7031328883	-0.1451459309	0.1451459309	4.369534523	1.064126105	-3.305408418	3.305408418	1119.690837	673.6830931	-446.0077439	446.0077439
box001_20231003_1_043_p2	box001	E173	omnirt_v1	119	ZYX	3.140184917e-14	2.957558667e-06	0	0.3188405797	0.3188405797	0.3188405797	1	0.6666666667	-0.3333333333	-0.3333333333	0.6134453782	0.2268907563	-0.3865546219	0.3865546219	0.01680672269	0.02521008403	0.00840336134	-0.00840336134	1.719843097	0.5706033693	-1.149239728	1.149239728	5.695547356	1.871137954	-3.824409402	3.824409402	1517.879482	1343.556156	-174.323326	174.323326
box001_20231003_2_037_p1	box001	E173	omnirt_v1	110	XZY	2.719479911e-14	1.707547293e-06	0	0.3875	0.3875	0.3875	0.975	0.95	-0.025	-0.025	0.7272727273	0.4090909091	-0.3181818182	0.3181818182	0.009090909091	0	-0.009090909091	0.009090909091	1.579058349	0.8843357066	-0.6947226424	0.6947226424	2.819878374	1.134807261	-1.685071113	1.685071113	1436.138859	661.3123573	-774.8265017	774.8265017
