case_id	object_key	source_exp	retarget_variant_id	metric_standard_id	prg_qpos	prg_qpos_sha256	scene_xml	scene_xml_sha256	trajectory	trajectory_sha256	contact_mask	contact_mask_sha256	person_idx	input_status
box001_20231003_1_039_p1	box001	E173	omnirt_v1	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_039_p1_PRG_outdir_full/trajectory_mjwp_act.npz	90dd50afe3f4d15936bab2feaa61883f6c6c367b92af64a148082304595fe4db	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_039_p1/scene_act_E173_rubberHull_PRG.xml	03547b71aa503d7a8c5e39e982d5e245e6ee62e4d5a262bf4dc733cb9ef7f73c	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_039_p1/0/trajectory_kinematic.npz	e199d8f2f55179e98cef6cdbe52ebc954ba033d1ee4bd795756d850a309e94a0	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_039_p1/raw_contact_mask_3cm.npz	a169c93200db65c7eb58970e3f06d8881d6eac16ba6cf327433b6abd83b4ba25	0	pass
box001_20231003_1_039_p2	box001	E173	omnirt_v1	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_039_p2_PRG_outdir_full/trajectory_mjwp_act.npz	04772112afcfa6c06f5cd1f12ab969c7bdc9f22b4a26d233ea1a08972b718d3a	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_039_p2/scene_act_E173_rubberHull_PRG.xml	243a1c6018eec6030129fca40bc531c6f580b36e980de6888f7c791b127a26c0	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_039_p2/0/trajectory_kinematic.npz	fd6166acff553e8b0b898adbd811c8207d6617061d0c6ab6f0505f7aace8b01b	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_039_p2/raw_contact_mask_3cm.npz	3345d4941425ec7ef68ffee4aafd668ac19bada226bd44318f9baeb570d284ad	1	pass
box001_20231003_1_040_p1	box001	E173	omnirt_v1	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_040_p1_PRG_outdir_full/trajectory_mjwp_act.npz	f1711adf588e93521f2eed25618b4079b52d908d1fba7b8c70a6adb1a5642fbd	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_040_p1/scene_act_E173_rubberHull_PRG.xml	2523ff319f9fe67b2e70591681e7fb20dba95c9e213ca301591fb64a15fce1d6	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_040_p1/0/trajectory_kinematic.npz	d47c4c144c9b5f6282aa9a38ec243399626fe32ff7ad5b59a92d1c05bb85121a	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_040_p1/raw_contact_mask_3cm.npz	71699f49a5edbe310775ea8d2f42bfa7935e8e0025e2c43381f9a53da06721da	0	pass
box001_20231003_1_040_p2	box001	E173	omnirt_v2	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_040_p2_PRG_outdir_full/trajectory_mjwp_act.npz	81285d222b350c39172bd0ad8813c786a00d040e267babfd04a730b3e31a052f	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_1_040_p2/scene_act_E173_rubberHull_PRG.xml	39c7199d2895d43add9ebbce4c33dc151232f3f85516dad2a01a05f5fe0fc3f8	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_1_040_p2/0/trajectory_kinematic.npz	0a50e9c5a1a5d5385089df7b9d6a3703a4707f2b415ef09d2be1cc50c45d4d39	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk/contact_masks/dcv3_omnirt_v2_ref_fk_box001_20231003_1_040_p2/raw_contact_mask_3cm.npz	ff6bc37767f4c306d07eab81dd8d62d3a89e0238ca717def83972ba8e1e5b949	1	pass
box001_20231003_1_041_p1	box001	E173	omnirt_v2	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_041_p1_PRG_outdir_full/trajectory_mjwp_act.npz	3f63570db24a69961a2e6791d3325f5f15edf810af57d98d5902bce3787b77e2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_1_041_p1/scene_act_E173_rubberHull_PRG.xml	ceb3ff107335f4bb07c820bd5d1c74d9e1135d2bd2fcf2aa76d79039bee0f943	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_1_041_p1/0/trajectory_kinematic.npz	34765c4de314ed17edd53a2afab0aa18abd0315f6298cb459594aa75bf36f3b7	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk/contact_masks/dcv3_omnirt_v2_ref_fk_box001_20231003_1_041_p1/raw_contact_mask_3cm.npz	7bb8e148f043243a5519521fc70fbd5658141d15f86f7765ff6c97a2d339cf66	0	pass
box001_20231003_1_041_p2	box001	E173	omnirt_v1	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_041_p2_PRG_outdir_full/trajectory_mjwp_act.npz	deff98285ca1389630d417b138241d41e83e6fd6d6d199009650a994bc2fa71c	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/scene_act_E173_rubberHull_PRG.xml	d7a58ec4b22dfe390952ebe16d4fe8f58b624c57f801413acb26045af5362eba	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/0/trajectory_kinematic.npz	c5ab8d4d72aed89e944e0096b6afe17758b8f3a3127e85afdb320bd8a3f2bc40	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/raw_contact_mask_3cm.npz	7f96b83d4d7ef4079d90084eb09f8bdbc5f892c0065bd886317efcd03b22282a	1	pass
box001_20231003_1_042_p1	box001	E173	omnirt_v1	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_042_p1_PRG_outdir_full/trajectory_mjwp_act.npz	24ce8b943eaf9c4034a56175061ee8d94be4bf9ae43d0eed2edc9f324d5e3d04	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/scene_act_E173_rubberHull_PRG.xml	bedeeedeb65c96aed9bb55a89d0447e829517ded48094d44843d8d7c01654948	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/0/trajectory_kinematic.npz	693133944d7b8ca91547743b57c6df08b47318de6722f2728c8f47347f311e39	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/raw_contact_mask_3cm.npz	cb5d820da879141253160041b0cce9414cfe6fa4074d34f69bf4d069465215f2	0	pass
box001_20231003_1_042_p2	box001	E173	omnirt_v1	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_042_p2_PRG_outdir_full/trajectory_mjwp_act.npz	cc554f2899a06783bdff029733d7f70db89af871866445a86564f485e8861d55	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/scene_act_E173_rubberHull_PRG.xml	0bc7865d9c0e3aa812f9dfc4db35a3c1ff23454c1d7c70d3cbb9d4cda200ac29	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/0/trajectory_kinematic.npz	db6c4e6adb3d1688648041a9b597a2c2a27f7cb6a5af64cad923f0115e27170d	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/raw_contact_mask_3cm.npz	68e952cabeedd065baee229cb439f6568b580d384ff52ddfe138f5027ef371ad	1	pass
box001_20231003_1_043_p2	box001	E173	omnirt_v1	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_1_043_p2_PRG_outdir_full/trajectory_mjwp_act.npz	fdb0388569286c4277702a6cf7403e9e0f8a9b4c950f87430f25cdd86618a2bd	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/scene_act_E173_rubberHull_PRG.xml	8099d371762503bffa0e32f68cfb7d5c1e6e8ed4e736c467362e75d349f53eb4	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/0/trajectory_kinematic.npz	cc94cebfd0f8b91246f1af8da11a0e9073581aeec3d4118ece68c028ae13a762	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_1_043_p2/raw_contact_mask_3cm.npz	34748680491e256f39f73a9acdf99ae8c8f07575199bb08c4dcd42302ef798a9	1	pass
box001_20231003_2_037_p1	box001	E173	omnirt_v1	core4d-e154-physics-contact-v1	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s6_downstream/cem/full/E173_box001_20231003_2_037_p1_PRG_outdir_full/trajectory_mjwp_act.npz	d4682f5f2ced19488984a944d1457e41ef2225be7e747a29a638d1fd3528b101	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/scene_act_E173_rubberHull_PRG.xml	280a7a64984c689bbee036491a4c32955d4c1673a96e9dfe6c0dde4a586680f5	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/0/trajectory_kinematic.npz	4539ce4f62042ec1e56efe17073715ad01b7c3a1e9fa7c9f1581c5ddeca5bd0d	/mnt/a0ccc676-9496-49f8-a861-f8a1797dec52/spider_workdirs/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/raw_contact_mask_3cm.npz	8bcd43b3255f0a6b263fff0207293a936e55f92a7175708bfd3d33d0d9d59c3c	0	pass
