case_id	object_key	gate_version	calibration_arm	candidate_arm	threshold_omni_absolute_wide_contact_3mm_in_mask	omnirt_omni_absolute_wide_contact_3mm_in_mask	omnirt_gate_pass_omni_absolute_wide_contact_3mm_in_mask	threshold_omni_absolute_wide_contact_3mm_in_mask_box024	omnirt_omni_absolute_wide_contact_3mm_in_mask_box024	omnirt_gate_pass_omni_absolute_wide_contact_3mm_in_mask_box024	threshold_omni_absolute_wide_raw_contact_in_mask	omnirt_omni_absolute_wide_raw_contact_in_mask	omnirt_gate_pass_omni_absolute_wide_raw_contact_in_mask	threshold_omni_absolute_wide_hand_object_penetration_3mm	omnirt_omni_absolute_wide_hand_object_penetration_3mm	omnirt_gate_pass_omni_absolute_wide_hand_object_penetration_3mm	threshold_omni_absolute_wide_lower_body_penetration	omnirt_omni_absolute_wide_lower_body_penetration	omnirt_gate_pass_omni_absolute_wide_lower_body_penetration	threshold_omni_absolute_wide_foot_slip_max_m	omnirt_omni_absolute_wide_foot_slip_max_m	omnirt_gate_pass_omni_absolute_wide_foot_slip_max_m	threshold_omni_absolute_wide_ankle_jerk_p95	omnirt_omni_absolute_wide_ankle_jerk_p95	omnirt_gate_pass_omni_absolute_wide_ankle_jerk_p95	omnirt_wide_gate_pass	omnirt_failure_modes	rl_filter_decision	rl_export_authority
box001_20231003_1_039_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	0.9886363636	true	0.8	0.6984126984	true	0.3	0.007936507937	true	1.9	1.990374514	false	4000	1571.100675	true	false	omni_absolute_wide_contact_3mm_in_mask;omni_absolute_wide_foot_slip_max_m	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_039_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.648	true	0.3	0.032	true	1.9	1.895656809	true	4000	1995.133234	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_040_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.6	true	0.3	0.1153846154	true	1.9	1.719547408	true	4000	1599.793209	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_040_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.05479452055	true				0.5	1	true	0.8	0.5390625	true	0.3	0	true	1.9	1.940457545	false	4000	1338.877219	true	false	omni_absolute_wide_foot_slip_max_m	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_041_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.01724137931	true				0.5	0.8275862069	true	0.8	0.7074829932	true	0.3	0.06802721088	true	1.9	2.143543782	false	4000	1572.909304	true	false	omni_absolute_wide_foot_slip_max_m	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_041_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.05504587156	true				0.5	1	true	0.8	0.7394366197	true	0.3	0	true	1.9	1.73663662	true	4000	1506.672842	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_042_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0.01515151515	true				0.5	1	true	0.8	0.623853211	true	0.3	0	true	1.9	0.5821989197	true	4000	1181.644471	true	true		RL_CANDIDATE_OMNI_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_042_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.5737704918	true	0.3	0	true	1.9	0.8482788192	true	4000	1119.690837	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_043_p2	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	1	true	0.8	0.6134453782	true	0.3	0.01680672269	true	1.9	1.719843097	true	4000	1517.879482	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_037_p1	box001	E197-omni-absolute-wide-v4	OmniRetarget	OmniRetarget	0.01	0	false				0.5	0.975	true	0.8	0.7272727273	true	0.3	0.009090909091	true	1.9	1.579058349	true	4000	1436.138859	true	false	omni_absolute_wide_contact_3mm_in_mask	RL_CANDIDATE_FILTERED_OMNI_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
