case_id	object_key	source_exp	retarget_variant_id	qpos42_path	qpos42_sha256	qpos42_shape	trajectory_kinematic	trajectory_sha256	trajectory_qpos_shape	stage2b_manifest	converted_npz	omniretarget_output_npz	trimmed_npz	manifest_spider_trajectory	manifest_scene_act	solver_family	solver_version	manifest_match
box001_20231003_1_041_p2	box001	E173	omnirt_v1	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_1_041_p2_omnirt_scene_act_qpos.npz	0fd94298ca3ba322d77ac8558b0243918b938cfd5ec9f77c8471480dfe4fa2ee	(142, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/0/trajectory_kinematic.npz	c5ab8d4d72aed89e944e0096b6afe17758b8f3a3127e85afdb320bd8a3f2bc40	(142, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/stage2b_manifest_omnirt_v1_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/converted/20231003_1-041-person2-box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/retargeted/20231003_1-041-person2-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/trimmed/20231003_1-041-person2-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_041_p2/0/trajectory_kinematic.npz		omniretarget	v1_current	FOUND
box001_20231003_1_042_p1	box001	E173	omnirt_v1	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_1_042_p1_omnirt_scene_act_qpos.npz	fa25afc72cd4e49c7194796be2c75d9f62063e43a69f0d95e774d71811bb5f65	(109, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/0/trajectory_kinematic.npz	693133944d7b8ca91547743b57c6df08b47318de6722f2728c8f47347f311e39	(109, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/stage2b_manifest_omnirt_v1_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/converted/20231003_1-042-person1-box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/retargeted/20231003_1-042-person1-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/trimmed/20231003_1-042-person1-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/0/trajectory_kinematic.npz		omniretarget	v1_current	FOUND
box001_20231003_2_037_p2	box001	E173	omnirt_v1	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_2_037_p2_omnirt_scene_act_qpos.npz	e515540c2d5ef4f0779d0a41eb52e83ac85c3c606d3a16072a6098ef2d3af05e	(115, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p2/0/trajectory_kinematic.npz	f2eb95976d4e8b2bbf9041288b32f3c2da697aba7cd971e7453e8f71fec6e4bb	(115, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/stage2b_manifest_omnirt_v1_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p2/converted/20231003_2-037-person2-box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p2/retargeted/20231003_2-037-person2-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p2/trimmed/20231003_2-037-person2-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p2/0/trajectory_kinematic.npz		omniretarget	v1_current	FOUND
box001_20231003_2_038_p1	box001	E173	omnirt_v1	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_2_038_p1_omnirt_scene_act_qpos.npz	7a5776b59e1d01219c839c19b2db4ffbf85247ea9ac1003f2cd5ce04f1719e9f	(109, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p1/0/trajectory_kinematic.npz	2dbbd5c8a30589dee6f92754492532dbbebef8d28d5db8d1d453d112d8a9410b	(109, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/stage2b_manifest_omnirt_v1_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p1/converted/20231003_2-038-person1-box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p1/retargeted/20231003_2-038-person1-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p1/trimmed/20231003_2-038-person1-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p1/0/trajectory_kinematic.npz		omniretarget	v1_current	FOUND
box001_20231003_2_038_p2	box001	E173	omnirt_v1	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231003_2_038_p2_omnirt_scene_act_qpos.npz	e1567fe1db252fb14b52fc74a4847b022013afded4dc171e801e68816e927a21	(110, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p2/0/trajectory_kinematic.npz	ff357c05836685b2b43d6ae63b4532475730dea6e8ea2b102d7a791bcf151986	(110, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/stage2b_manifest_omnirt_v1_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p2/converted/20231003_2-038-person2-box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p2/retargeted/20231003_2-038-person2-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p2/trimmed/20231003_2-038-person2-box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p2/0/trajectory_kinematic.npz		omniretarget	v1_current	FOUND
box001_20231023_107_p1	box001	E173	omnirt_v1	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231023_107_p1_omnirt_scene_act_qpos.npz	7b5134871d1af0fdff891918111b7a8ef38f06bcfdcb1296683b17560d465f3a	(102, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_107_p1/0/trajectory_kinematic.npz	e79541695982c573766a5ab2a832447e7478ad4df78630c4e984cd642ef451e8	(102, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/stage2b_manifest_omnirt_v1_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231023_107_p1/converted/20231023-107-person1-Box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231023_107_p1/retargeted/20231023-107-person1-Box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231023_107_p1/trimmed/20231023-107-person1-Box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_107_p1/0/trajectory_kinematic.npz		omniretarget	v1_current	FOUND
box001_20231023_107_p2	box001	E173	omnirt_v1	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231023_107_p2_omnirt_scene_act_qpos.npz	224be4f19712e6ef359f3ff50a31626c42da1dd44b6aa2ee6b2f01f00335aea6	(97, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_107_p2/0/trajectory_kinematic.npz	f75cd1a3eb31859c35c942be45fc05e87f6d8237330546b7c2092a2a12166376	(97, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/stage2b_manifest_omnirt_v1_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231023_107_p2/converted/20231023-107-person2-Box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231023_107_p2/retargeted/20231023-107-person2-Box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box001_20231023_107_p2/trimmed/20231023-107-person2-Box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231023_107_p2/0/trajectory_kinematic.npz		omniretarget	v1_current	FOUND
box001_20231023_108_p1	box001	E173	omnirt_v2	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231023_108_p1_omnirt_scene_act_qpos.npz	f53e3718bfae91a0a2dee504b39d9f828ddd51b8498c649f744e4691ab37e603	(119, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231023_108_p1/0/trajectory_kinematic.npz	bb132b3428c37005a5948d3277ae3d4f420eccbd32a606d48a7de6608bdf907d	(119, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/stage2b_manifest_omnirt_v2_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk/holosoma_dcv3_omnirt_v2_ref_fk_box001_20231023_108_p1/converted/20231023-108-person1-Box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk/holosoma_dcv3_omnirt_v2_ref_fk_box001_20231023_108_p1/retargeted/20231023-108-person1-Box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk/holosoma_dcv3_omnirt_v2_ref_fk_box001_20231023_108_p1/trimmed/20231023-108-person1-Box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231023_108_p1/0/trajectory_kinematic.npz		omniretarget	v2_phase4_current	FOUND
box001_20231023_110_p1	box001	E173	omnirt_v2	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box001_20231023_110_p1_omnirt_scene_act_qpos.npz	894de033fce9de3e7f316323389d0731be8b88c7c30eca27d6e17821f1ccef55	(174, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231023_110_p1/0/trajectory_kinematic.npz	a6489404f7027e5ad00b2015ff15dd554e3a3b7c44bfffc7a1458c85bf7f7e37	(174, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/stage2b_manifest_omnirt_v2_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk/holosoma_dcv3_omnirt_v2_ref_fk_box001_20231023_110_p1/converted/20231023-110-person1-Box001_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk/holosoma_dcv3_omnirt_v2_ref_fk_box001_20231023_110_p1/retargeted/20231023-110-person1-Box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E173/s3_retarget/omnirt_v2/ref_fk/results/omnirt_v2_ref_fk/holosoma_dcv3_omnirt_v2_ref_fk_box001_20231023_110_p1/trimmed/20231023-110-person1-Box001_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231023_110_p1/0/trajectory_kinematic.npz		omniretarget	v2_phase4_current	FOUND
box004_20231003_2_082_p1	box004	E172	omnirt_v1	/home/ubuntu/Workspace/spider/workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omni_converted_qpos/box004_20231003_2_082_p1_omnirt_scene_act_qpos.npz	b14b351ae106fbe00bb83f14759d13d8df0ee0a3eefd62eacb60157fae9950c8	(109, 42)	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box004_20231003_2_082_p1/0/trajectory_kinematic.npz	8bf91d135985ab03fbbc73c100c058b332d3ca6226f8fe0c3afb5bb4037705ac	(109, 43)	/home/ubuntu/Workspace/spider/workspace/core4d/results/E172/s3_retarget/omnirt_v1/ref_fk/stage2b_manifest_omnirt_v1_ref_fk.tsv	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E172/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box004_20231003_2_082_p1/converted/20231003_2-082-person1-box004_with_obj.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E172/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box004_20231003_2_082_p1/retargeted/20231003_2-082-person1-box004_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/workspace/core4d/results/E172/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/holosoma_dcv3_omnirt_v1_ref_fk_box004_20231003_2_082_p1/trimmed/20231003_2-082-person1-box004_with_obj_original.npz	/mnt/ali-sh-1/usr/xiayibo/work_dir/embodied/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box004_20231003_2_082_p1/0/trajectory_kinematic.npz		omniretarget	v1_current	FOUND
