case_id	object_key	gate_version	calibration_arm	candidate_arm	threshold_contact_3mm_in_mask	relative_threshold_contact_3mm_in_mask	omnirt_contact_3mm_in_mask	omnirt_gate_pass_contact_3mm_in_mask	prg_contact_3mm_in_mask	prg_gate_pass_contact_3mm_in_mask	threshold_raw_contact_in_mask	relative_threshold_raw_contact_in_mask	omnirt_raw_contact_in_mask	omnirt_gate_pass_raw_contact_in_mask	prg_raw_contact_in_mask	prg_gate_pass_raw_contact_in_mask	threshold_hand_object_penetration_3mm	relative_threshold_hand_object_penetration_3mm	omnirt_hand_object_penetration_3mm	omnirt_gate_pass_hand_object_penetration_3mm	prg_hand_object_penetration_3mm	prg_gate_pass_hand_object_penetration_3mm	threshold_lower_body_penetration	relative_threshold_lower_body_penetration	omnirt_lower_body_penetration	omnirt_gate_pass_lower_body_penetration	prg_lower_body_penetration	prg_gate_pass_lower_body_penetration	threshold_foot_slip_max_m	relative_threshold_foot_slip_max_m	omnirt_foot_slip_max_m	omnirt_gate_pass_foot_slip_max_m	prg_foot_slip_max_m	prg_gate_pass_foot_slip_max_m	threshold_obj_speed_max	relative_threshold_obj_speed_max	omnirt_obj_speed_max	omnirt_gate_pass_obj_speed_max	prg_obj_speed_max	prg_gate_pass_obj_speed_max	threshold_ankle_jerk_p95	relative_threshold_ankle_jerk_p95	omnirt_ankle_jerk_p95	omnirt_gate_pass_ankle_jerk_p95	prg_ankle_jerk_p95	prg_gate_pass_ankle_jerk_p95	prg_absolute_gate_pass_hand_object_physics_contact_in_mask_frac	prg_absolute_gate_pass_hand_object_physics_penetration_3mm_frame_frac	prg_absolute_gate_pass_leg_penetration_frac	prg_absolute_failure_modes	omnirt_wide_gate_pass	omnirt_failure_modes	prg_wide_gate_pass	prg_failure_modes	rl_filter_decision	rl_export_authority
box001_20231003_1_039_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.6136363636	true	0.1	0.8886363636	0.9886363636	true	0.8977272727	true	0.1	0.7984126984	0.6984126984	true	0.1984126984	true	0.1	0.1079365079	0.007936507937	true	0	true	1.5	2.985561771	1.990374514	true	0.7864476971	true	1.5	3.54504276	2.36336184	true	1.34044098	true	1.5	2356.651012	1571.100675	true	760.191483	true	true	true	true		true		true		RL_CANDIDATE_WIDE_GATE_PASS	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_039_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.6794871795	true	0.1	0.9	1	true	0.7435897436	false	0.1	0.748	0.648	true	0.04	true	0.1	0.132	0.032	true	0	true	1.5	2.843485214	1.895656809	true	1.53603724	true	1.5	3.578991114	2.385994076	true	1.531528116	true	1.5	2992.699851	1995.133234	true	782.0929713	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_040_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.4324324324	true	0.1	0.9	1	true	0.7702702703	false	0.1	0.7	0.6	true	0.1923076923	true	0.1	0.2153846154	0.1153846154	true	0.1461538462	true	1.5	2.579321112	1.719547408	true	1.211315369	true	1.5	2.712093192	1.808062128	true	1.786121038	true	1.5	2399.689814	1599.793209	true	847.4034532	true	true	true	false	leg_penetration_frac	true		false	raw_contact_in_mask;absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_040_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.04520547945	0.05479452055	true	0.2191780822	true	0.1	0.9	1	true	0.9178082192	true	0.1	0.6390625	0.5390625	true	0.4140625	true	0.1	0.1	0	true	0	true	1.5	2.910686317	1.940457545	true	0.5821039547	true	1.5	2.738065637	1.825377091	true	1.849028692	true	1.5	2008.315828	1338.877219	true	656.0980107	true	true	false	true	hand_object_physics_penetration_3mm_frame_frac	true		false	absolute:hand_object_physics_penetration_3mm_frame_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_041_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.08275862069	0.01724137931	true	0.3448275862	true	0.1	0.7275862069	0.8275862069	true	0.8965517241	true	0.1	0.8074829932	0.7074829932	true	0.4693877551	true	0.1	0.1680272109	0.06802721088	true	0	true	1.5	3.215315673	2.143543782	true	1.709945953	true	1.5	6.126485064	4.084323376	true	1.478975524	true	1.5	2359.363956	1572.909304	true	639.4227115	true	true	false	true	hand_object_physics_penetration_3mm_frame_frac	true		false	absolute:hand_object_physics_penetration_3mm_frame_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_041_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.04495412844	0.05504587156	true	0.5321100917	true	0.1	0.9	1	true	0.7798165138	false	0.1	0.8394366197	0.7394366197	true	0.1971830986	true	0.1	0.1	0	true	0.1126760563	false	1.5	2.60495493	1.73663662	true	1.060781118	true	1.5	6.185153341	4.123435561	true	1.358548589	true	1.5	2260.009263	1506.672842	true	592.0127376	true	true	true	false	leg_penetration_frac	true		false	raw_contact_in_mask;lower_body_penetration;absolute:leg_penetration_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_042_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.08484848485	0.01515151515	true	0.5606060606	true	0.1	0.9	1	true	0.9393939394	true	0.1	0.723853211	0.623853211	true	0.3027522936	true	0.1	0.1	0	true	0	true	1.5	0.8732983796	0.5821989197	true	0.9343621088	false	1.5	6.492130227	4.328086818	true	0.8694193129	true	1.5	1772.466707	1181.644471	true	398.563334	true	true	false	true	hand_object_physics_penetration_3mm_frame_frac	true		false	foot_slip_max_m;absolute:hand_object_physics_penetration_3mm_frame_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_042_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.1746031746	true	0.1	0.9	1	true	0.5714285714	false	0.1	0.6737704918	0.5737704918	true	0.2049180328	true	0.1	0.1	0	true	0	true	1.5	1.272418229	0.8482788192	true	0.7031328883	true	1.5	6.554301784	4.369534523	true	1.064126105	true	1.5	1679.536256	1119.690837	true	673.6830931	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_1_043_p2	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.3188405797	true	0.1	0.9	1	true	0.6666666667	false	0.1	0.7134453782	0.6134453782	true	0.2268907563	true	0.1	0.1168067227	0.01680672269	true	0.02521008403	true	1.5	2.579764646	1.719843097	true	0.5706033693	true	1.5	8.543321034	5.695547356	true	1.871137954	true	1.5	2276.819223	1517.879482	true	1343.556156	true	true	true	true		true		false	raw_contact_in_mask	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
box001_20231003_2_037_p1	box001	E197-omni-wide-v1	OmniRetarget	PRG	0.1	-0.1	0	true	0.3875	true	0.1	0.875	0.975	true	0.95	true	0.1	0.8272727273	0.7272727273	true	0.4090909091	true	0.1	0.1090909091	0.009090909091	true	0	true	1.5	2.368587524	1.579058349	true	0.8843357066	true	1.5	4.229817561	2.819878374	true	1.134807261	true	1.5	2154.208288	1436.138859	true	661.3123573	true	true	false	true	hand_object_physics_penetration_3mm_frame_frac	true		false	absolute:hand_object_physics_penetration_3mm_frame_frac	RL_CANDIDATE_FILTERED_WIDE_GATE	NOT_RL_EXPORT_READY_REQUIRES_EXISTING_MANUAL_PARTNER_ALIGNMENT_GATES
