group	aggregation	case_count	object_count	metric	metric_label	spider_field	direction	omnirt_mean	prg_mean	delta_prg_minus_omnirt_mean	improvement_mean	improvement_median	improvement_bootstrap_ci95_low	improvement_bootstrap_ci95_high	prg_improved_cases	tied_cases	prg_worsened_cases
box001	case_micro	28	1	contact_3mm_in_mask	3mm in-mask 接触	hand_object_physics_contact_3mm_in_mask_frac	higher	0.02046021925	0.4876885728	0.4672283536	0.4672283536	0.4787918503	0.3979422621	0.5327349665	27	0	1
box001	case_micro	28	1	raw_contact_in_mask	Raw in-mask 接触	hand_object_physics_contact_in_mask_frac	higher	0.9616419223	0.7886001059	-0.1730418163	-0.1730418163	-0.1498005982	-0.2563141945	-0.09497954691	2	0	26
box001	case_micro	28	1	hand_object_penetration_3mm	手物穿透 >3mm	hand_object_physics_penetration_3mm_frame_frac	lower	0.6438499319	0.2120230987	-0.4318268333	0.4318268333	0.4088461539	0.3761558794	0.4894115449	28	0	0
box001	case_micro	28	1	lower_body_penetration	Lower-body 穿透	leg_penetration_frac	lower	0.1106783488	0.07312301885	-0.03755532998	0.03755532998	0.008513708514	-0.01036708267	0.08747098022	15	8	5
box001	case_micro	28	1	foot_slip_max_m	Foot slip max	foot_slip_max_m	lower	1.292603884	0.9099889454	-0.3826149387	0.3826149387	0.2913246497	0.2295665182	0.5482564117	22	0	6
box001	case_micro	28	1	obj_speed_max	Object speed max	obj_speed_max	lower	2.320347014	1.258746898	-1.061600116	1.061600116	0.556835201	0.6819650363	1.486121642	27	0	1
box001	case_micro	28	1	ankle_jerk_p95	Ankle jerk P95	ankle_jerk_p95	lower	1500.207644	657.4390342	-842.7686097	842.7686097	822.5881043	729.908398	983.1848645	28	0	0
box004	case_micro	6	1	contact_3mm_in_mask	3mm in-mask 接触	hand_object_physics_contact_3mm_in_mask_frac	higher	0.06612380485	0.4507487807	0.3846249758	0.3846249758	0.3618266979	0.3000960788	0.4782509157	6	0	0
box004	case_micro	6	1	raw_contact_in_mask	Raw in-mask 接触	hand_object_physics_contact_in_mask_frac	higher	0.8566733055	0.6943944034	-0.162278902	-0.162278902	-0.1933385376	-0.2824457722	-0.0002802298167	1	0	5
box004	case_micro	6	1	hand_object_penetration_3mm	手物穿透 >3mm	hand_object_physics_penetration_3mm_frame_frac	lower	0.4798263037	0.1469421532	-0.3328841505	0.3328841505	0.3232608112	0.1922725551	0.4813097805	6	0	0
box004	case_micro	6	1	lower_body_penetration	Lower-body 穿透	leg_penetration_frac	lower	0.04109589042	0.05646456959	0.01536867917	-0.01536867917	0	-0.03697361744	0	0	4	2
box004	case_micro	6	1	foot_slip_max_m	Foot slip max	foot_slip_max_m	lower	1.09866914	0.8982860114	-0.200383129	0.200383129	0.1747717198	0.004909846623	0.3964890062	5	0	1
box004	case_micro	6	1	obj_speed_max	Object speed max	obj_speed_max	lower	3.17436622	1.452108228	-1.722257992	1.722257992	1.232064292	0.5820954632	2.879473347	6	0	0
box004	case_micro	6	1	ankle_jerk_p95	Ankle jerk P95	ankle_jerk_p95	lower	2162.501967	685.0460893	-1477.455878	1477.455878	846.5868384	805.5010417	2662.174452	6	0	0
box021	case_micro	28	1	contact_3mm_in_mask	3mm in-mask 接触	hand_object_physics_contact_3mm_in_mask_frac	higher	0.225941122	0.4258425447	0.1999014227	0.1999014227	0.2519774011	0.08918273492	0.3076891919	19	1	8
box021	case_micro	28	1	raw_contact_in_mask	Raw in-mask 接触	hand_object_physics_contact_in_mask_frac	higher	0.8851805422	0.6706559099	-0.2145246322	-0.2145246322	-0.1730769231	-0.3022087272	-0.1234162766	3	0	25
box021	case_micro	28	1	hand_object_penetration_3mm	手物穿透 >3mm	hand_object_physics_penetration_3mm_frame_frac	lower	0.4592206684	0.1760489273	-0.2831717411	0.2831717411	0.2758411215	0.2004422324	0.3632466002	25	0	3
box021	case_micro	28	1	lower_body_penetration	Lower-body 穿透	leg_penetration_frac	lower	0.04668344724	0.1203012362	0.07361778901	-0.07361778901	-0.0304067395	-0.1349195764	-0.0195498973	6	7	15
box021	case_micro	28	1	foot_slip_max_m	Foot slip max	foot_slip_max_m	lower	1.29613294	0.8864168512	-0.4097160888	0.4097160888	0.2870770197	0.2615407094	0.5648100775	23	0	5
box021	case_micro	28	1	obj_speed_max	Object speed max	obj_speed_max	lower	3.68471589	1.792335391	-1.892380499	1.892380499	2.189500771	1.517959501	2.234020863	26	0	2
