case_id	object_key	video	status	frames	fps	content	error
box001_20231003_1_041_p2	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231003_1_041_p2_omnirt_only.mp4	rendered	142	30	OmniRetarget converted qpos only; no Spider/PRG	
box001_20231003_1_042_p1	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231003_1_042_p1_omnirt_only.mp4	rendered	109	30	OmniRetarget converted qpos only; no Spider/PRG	
box001_20231003_2_037_p2	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231003_2_037_p2_omnirt_only.mp4	rendered	115	30	OmniRetarget converted qpos only; no Spider/PRG	
box001_20231003_2_038_p1	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231003_2_038_p1_omnirt_only.mp4	rendered	109	30	OmniRetarget converted qpos only; no Spider/PRG	
box001_20231003_2_038_p2	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231003_2_038_p2_omnirt_only.mp4	rendered	110	30	OmniRetarget converted qpos only; no Spider/PRG	
box001_20231023_107_p1	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231023_107_p1_omnirt_only.mp4	rendered	102	30	OmniRetarget converted qpos only; no Spider/PRG	
box001_20231023_107_p2	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231023_107_p2_omnirt_only.mp4	rendered	97	30	OmniRetarget converted qpos only; no Spider/PRG	
box001_20231023_108_p1	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231023_108_p1_omnirt_only.mp4	rendered	119	30	OmniRetarget converted qpos only; no Spider/PRG	
box001_20231023_110_p1	box001	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box001_20231023_110_p1_omnirt_only.mp4	rendered	174	30	OmniRetarget converted qpos only; no Spider/PRG	
box004_20231003_2_082_p1	box004	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box004_20231003_2_082_p1_omnirt_only.mp4	rendered	109	30	OmniRetarget converted qpos only; no Spider/PRG	
box004_20231003_2_083_p1	box004	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box004_20231003_2_083_p1_omnirt_only.mp4	rendered	102	30	OmniRetarget converted qpos only; no Spider/PRG	
box004_20231003_2_083_p2	box004	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box004_20231003_2_083_p2_omnirt_only.mp4	rendered	105	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231011_036_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231011_036_p2_omnirt_only.mp4	rendered	144	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231011_037_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231011_037_p1_omnirt_only.mp4	rendered	108	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231011_038_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231011_038_p1_omnirt_only.mp4	rendered	114	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231011_038_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231011_038_p2_omnirt_only.mp4	rendered	117	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_028_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_028_p2_omnirt_only.mp4	rendered	93	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_029_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_029_p1_omnirt_only.mp4	rendered	71	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_030_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_030_p1_omnirt_only.mp4	rendered	88	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_030_p2	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_030_p2_omnirt_only.mp4	rendered	88	30	OmniRetarget converted qpos only; no Spider/PRG	
box021_20231018_032_p1	box021	workspace/core4d/analysis/E197_full_cem_omnirt_vs_prg_metrics/omnirt_videos/box021_20231018_032_p1_omnirt_only.mp4	rendered	82	30	OmniRetarget converted qpos only; no Spider/PRG	
