metric	method	mean	std	worst	n
contact_5mm	SPIDER-CEM	0.72468	0.142381	0.369048	50
contact_5mm	OmniRetarget	0.218551	0.246869	0	50
contact_5mm	SBTO	0.343716	0.144984	0.0377358	50
contact_5mm	GMR	0.0021606	0.00520048	0	50
pen_5mm	SPIDER-CEM	0.0758584	0.0777423	0.447917	50
pen_5mm	OmniRetarget	0.446324	0.250203	0.87766	50
pen_5mm	SBTO	0.365886	0.158529	0.734043	50
pen_5mm	GMR	0.0464534	0.127524	0.61379	50
pen_max_mm	SPIDER-CEM	12.0149	9.33707	53.3475	50
pen_max_mm	OmniRetarget	21.6102	20.333	97.7294	50
pen_max_mm	SBTO	25.3568	14.8225	72.2147	50
pen_max_mm	GMR	23.513	58.5437	256.421	50
obj_speed	SPIDER-CEM	1.28763	0.276807	1.95428	50
obj_speed	OmniRetarget	2.7692	1.17868	5.69791	50
obj_speed	SBTO	1.76319	0.421748	3.24017	50
obj_speed	GMR	1.83387	0.787553	3.90039	50
foot_slip	SPIDER-CEM	0.865859	0.488789	2.33442	50
foot_slip	OmniRetarget	1.33033	0.47525	2.40474	50
foot_slip	SBTO	1.19965	0.480843	2.37698	50
foot_slip	GMR	0.970699	0.509094	2.21639	50
