case_id	object_key	method	status	raw_contact	contact_3mm	pen_3mm	geom_2mm	track_root_pos	track_root_ori	track_eef_pos	track_eef_ori	track_obj_pos	track_obj_ori	fall_flag	body_z	ankle_jerk	obj_speed	foot_slip	notes
box001_20231003_1_040_p2	box001	SPIDER-CEM	ok	0.863014	0.493151	0.21875	0.0234375	16.2895	8.9442	16.4833	17.1105	12.493	4.81567	0	0.0887097	617.048	1.72095	0.499	
box001_20231003_1_040_p2	box001	OmniRetarget	ok	1	0.0547945	0.539062	0.242188												
box001_20231003_2_039_p1	box001	SPIDER-CEM	ok	0.952381	0.825397	0.16	0.06	7.96762	5.16689	8.83187	14.0386	6.15418	5.17395	0	0.0600871	286.093	0.841471	0.598726	
box001_20231003_2_039_p1	box001	OmniRetarget	ok	1	0	0.67	0.55												
box001_20231003_2_041_p1	box001	SPIDER-CEM	ok	0.874016	0.551181	0.267516	0.0127389	11.581	5.20526	11.9398	17.8902	10.1752	7.04089	0	0.0658271	603.655	0.799178	1.49419	
box001_20231003_2_041_p1	box001	OmniRetarget	ok	0.992126	0	0.859873	0.656051												
box001_20231020_014_p1	box001	SPIDER-CEM	ok	0.868421	0.631579	0.156522	0.0782609	11.2557	6.80054	10.9783	15.7743	10.2456	3.4083	0	0.0503055	524.943	1.40963	0.271933	
box001_20231020_014_p1	box001	OmniRetarget	ok	1	0	0.669565	0.669565												
box001_20231023_108_p1	box001	SPIDER-CEM	ok	0.857143	0.607143	0.176471	0.00840336	11.6853	4.74421	10.934	16.3224	8.08819	4.89386	0	0.0637296	698.574	0.907624	0.910982	
box001_20231023_108_p1	box001	OmniRetarget	ok	0.97619	0.0238095	0.672269	0.689076												
box001_20231023_108_p2	box001	SPIDER-CEM	ok	0.597561	0.560976	0.0280374	0.046729	11.572	5.75475	11.4716	14.0896	10.5466	4.21846	0	0.0743219	510.099	1.15066	1.21883	
box001_20231023_108_p2	box001	OmniRetarget	ok	0.304878	0.0121951	0.233645	0.233645												
box021_20231011_034_p1	box021	SPIDER-CEM	ok	0.862069	0.706897	0.125874	0.034965	16.7756	7.20225	16.9554	14.3893	16.073	5.44906	0	0.0971352	811.668	1.44272	2.33442	
box021_20231011_034_p1	box021	OmniRetarget	ok	1	0.0172414	0.804196	0.531469												
box021_20231011_034_p2	box021	SPIDER-CEM	ok	0.96	0.664	0.248322	0.0201342	13.6636	10.416	16.0619	19.9109	14.4533	4.50717	0	0.123689	564.849	1.58692	1.58307	
box021_20231011_034_p2	box021	OmniRetarget	ok	1	0.128	0.738255	0.33557												
box021_20231011_036_p1	box021	SPIDER-CEM	ok	0.819672	0.57377	0.20979	0.048951	19.7172	18.1241	17.8404	24.9263	15.1939	8.03866	0	0.107573	711.087	1.22092	1.66357	
box021_20231011_036_p1	box021	OmniRetarget	ok	1	0.057377	0.825175	0.223776												
box021_20231011_037_p2	box021	SPIDER-CEM	ok	0.54902	0.333333	0.177419	0.0806452	15.7344	5.01691	14.2946	14.9197	13.7029	6.75338	0	0.142268	779.976	1.09998	1.78397	
box021_20231011_037_p2	box021	OmniRetarget	ok	0.00980392	0	0.00806452	0.00806452												
box021_20231011_038_p1	box021	SPIDER-CEM	ok	0.860465	0.802326	0.0526316	0.00877193	12.5288	10.8491	12.8172	13.1018	9.70687	4.11354	0	0.101214	621.82	1.07492	0.568047	
box021_20231011_038_p1	box021	OmniRetarget	ok	1	0.127907	0.666667	0.508772												
box021_20231020_020_p1	box021	SPIDER-CEM	ok	0.632353	0.397059	0.186047	0.139535	17.1078	18.838	16.3343	24.8276	12.8674	4.16391	0	0.166554	723.634	1.26514	0.419184	
box021_20231020_020_p1	box021	OmniRetarget	ok	1	0.0735294	0.744186	0.127907												
box021_20231020_022_p1	box021	SPIDER-CEM	ok	0.630769	0.461538	0.134615	0.105769	18.4651	14.3823	17.3407	22.1498	11.7742	5.29035	0	0.169657	756.16	1.48069	0.226388	
box021_20231020_022_p1	box021	OmniRetarget	ok	0.953846	0.0923077	0.548077	0.0865385												
box021_20231020_023_p1	box021	SPIDER-CEM	ok	0.826923	0.519231	0.149533	0.0654206	12.6846	8.45118	13.0895	15.273	13.1002	3.95471	0	0.135219	656.526	1.5677	0.610241	
box021_20231020_023_p1	box021	OmniRetarget	ok	1	0.173077	0.411215	0.140187												
box021_20231011_035_p1	box021	SPIDER-CEM	ok	0.79	0.56	0.186047	0.0387597	10.9285	13.0112	13.3779	17.3917	10.6239	4.83522	0	0.172592	536.359	1.16429	0.614049	
box021_20231011_035_p1	box021	OmniRetarget	ok	1	0.0898876	0.736434	0.0852713												mask_resampled_to_rollout
box021_20231011_036_p2	box021	SPIDER-CEM	ok	0.941176	0.596639	0.284722	0.0902778	15.191	14.3598	14.3641	20.325	13.4853	9.23069	0	0.0903567	727.2	1.22322	1.39091	
box021_20231011_036_p2	box021	OmniRetarget	ok	1	0.420168	0.486111	0.236111												
box021_20231018_029_p2	box021	SPIDER-CEM	ok	0.763636	0.454545	0.226667	0.0533333	16.1932	15.2478	15.9438	21.2122	13.5378	3.6383	0	0.128421	895.451	1.37359	0.936999	
box021_20231018_029_p2	box021	OmniRetarget	ok	1	0.454545	0.4	0.186667												
box004_20231003_2_083_p1	box004	SPIDER-CEM	ok	0.746032	0.507937	0.147059	0.0392157	12.9088	15.4095	12.8221	22.492	10.4628	6.31325	0	0.108856	752.384	1.12907	0.96082	
box004_20231003_2_083_p1	box004	OmniRetarget	ok	1	0.0793651	0.578431	0.470588												
box004_20231003_2_083_p2	box004	SPIDER-CEM	ok	0.666667	0.555556	0.0857143	0.0666667	18.7557	16.1198	12.9251	25.5839	8.47097	5.37612	0	0.138619	773.034	1.15722	0.711423	
box004_20231003_2_083_p2	box004	OmniRetarget	ok	0.972222	0.0138889	0.666667	0.666667												
box004_20231003_2_082_p1	box004	SPIDER-CEM	ok	0.639344	0.393443	0.137615	0.0550459	15.8999	8.82798	17.4536	16.8135	13.2149	20.3651	0	0.162459	890.167	1.80388	1.63204	
box004_20231003_2_082_p1	box004	OmniRetarget	ok	0.901639	0.0983607	0.46789	0.486239												
box024_20231011_026_p1	box024	SPIDER-CEM	ok	0.902174	0.217391	0.529412	0.0840336	17.2574	6.59511	17.5112	21.3198	13.6586	3.2259	0	0.0627498	680.454	1.26104	1.01611	
box024_20231011_026_p1	box024	OmniRetarget	ok	1	0	0.806723	0.571429												
box024_20231011_026_p2	box024	SPIDER-CEM	ok	0.876404	0.595506	0.217391	0	12.3185	7.85354	11.8449	16.2936	9.64466	1.97363	0	0.0672868	672.916	1.29501	0.742108	
box024_20231011_026_p2	box024	OmniRetarget	ok	1	0	0.791304	0.356522												
box024_20231011_027_p2	box024	SPIDER-CEM	ok	0.865854	0.743902	0.0806452	0.0403226	8.24981	7.02633	8.67122	14.0588	7.85954	4.29693	0	0.0544567	407.678	1.08079	1.04696	
box024_20231011_027_p2	box024	OmniRetarget	ok	1	0	0.693548	0.508065												
box024_20231011_028_p2	box024	SPIDER-CEM	ok	0.817204	0.483871	0.22963	0.0222222	17.2013	7.01233	15.6123	16.9145	12.1382	6.84451	0	0.0532144	694.106	1.95428	1.37085	
box024_20231011_028_p2	box024	OmniRetarget	ok	1	0	0.711111	0.666667												
box023_20231008_046_p1	box023	SPIDER-CEM	ok	0.714286	0.673469	0.0253165	0.0379747	10.0022	9.93259	11.7747	16.1171	9.42554	4.19702	0	0.135329	662.272	0.922472	0.568588	
box023_20231008_046_p1	box023	OmniRetarget	ok	0.428571	0.285714	0.0886076	0.0886076												
box023_20231011_021_p1	box023	SPIDER-CEM	ok	0.752688	0.537634	0.153846	0.0692308	12.3107	11.9097	13.5615	18.2354	11.8786	3.49444	0	0.139704	554.745	1.83933	0.930049	
box023_20231011_021_p1	box023	OmniRetarget	ok	0.655914	0.16129	0.353846	0.130769												
box023_20231011_021_p2	box023	SPIDER-CEM	ok	0.831461	0.629213	0.147287	0.124031	15.9899	10.7246	15.7698	19.6466	14.0193	4.08729	0	0.159514	777.175	1.73322	1.74569	
box023_20231011_021_p2	box023	OmniRetarget	ok	0.865169	0.179775	0.472868	0.317829												
box023_20231020_040_p2	box023	SPIDER-CEM	ok	0.709677	0.612903	0.0545455	0.0545455	10.0067	18.2178	9.5887	24.6931	8.93125	5.91608	0	0.116178	808.018	1.41733	0.738424	
box023_20231020_040_p2	box023	OmniRetarget	ok	0.919355	0.532258	0.227273	0.272727												
