case_id	object_key	status	gate_layer	raw_contact	contact_3mm	contact_5mm	pen_3mm	pen_5mm	pen_max_mm	geom_2mm	track_root_pos	track_root_ori	track_eef_pos	track_eef_ori	track_obj_pos	track_obj_ori	fall_flag	body_z	ankle_jerk	obj_speed	foot_slip	roundtrip_pos_cm	notes
box001_20231003_1_040_p2	box001	ok	L1_reject	0.808219	0.136986	0.219178	0.398438	0.351562	38.716	0.132812	6.31911	12.5291	6.99734	19.6936	5.99767	8.7377	0	0.0542976	1223.53	1.99388	1.92023	8.31e-14	
box001_20231003_2_039_p1	box001	ok	L1_reject	0.793651	0.142857	0.492063	0.43	0.2	12.5697	0.21	3.11517	6.50237	5.4877	15.9382	5.0427	5.68125	0	0.0402463	636.226	1.16471	0.637155	3.19e-14	
box001_20231003_2_041_p1	box001	ok	L2_review	0.645669	0.354331	0.488189	0.280255	0.146497	13.7736	0.286624	3.38234	11.0009	6.30638	20.6862	5.96219	7.22798	0	0.0600962	793.102	1.18175	1.36229	5.59e-14	
box001_20231020_014_p1	box001	ok	L1_reject	0.736842	0.565789	0.631579	0.156522	0.0782609	10.8682	0.234783	6.42056	10.1181	7.8176	21.8519	6.1699	6.38562	0	0.068792	835.983	1.73023	1.13154	5.80e-14	
box001_20231023_108_p1	box001	ok	L1_reject	0.785714	0.154762	0.380952	0.588235	0.403361	11.1939	0.159664	5.09042	8.66012	6.13989	20.8476	5.2484	7.25694	0	0.0470957	805.194	1.38429	0.995572	7.43e-14	
box001_20231023_108_p2	box001	ok	L1_reject	0.292683	0.0487805	0.0853659	0.205607	0.168224	11.895	0.224299	4.00955	13.5337	7.77838	18.3801	5.70112	12.2135	0	0.0684402	835.251	1.45526	1.21423	2.83e-14	
box021_20231011_034_p1	box021	ok	L1_reject	0.922414	0.137931	0.37931	0.706294	0.503497	72.2147	0.762238	8.09975	18.5042	10.9156	29.8562	7.02484	7.41465	0	0.0765809	1101.44	1.6267	2.37698	4.74e-14	
box021_20231011_034_p2	box021	ok	L1_reject	0.856	0.064	0.288	0.671141	0.483221	30.3195	0.516779	4.6947	9.41377	6.83412	16.6758	6.15881	5.60333	0	0.082557	1370.29	2.26077	2.30505	1.16e-13	
box021_20231011_036_p1	box021	ok	L1_reject	0.827869	0.319672	0.467213	0.461538	0.335664	25.4601	0.412587	5.26668	14.1456	8.59304	23.6671	7.09531	9.37456	0	0.0644529	1459.58	1.58889	1.73401	4.97e-14	
box021_20231011_037_p2	box021	ok	L1_reject	0.95098	0.245098	0.45098	0.604839	0.435484	41.0009	0.693548	9.98101	13.6092	10.8293	13.8779	7.46179	7.85748	0	0.131254	1258.78	1.65358	1.70869	5.01e-14	
