metric	direction	failed_n	failed_median	failed_p25	failed_p75	usable_n	usable_median	usable_p25	usable_p75	median_delta_failed_minus_usable	failure_auc
cem_body_gate_valid_frac_last_iter_mean	lower_worse	15	0.9317405007102273	0.9183257155608151	0.9377969958118557	13	0.9454545454545454	0.9428571428571428	0.9516129032258065	-0.013714044744318143	0.8948717948717949
cem_posture_gate_valid_frac_last_iter_mean	lower_worse	15	0.9295285247093024	0.9168354597155299	0.9369714481314433	13	0.9444444444444444	0.9416973407451923	0.9487179487179487	-0.014915919735142058	0.882051282051282
cem_body_gate_valid_frac_mean	lower_worse	15	0.9192910445363898	0.9087958073521363	0.9289792865239015	13	0.9435033965529057	0.936656327681108	0.9515491608650454	-0.024212352016515948	0.8512820512820513
cem_posture_gate_valid_frac_mean	lower_worse	15	0.899303685838931	0.8413260451040476	0.9176677630848862	13	0.9359612865982768	0.926548591026893	0.9437464663856908	-0.036657600759345765	0.8358974358974359
sample_posture_violation_last_iter_mean	higher_worse	15	0.0004975950706825959	7.296971457467376e-06	0.004264817606173924	13	0.0	0.0	3.326664128425446e-05	0.0004975950706825959	0.7538461538461538
sample_body_gate_violation_pct_mean	higher_worse	15	0.0009727220646895505	0.00023072626911330982	0.0012553866666419429	13	0.00017724214520150645	7.177233124468228e-05	0.00045306781937158613	0.0007954799194880441	0.717948717948718
sample_body_gate_violation_pct_last_iter_mean	higher_worse	15	1.908659563473661e-05	0.0	0.00016330520110298237	13	0.0	0.0	3.6516762015202808e-06	1.908659563473661e-05	0.7128205128205128
sample_posture_violation_mean	higher_worse	15	0.03463058168670182	0.011162672810808391	0.21904785914463767	13	0.011262725029442472	0.005683374078018295	0.025057395289751285	0.02336785665725935	0.6923076923076923
cem_gate_valid_frac_last_iter_mean	lower_worse	15	0.9000308388157895	0.6801606869061969	0.9311253441307403	13	0.9337906376008065	0.8118322649572649	0.9443901909722222	-0.033759798785017	0.6820512820512821
cem_gate_valid_frac_mean	lower_worse	15	0.8677886159796464	0.6261007377511603	0.8991837952890012	13	0.9036939754042514	0.804207043770032	0.9281308986996645	-0.03590535942460504	0.676923076923077
cem_hand_gate_valid_frac_last_iter_mean	lower_worse	15	0.9067735180412371	0.7574698850493873	0.9325701097740453	13	0.9410869891826923	0.811965811965812	0.9473684210526315	-0.03431347114145522	0.6717948717948717
cem_hand_gate_valid_frac_mean	lower_worse	15	0.8947864021222616	0.7463288341769281	0.9266379237427016	13	0.9263728215144231	0.8113199869791666	0.9403295684279057	-0.03158641939216156	0.6512820512820513
cem_gate_fallback_time_frac	higher_worse	15	0.07216494845360824	0.02114573570759138	0.3044526375496313	13	0.046296296296296294	0.013986013986013986	0.13675213675213677	0.025868652157311947	0.6025641025641025
cem_gate_fallback_used_last_iter_mean	higher_worse	15	0.030927835051546393	0.0	0.23355076574021555	13	0.0	0.0	0.13675213675213677	0.030927835051546393	0.5974358974358974
cem_gate_fallback_used_mean	higher_worse	15	0.030927835051546393	0.0009001717758985201	0.24355236103233127	13	0.005709134615384615	0.0011682242990654205	0.13675213675213677	0.025218700436161777	0.5487179487179488
