case_id	object_key	worker	wave	status	failures
box001_20231003_2_041_p1	box001	local-gpu0	wave0	pass	
box001_20231003_1_039_p1	box001	local-gpu0	remaining	pass	
box001_20231003_1_041_p1	box001	local-gpu0	remaining	pass	
box001_20231003_2_037_p1	box001	local-gpu0	remaining	pass	
box001_20231003_2_039_p1	box001	local-gpu0	remaining	pass	
box001_20231023_107_p2	box001	local-gpu0	remaining	pass	
box001_20231023_109_p2	box001	local-gpu0	remaining	pass	
box023_20231008_046_p1	box023	local-gpu0	remaining	pass	
box023_20231011_021_p1	box023	local-gpu0	remaining	pass	
box023_20231020_042_p1	box023	local-gpu0	remaining	pass	
box001_20231020_014_p1	box001	ada-gpu0	wave0	pass	
box001_20231003_1_040_p1	box001	ada-gpu0	remaining	pass	
box001_20231003_1_042_p1	box001	ada-gpu0	remaining	pass	
box001_20231003_2_037_p2	box001	ada-gpu0	remaining	pass	
box001_20231020_010_p1	box001	ada-gpu0	remaining	pass	
box001_20231023_108_p1	box001	ada-gpu0	remaining	pass	
box001_20231023_110_p1	box001	ada-gpu0	remaining	pass	
box023_20231008_046_p2	box023	ada-gpu0	remaining	pass	
box023_20231020_040_p1	box023	ada-gpu0	remaining	pass	
box023_20231020_042_p2	box023	ada-gpu0	remaining	pass	
box001_20231020_014_p2	box001	ada-gpu1	wave0	pass	
box001_20231003_1_040_p2	box001	ada-gpu1	remaining	pass	
box001_20231003_1_042_p2	box001	ada-gpu1	remaining	pass	
box001_20231003_2_038_p1	box001	ada-gpu1	remaining	pass	
box001_20231020_011_p1	box001	ada-gpu1	remaining	pass	
box001_20231023_108_p2	box001	ada-gpu1	remaining	pass	
box001_20231023_110_p2	box001	ada-gpu1	remaining	pass	
box023_20231011_019_p2	box023	ada-gpu1	remaining	pass	
box023_20231020_040_p2	box023	ada-gpu1	remaining	pass	
