case_id	object_key	e194_worker	e194_runtime_euler_convention	compiled_xml_axis_sequence	e196_worker	wave	scene_act	scene_sha256	scene_act_meta_path	scene_act_meta_sha256	meta_repair_action
box001_20231003_1_039_p1	box001	local-gpu0	XYZ	XZY	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_039_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	977b508af57d7efc505715d87d07d63db3c9a5fd36ebe948a72d0894fb186a38	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_039_p1/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
box001_20231003_1_040_p1	box001	ada-gpu0	XYZ	ZYX	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_040_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	e3a080c7b06dff227d98e29da8f8a7ff9a44ac5be1845f5bf039dfeedbe3d28e	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_040_p1/scene_act_meta.json	8a7721efaa78f204293f777175b4e421eff824d45cb20c1296be39d8db4d1a94	preserved_existing
box001_20231003_1_040_p2	box001	ada-gpu1	XYZ	ZYX	ada-gpu1	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_1_040_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	f7c92731326895abee5e67c49f8968de884d4629d239874fcfe59a61753b040f	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_1_040_p2/scene_act_meta.json	75edfa8c21cd66ad755820b38e88965b10f11e9860e4c9e529415ac4d608d4b9	generated_from_compiled_axes
box001_20231003_1_041_p1	box001	local-gpu0	XYZ	ZYX	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_1_041_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	8ac0a17569c29148af7a002b353f8a237ac6282dce2ba040fbab7bc3f36afb88	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_1_041_p1/scene_act_meta.json	75edfa8c21cd66ad755820b38e88965b10f11e9860e4c9e529415ac4d608d4b9	generated_from_compiled_axes
box001_20231003_1_042_p1	box001	ada-gpu0	XYZ	XZY	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	843ef8a8b9d944ab03aa59d21eb3d55c1eee6d6efbc2d6540178416ea71361ce	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p1/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box001_20231003_1_042_p2	box001	ada-gpu1	XYZ	XZY	ada-gpu1	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	5576e28afdf4d710bc415595a0a265269a89e5c2134e36b3035f62d96b5acc91	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_1_042_p2/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box001_20231003_2_037_p1	box001	local-gpu0	XYZ	XZY	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	3e9a3d684b9568960895d3413fa44b52ab3035018eb9c3823419a7606949f891	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p1/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
box001_20231003_2_037_p2	box001	ada-gpu0	XYZ	XZY	ada-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p2/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	aa155cc96d40059aefba9185ff3334d554055337c16f81136062dd18ff7155d4	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_037_p2/scene_act_meta.json	40cb82c8fe5a3dc06685d3f06832592d5b7db7cd447fd4061c468f4b8e2f4edb	preserved_existing
box001_20231003_2_038_p1	box001	ada-gpu1	XYZ	XZY	ada-gpu1	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	9722a6fe342b0487db8cecd3b11ac1b91c37098d5e59e1ea0f19c6cd9f30dda9	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box001_20231003_2_038_p1/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
box001_20231003_2_039_p1	box001	local-gpu0	XYZ	XZY	local-gpu0	remaining	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_2_039_p1/scene_act_E194_G1_expansion_rubberHull_PRG_gravcomp.xml	3d9aa9006e0b853e2870b5729516cb7a034c5981396af94f40668f0a6ce70a3b	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v2_ref_fk_box001_20231003_2_039_p1/scene_act_meta.json	0a2150f97b0253275bef08d1f3643e86feb44005054aaa1e7b0ac4571de1e70c	generated_from_compiled_axes
