case_id	object_key	worker	wave	prg_video	contaminated_g1_video	corrected_g1_video	corrected_status	visual_review_status	screen_method	screen_observation	priority_flags
box001_20231003_2_041_p1	box001	local-gpu0	wave0	workspace/core4d/results/E173/s6_downstream/render/full/E173_box001_20231003_2_041_p1_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box001_20231003_2_041_p1_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box001_20231003_2_041_p1_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	cluster7
box001_20231003_1_039_p1	box001	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box001_20231003_1_039_p1_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box001_20231003_1_039_p1_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box001_20231003_1_039_p1_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	
box001_20231003_1_041_p1	box001	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box001_20231003_1_041_p1_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box001_20231003_1_041_p1_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box001_20231003_1_041_p1_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	prg_pass_to_fail,contaminated_g1_pass_to_fail
box001_20231003_2_037_p1	box001	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box001_20231003_2_037_p1_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box001_20231003_2_037_p1_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box001_20231003_2_037_p1_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	contaminated_g1_pass_to_fail
box001_20231003_2_039_p1	box001	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box001_20231003_2_039_p1_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box001_20231003_2_039_p1_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box001_20231003_2_039_p1_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	prg_pass_to_fail,contaminated_g1_pass_to_fail
box001_20231023_107_p2	box001	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box001_20231023_107_p2_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box001_20231023_107_p2_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box001_20231023_107_p2_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	prg_pass_to_fail,contaminated_g1_pass_to_fail
box001_20231023_109_p2	box001	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box001_20231023_109_p2_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box001_20231023_109_p2_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box001_20231023_109_p2_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	
box023_20231008_046_p1	box023	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box023_20231008_046_p1_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box023_20231008_046_p1_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box023_20231008_046_p1_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	
box023_20231011_021_p1	box023	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box023_20231011_021_p1_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box023_20231011_021_p1_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box023_20231011_021_p1_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	
box023_20231020_042_p1	box023	local-gpu0	remaining	workspace/core4d/results/E173/s6_downstream/render/full/E173_box023_20231020_042_p1_PRG_full.mp4	workspace/core4d/results/E194/s6_downstream/render/full_g1_expansion/E194_box023_20231020_042_p1_G1_expansion.mp4	/home/ubuntu/Workspace/spider/workspace/core4d/results/E196/s6_downstream/render/full_reference_fix/E196_box023_20231020_042_p1_G1_reference_fix.mp4	rendered	midframe_screened	ffmpeg_midpoint_contact_sheet	none	cluster7,prg_pass_to_fail,contaminated_g1_pass_to_fail
