arm	case_id	object_key	stratum	frames	z_bias_cm	z_mae_cm	z_rmse_cm	z_abs_p95_cm	z_abs_max_cm	z_abs_gt5_frac	obj_pos_err_3d_cm	ref_z_range_m	object_mass_kg
PRG	desk007_20231030_028_p1	desk007	S-	80	-3.653096	4.194333	5.422737	9.301363	9.586602	0.475	12.026591	0.146465	5.0
G1	desk007_20231030_028_p1	desk007	S-	80	2.405509	3.933507	4.916777	8.179574	8.547508	0.375	11.638768	0.146465	5.0
PRG	desk007_20231030_028_p2	desk007	S-	118	-2.736162	3.247629	4.665525	8.763714	9.719547	0.372881	6.854979	0.136881	5.0
G1	desk007_20231030_028_p2	desk007	S-	118	0.086874	1.201303	1.490811	2.982276	3.219737	0.0	5.759689	0.136881	5.0
PRG	desk007_20231030_030_p2	desk007	S-	188	-1.512133	3.639147	5.008705	9.966197	10.644317	0.356383	7.187384	0.134971	5.0
G1	desk007_20231030_030_p2	desk007	S-	188	0.536917	1.73395	2.289472	4.821782	5.523563	0.037234	5.767093	0.134971	5.0
PRG	desk007_20231030_032_p2	desk007	S-	120	-2.556666	3.360882	4.605376	8.151946	8.719007	0.366667	7.940197	0.115395	5.0
G1	desk007_20231030_032_p2	desk007	S-	120	1.043707	1.674792	2.02179	3.703917	4.117751	0.0	7.598309	0.115395	5.0
PRG	desk007_20231030_034_p1	desk007	S-	121	-3.461248	3.531649	4.743254	8.345871	9.349421	0.404959	11.380648	0.151171	5.0
G1	desk007_20231030_034_p1	desk007	S-	121	1.507541	1.951226	2.820918	7.24805	8.347722	0.099174	9.837054	0.151171	5.0
