object_key	case_id	arm	stratum	fall_flag	body_z_err_p95_m	ankle_jerk_p95	obj_speed_max	track_root_pos_err_cm_mean	track_root_ori_err_deg_mean	track_eef_pos_err_cm_mean	track_eef_ori_err_deg_mean	track_obj_pos_err_cm_mean	track_obj_ori_err_deg_mean	hand_object_physics_contact_in_mask_frac	hand_object_release_false_contact_3mm_frac	hand_object_physics_penetration_3mm_frame_frac	leg_penetration_frac	layer	hard_pass	hard_failed	wide_pass	wide_failed	narrow_pass	narrow_failed	physics6_pass	tracking6_pass	gate12_pass	gate12_failed	g12_fall	g12_body_z	g12_contact	g12_release	g12_hand_penetration	g12_lower_body	g12_root_pos	g12_root_ori	g12_hand_pos	g12_hand_ori	g12_object_pos	g12_object_ori
desk007	desk007_20231030_028_p1	g1	S-	False	0.0958	428.8243	0.8487	18.3977	8.6843	16.1535	23.8041	11.6388	6.3151	0.7692	0.4	0.2625	0.0	L1_reject	True		False	eef_ori	False	eef_ori,release	False	False	False	release,hand_ori	True	True	True	False	True	True	True	True	True	False	True	True
desk007	desk007_20231030_028_p1	prg	S-	False	0.0564	614.3194	0.8498	18.33	6.9952	16.9994	13.9348	12.0266	4.6543	0.8769	0.2667	0.375	0.0	L2_review	True		True		False	hand_pen	False	True	False	hand_penetration	True	True	True	True	False	True	True	True	True	True	True	True
desk007	desk007_20231030_028_p2	g1	S-	False	0.034	405.2505	0.9088	11.7507	5.1806	9.8787	13.391	5.7597	3.2238	0.8021		0.0763	0.0678	L1_reject	True		False	release	False	release	True	True	True		True	True	True	True	True	True	True	True	True	True	True	True
desk007	desk007_20231030_028_p2	prg	S-	False	0.0385	538.6072	0.8872	10.4408	5.266	9.9227	10.7232	6.855	4.9712	0.9167		0.161	0.1017	L1_reject	True		False	release	False	release	False	True	False	lower_body	True	True	True	True	True	False	True	True	True	True	True	True
desk007	desk007_20231030_030_p2	g1	S-	False	0.0517	434.6542	0.9907	9.1588	5.5772	9.318	14.8566	5.7671	4.5576	0.7372	0.8261	0.1543	0.0479	L1_reject	True		False	release	False	release	False	True	False	release	True	True	True	False	True	True	True	True	True	True	True	True
desk007	desk007_20231030_030_p2	prg	S-	False	0.0791	372.9834	0.9997	7.3711	5.8974	8.5139	16.6525	7.1874	6.36	0.9416	0.1304	0.2181	0.016	L3_auto	True		True		True		True	True	True		True	True	True	True	True	True	True	True	True	True	True	True
desk007	desk007_20231030_032_p2	g1	S-	False	0.0486	703.5443	1.1379	20.9915	12.62	17.7597	24.7493	7.5983	2.8282	0.7532	0.0	0.25	0.0417	L1_reject	True		False	eef_ori	False	root_pos,eef_ori	True	False	False	root_pos,hand_ori	True	True	True	True	True	True	False	True	True	False	True	True
desk007	desk007_20231030_032_p2	prg	S-	False	0.0472	670.1399	1.2722	14.4879	7.0307	13.074	14.393	7.9402	4.6333	0.8831	0.24	0.4167	0.025	L2_review	True		True		False	hand_pen	False	True	False	hand_penetration	True	True	True	True	False	True	True	True	True	True	True	True
desk007	desk007_20231030_034_p1	g1	S-	False	0.1701	602.5765	1.062	27.4205	41.8975	19.4099	51.3067	9.8371	7.2144	0.7604	0.0	0.3306	0.0	L1_reject	True		False	root_pos,root_ori,eef_ori	False	root_pos,root_ori,eef_ori,hand_pen	False	False	False	hand_penetration,root_pos,root_ori,hand_ori	True	True	True	True	False	True	False	False	True	False	True	True
desk007	desk007_20231030_034_p1	prg	S-	False	0.0588	516.3929	1.0544	17.5777	9.7316	14.5363	17.6502	11.3806	5.9331	0.7812	0.08	0.0992	0.0165	L3_auto	True		True		True		True	True	True		True	True	True	True	True	True	True	True	True	True	True	True
