case_id	object_key	person	experiment	arm	gravcomp	tier	aug_variant	variant	preferred_pool	shard	target_task	target_scene	scene_act	scene_name	effective_scene_sha256	trajectory	trajectory_sha256	contact_mask	contact_mask_sha256	override_id	override_path	override_sha256	baseline_outdir_npz	baseline_scene_sha256	g1_outdir_npz	cem_samples	cem_opt_steps	cem_seed	execution_mode	result_npz	outdir_npz	config_act	video	log	status	failure_mode	gpu_id	host	updated_at
desk007_20231030_028_p1	desk007	person1	E211	G04	0.4	P0	orig	E211_desk007_20231030_028_p1_G04	local	A	dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/scene_act_E211_lowgeom_PRG_gc04.xml	scene_act_E211_lowgeom_PRG_gc04	d657776ee345e7ef98b493955cb6bbd1a36acd62871b0e9402da89d7e3f13b99	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/0/trajectory_kinematic.npz	83bc150ee7f1ba31d5b5a2bc20338bb48e7d5c0cee29880149881cf813919aa7	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/raw_contact_mask_3cm.npz	d4381fbd514a43cc1416657ffe808ca070c5e7eb6b0b66839d79ef473507ee6a	core4d_E211_desk007_20231030_028_p1_lowgeom_PRG_G04	examples/config/override/core4d_E211_desk007_20231030_028_p1_lowgeom_PRG_G04.yaml	0a142aceb7e63f9aaa1a0be3546d992cce1b286ed13da45ff1c97d0095b6ccf7	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_028_p1_prg/trajectory_mjwp_act.npz	40bdb851b14cbeae8d724c43f3cff0c346e227123352aaeceded1be3f1d5d14b	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_028_p1_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G04/E211_desk007_20231030_028_p1_G04.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G04/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G04/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_028_p1_G04.mp4	logs/E211/cem/full/E211_desk007_20231030_028_p1_G04.log	run_complete_pending_eval		0	lshb-qs-u3x6-6	2026-09-06T18:53:08+08:00
desk007_20231030_028_p1	desk007	person1	E211	G06	0.6	P0	orig	E211_desk007_20231030_028_p1_G06	local	B	dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/scene_act_E211_lowgeom_PRG_gc06.xml	scene_act_E211_lowgeom_PRG_gc06	6b21bd24847facd140c6544b6d7ae485f8e6904f7c97d87a5e18e11880ed5b3f	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/0/trajectory_kinematic.npz	83bc150ee7f1ba31d5b5a2bc20338bb48e7d5c0cee29880149881cf813919aa7	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/raw_contact_mask_3cm.npz	d4381fbd514a43cc1416657ffe808ca070c5e7eb6b0b66839d79ef473507ee6a	core4d_E211_desk007_20231030_028_p1_lowgeom_PRG_G06	examples/config/override/core4d_E211_desk007_20231030_028_p1_lowgeom_PRG_G06.yaml	746072c86523dfa1a5effaf1e3ac25867aea7b937f5aaab6b8056d2fb0ca4cc7	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_028_p1_prg/trajectory_mjwp_act.npz	40bdb851b14cbeae8d724c43f3cff0c346e227123352aaeceded1be3f1d5d14b	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_028_p1_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G06/E211_desk007_20231030_028_p1_G06.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G06/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G06/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_028_p1_G06.mp4	logs/E211/cem/full/E211_desk007_20231030_028_p1_G06.log	run_complete_pending_eval		0	lshb-k8s-al-sh-gpu-rdma-prod-103	2026-09-06T18:59:24+08:00
desk007_20231030_028_p1	desk007	person1	E211	G08	0.8	P0	orig	E211_desk007_20231030_028_p1_G08	local	A	dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/scene_act_E211_lowgeom_PRG_gc08.xml	scene_act_E211_lowgeom_PRG_gc08	6cdd7bba49096b637d51c56fdeb32abada7f25408500c3deca803a3c3d3d2c30	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/0/trajectory_kinematic.npz	83bc150ee7f1ba31d5b5a2bc20338bb48e7d5c0cee29880149881cf813919aa7	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p1/raw_contact_mask_3cm.npz	d4381fbd514a43cc1416657ffe808ca070c5e7eb6b0b66839d79ef473507ee6a	core4d_E211_desk007_20231030_028_p1_lowgeom_PRG_G08	examples/config/override/core4d_E211_desk007_20231030_028_p1_lowgeom_PRG_G08.yaml	0f7c5ff818da42960969cf16a58ad75c618a5e74338d0856971a72ed6ea1f3b0	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_028_p1_prg/trajectory_mjwp_act.npz	40bdb851b14cbeae8d724c43f3cff0c346e227123352aaeceded1be3f1d5d14b	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_028_p1_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G08/E211_desk007_20231030_028_p1_G08.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G08/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p1_G08/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_028_p1_G08.mp4	logs/E211/cem/full/E211_desk007_20231030_028_p1_G08.log	run_complete_pending_eval		1	lshb-qs-u3x6-6	2026-09-06T18:53:09+08:00
desk007_20231030_028_p2	desk007	person2	E211	G04	0.4	P0	orig	E211_desk007_20231030_028_p2_G04	local	B	dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/scene_act_E211_lowgeom_PRG_gc04.xml	scene_act_E211_lowgeom_PRG_gc04	f7025b4fa9653020d11cfa31126491ab77018b5ce5402b32f2e4a97717a6ab84	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/0/trajectory_kinematic.npz	1909177f0d0810070becf19030e863a82e31eb6863142afadae2701590ea5b64	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/raw_contact_mask_3cm.npz	df6dc1a5a71a8b4a0d84c9233ab1a2279be02b1696d702cc6d1bc30fa38b4b34	core4d_E211_desk007_20231030_028_p2_lowgeom_PRG_G04	examples/config/override/core4d_E211_desk007_20231030_028_p2_lowgeom_PRG_G04.yaml	208aaf4a5784be4f1637fc2cef7e979b905668ea2af0a7ecf24585e2f3c0f944	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_028_p2_prg/trajectory_mjwp_act.npz	ed630f184291ca7ed04ac2854a7abbc8fa31ae1a33c8409dbd803ac01bb68d83	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_028_p2_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G04/E211_desk007_20231030_028_p2_G04.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G04/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G04/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_028_p2_G04.mp4	logs/E211/cem/full/E211_desk007_20231030_028_p2_G04.log	run_complete_pending_eval		1	lshb-k8s-al-sh-gpu-rdma-prod-103	2026-09-06T19:13:09+08:00
desk007_20231030_028_p2	desk007	person2	E211	G06	0.6	P0	orig	E211_desk007_20231030_028_p2_G06	local	A	dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/scene_act_E211_lowgeom_PRG_gc06.xml	scene_act_E211_lowgeom_PRG_gc06	be806b2de89f0a4586f577544c16260d9b48a8fb37793c026ece9c0421474d31	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/0/trajectory_kinematic.npz	1909177f0d0810070becf19030e863a82e31eb6863142afadae2701590ea5b64	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/raw_contact_mask_3cm.npz	df6dc1a5a71a8b4a0d84c9233ab1a2279be02b1696d702cc6d1bc30fa38b4b34	core4d_E211_desk007_20231030_028_p2_lowgeom_PRG_G06	examples/config/override/core4d_E211_desk007_20231030_028_p2_lowgeom_PRG_G06.yaml	8b4429287639cb201afbd7c7375b6f129b0c7ed2a5a8188f2b7fef3f4ed3ae1a	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_028_p2_prg/trajectory_mjwp_act.npz	ed630f184291ca7ed04ac2854a7abbc8fa31ae1a33c8409dbd803ac01bb68d83	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_028_p2_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G06/E211_desk007_20231030_028_p2_G06.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G06/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G06/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_028_p2_G06.mp4	logs/E211/cem/full/E211_desk007_20231030_028_p2_G06.log	run_complete_pending_eval		2	lshb-qs-u3x6-6	2026-09-06T19:08:10+08:00
desk007_20231030_028_p2	desk007	person2	E211	G08	0.8	P0	orig	E211_desk007_20231030_028_p2_G08	local	B	dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/scene_act_E211_lowgeom_PRG_gc08.xml	scene_act_E211_lowgeom_PRG_gc08	e2d2f76b4be26bab6f3c8e526fe9f05a1c953dc7c8fb36fbe98430cda92695e8	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/0/trajectory_kinematic.npz	1909177f0d0810070becf19030e863a82e31eb6863142afadae2701590ea5b64	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_028_p2/raw_contact_mask_3cm.npz	df6dc1a5a71a8b4a0d84c9233ab1a2279be02b1696d702cc6d1bc30fa38b4b34	core4d_E211_desk007_20231030_028_p2_lowgeom_PRG_G08	examples/config/override/core4d_E211_desk007_20231030_028_p2_lowgeom_PRG_G08.yaml	fd4b885cc1e9bd8aaa8a1143f3f61a6ef0deaffd5470b20614c1abf0d6797926	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_028_p2_prg/trajectory_mjwp_act.npz	ed630f184291ca7ed04ac2854a7abbc8fa31ae1a33c8409dbd803ac01bb68d83	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_028_p2_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G08/E211_desk007_20231030_028_p2_G08.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G08/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_028_p2_G08/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_028_p2_G08.mp4	logs/E211/cem/full/E211_desk007_20231030_028_p2_G08.log	run_complete_pending_eval		2	lshb-k8s-al-sh-gpu-rdma-prod-103	2026-09-06T19:13:25+08:00
desk007_20231030_030_p2	desk007	person2	E211	G04	0.4	P0	orig	E211_desk007_20231030_030_p2_G04	local	A	dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/scene_act_E211_lowgeom_PRG_gc04.xml	scene_act_E211_lowgeom_PRG_gc04	d9b3b4585a4e59ca68f030504ff877bba1e71016fbabd0c32c3e4e3e7245fc9c	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/0/trajectory_kinematic.npz	2d7f0356d3d9411040907fea0310c86ef51c04fad41bf4d06cacf9976003299c	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/raw_contact_mask_3cm.npz	1a1b35863a029734acdcf8d3f9a80c45055ee6897e0356a64b172feb9a2a97a8	core4d_E211_desk007_20231030_030_p2_lowgeom_PRG_G04	examples/config/override/core4d_E211_desk007_20231030_030_p2_lowgeom_PRG_G04.yaml	8648c209f23bf72a8d97a1d22b076ebe8a9650dec1570e61c6fdfde704922360	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_030_p2_prg/trajectory_mjwp_act.npz	4bc037a64b5f4836a9de87282f47dba63df4f8afca09cd45d44e41a4fbc8b209	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_030_p2_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G04/E211_desk007_20231030_030_p2_G04.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G04/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G04/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_030_p2_G04.mp4	logs/E211/cem/full/E211_desk007_20231030_030_p2_G04.log	run_complete_pending_eval		3	lshb-qs-u3x6-6	2026-09-06T19:35:26+08:00
desk007_20231030_030_p2	desk007	person2	E211	G06	0.6	P0	orig	E211_desk007_20231030_030_p2_G06	local	B	dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/scene_act_E211_lowgeom_PRG_gc06.xml	scene_act_E211_lowgeom_PRG_gc06	3f3cd33848568a5fb5b69a613d872915be5877aace1c5ba72706c5558f6308ce	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/0/trajectory_kinematic.npz	2d7f0356d3d9411040907fea0310c86ef51c04fad41bf4d06cacf9976003299c	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/raw_contact_mask_3cm.npz	1a1b35863a029734acdcf8d3f9a80c45055ee6897e0356a64b172feb9a2a97a8	core4d_E211_desk007_20231030_030_p2_lowgeom_PRG_G06	examples/config/override/core4d_E211_desk007_20231030_030_p2_lowgeom_PRG_G06.yaml	0a995f13dd4b400fa33ba70f2c1c082c24543daee1b83895e6b7d190975b925c	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_030_p2_prg/trajectory_mjwp_act.npz	4bc037a64b5f4836a9de87282f47dba63df4f8afca09cd45d44e41a4fbc8b209	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_030_p2_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G06/E211_desk007_20231030_030_p2_G06.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G06/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G06/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_030_p2_G06.mp4	logs/E211/cem/full/E211_desk007_20231030_030_p2_G06.log	run_complete_pending_eval		3	lshb-k8s-al-sh-gpu-rdma-prod-103	2026-09-06T19:39:26+08:00
desk007_20231030_030_p2	desk007	person2	E211	G08	0.8	P0	orig	E211_desk007_20231030_030_p2_G08	local	A	dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/scene_act_E211_lowgeom_PRG_gc08.xml	scene_act_E211_lowgeom_PRG_gc08	fca9052ca66729ea5b5d46e57d997f40f8e9a244998969e8881d02640dd8049e	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/0/trajectory_kinematic.npz	2d7f0356d3d9411040907fea0310c86ef51c04fad41bf4d06cacf9976003299c	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_030_p2/raw_contact_mask_3cm.npz	1a1b35863a029734acdcf8d3f9a80c45055ee6897e0356a64b172feb9a2a97a8	core4d_E211_desk007_20231030_030_p2_lowgeom_PRG_G08	examples/config/override/core4d_E211_desk007_20231030_030_p2_lowgeom_PRG_G08.yaml	3b4f780c9c5a47ba80d6cd2e87dba30958f6aa3cebd65d967289a52ceb53b7b2	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_030_p2_prg/trajectory_mjwp_act.npz	4bc037a64b5f4836a9de87282f47dba63df4f8afca09cd45d44e41a4fbc8b209	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_030_p2_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G08/E211_desk007_20231030_030_p2_G08.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G08/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_030_p2_G08/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_030_p2_G08.mp4	logs/E211/cem/full/E211_desk007_20231030_030_p2_G08.log	run_complete_pending_eval		4	lshb-qs-u3x6-6	2026-09-06T19:33:25+08:00
desk007_20231030_032_p2	desk007	person2	E211	G04	0.4	P0	orig	E211_desk007_20231030_032_p2_G04	local	B	dcv3_omnirt_v1_ref_fk_desk007_20231030_032_p2	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_032_p2/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_032_p2/scene_act_E211_lowgeom_PRG_gc04.xml	scene_act_E211_lowgeom_PRG_gc04	395eae1507d0065abf1611732972e21f57a16a73855e7ecddc9b338bd3eed15c	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_desk007_20231030_032_p2/0/trajectory_kinematic.npz	e1bf1de609599bb26b7a98dd843ab4c43d9e9c2ee8c82b09e614855f24ffaa49	workspace/core4d/results/E206/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_desk007_20231030_032_p2/raw_contact_mask_3cm.npz	e319543a323d5d3e30838f5af3bb90365121002d145c7653b392942866daafe7	core4d_E211_desk007_20231030_032_p2_lowgeom_PRG_G04	examples/config/override/core4d_E211_desk007_20231030_032_p2_lowgeom_PRG_G04.yaml	42866b74efb0faa7bd3f9fbda48cbb0f19fde30dfecf3947170b5ecd9e622f7a	workspace/core4d/results/E206/s6_downstream/cem/full/E206_desk007_20231030_032_p2_prg/trajectory_mjwp_act.npz	48cbcfadc991140303779a900a2d42b917747589ffc18729357ef3f9f689ee45	workspace/core4d/results/E209/s6_downstream/cem/full/E209_desk007_20231030_032_p2_G1/trajectory_mjwp_act.npz	1024	32	0	production	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_032_p2_G04/E211_desk007_20231030_032_p2_G04.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_032_p2_G04/trajectory_mjwp_act.npz	workspace/core4d/results/E211/s6_downstream/cem/full/E211_desk007_20231030_032_p2_G04/config_act.yaml	workspace/core4d/results/E211/s6_downstream/render/full/E211_desk007_20231030_032_p2_G04.mp4	logs/E211/cem/full/E211_desk007_20231030_032_p2_G04.log	run_complete_pending_eval		4	lshb-k8s-al-sh-gpu-rdma-prod-103	2026-09-06T19:14:41+08:00
