eval_frame,eval_time_s,ref_frame_30hz,raw_frame,person1_left_contact,person1_left_min_dist_m,person1_left_tip_min_dist_m,person1_left_n_vertices_lt_thresh,person1_right_contact,person1_right_min_dist_m,person1_right_tip_min_dist_m,person1_right_n_vertices_lt_thresh,person2_left_contact,person2_left_min_dist_m,person2_left_tip_min_dist_m,person2_left_n_vertices_lt_thresh,person2_right_contact,person2_right_min_dist_m,person2_right_tip_min_dist_m,person2_right_n_vertices_lt_thresh
0,0.0,0,42,0,0.5645681619644165,0.5931637287139893,0,0,0.4985347092151642,0.5008974075317383,0,0,0.5560823082923889,0.5600082278251648,0,0,0.5142832398414612,0.5169575810432434,0
1,0.02,1,43,0,0.5648661255836487,0.5939255952835083,0,0,0.4988745450973511,0.5012589693069458,0,0,0.5771798491477966,0.5814880132675171,0,0,0.5167569518089294,0.5195477604866028,0
2,0.04,1,43,0,0.5648661255836487,0.5939255952835083,0,0,0.4988745450973511,0.5012589693069458,0,0,0.5771798491477966,0.5814880132675171,0,0,0.5167569518089294,0.5195477604866028,0
3,0.06,2,44,0,0.5652005672454834,0.5939885377883911,0,0,0.4993736147880554,0.5017671585083008,0,0,0.5927112102508545,0.594171941280365,0,0,0.5209022760391235,0.523895263671875,0
4,0.08,2,44,0,0.5652005672454834,0.5939885377883911,0,0,0.4993736147880554,0.5017671585083008,0,0,0.5927112102508545,0.594171941280365,0,0,0.5209022760391235,0.523895263671875,0
5,0.1,3,45,0,0.5656436681747437,0.5948669910430908,0,0,0.49938657879829407,0.5017930269241333,0,0,0.5980750918388367,0.5995326638221741,0,0,0.5265561938285828,0.5297966599464417,0
6,0.12,4,46,0,0.5665079355239868,0.5957580208778381,0,0,0.5010682940483093,0.5034989714622498,0,0,0.5952407121658325,0.5987901091575623,0,0,0.5330788493156433,0.5369828939437866,0
7,0.14,4,46,0,0.5665079355239868,0.5957580208778381,0,0,0.5010682940483093,0.5034989714622498,0,0,0.5952407121658325,0.5987901091575623,0,0,0.5330788493156433,0.5369828939437866,0
8,0.16,5,47,0,0.5667074918746948,0.5955398082733154,0,0,0.501320481300354,0.5037853717803955,0,0,0.5842796564102173,0.5876604318618774,0,0,0.5377953052520752,0.543324887752533,0
9,0.18,5,47,0,0.5667074918746948,0.5955398082733154,0,0,0.501320481300354,0.5037853717803955,0,0,0.5842796564102173,0.5876604318618774,0,0,0.5377953052520752,0.543324887752533,0
