variant,kind,frame,eval_time_s,leg_box_sdf_min_m,leg_box_sdf_arg,hand_box_sdf_min_m,hand_box_sdf_arg,leg_object_contact_count,hand_object_contact_count,object_floor_contact_count,leg_object_contact_min_dist_m,hand_object_contact_min_dist_m,object_bottom_proxy_m,object_z_m
E081_box023_p2_legobj,sim,0,0.0,0.17918168454397346,rf2,0.2901151045648022,rh,0,0,4,,,-0.029862683420157132,0.14673731657984287
E081_box023_p2_legobj,sim,1,0.02,0.17911977763261502,rf2,0.28776665963561315,rh,0,0,4,,,-0.027216157774677036,0.14938384222532297
E081_box023_p2_legobj,sim,2,0.04,0.17922207877137544,rf2,0.285930785489917,rh,0,0,4,,,-0.02522288213249249,0.15137711786750752
E081_box023_p2_legobj,sim,3,0.06,0.17949039451688928,rf2,0.2846311709060538,rh,0,0,4,,,-0.023761381623131433,0.15283861837686857
E081_box023_p2_legobj,sim,4,0.08,0.17984586643055914,rf2,0.2838181985454486,rh,0,0,4,,,-0.02270121503595432,0.1538987849640457
E081_box023_p2_legobj,sim,5,0.1,0.18026507706551534,rf2,0.2833256334791053,rh,0,0,4,,,-0.021935469030026133,0.15466453096997387
E081_box023_p2_legobj,sim,6,0.12,0.18068576499572717,rf2,0.28303118558574675,rh,0,0,4,,,-0.021383283379405704,0.1552167166205943
E081_box023_p2_legobj,sim,7,0.14,0.18104614902033342,rf2,0.28286621638127973,rh,0,0,4,,,-0.020985319560871546,0.15561468043912846
E081_box023_p2_legobj,sim,8,0.16,0.18092125823817087,right_thigh_collision,0.2826959039452105,rh,0,0,4,,,-0.02069852805765396,0.15590147194234605
E081_box023_p2_legobj,sim,9,0.18,0.18088978764565694,right_thigh_collision,0.28270332413076504,rh,0,0,4,,,-0.020493912036549294,0.1561060879634507
E081_box023_p2_legobj,sim,10,0.2,0.18085010807449176,right_thigh_collision,0.28258321898828104,rh,0,0,4,,,-0.02035547493384471,0.1562445250661553
E081_box023_p2_legobj,sim,11,0.22,0.1809927146309732,right_thigh_collision,0.28246134474324736,rh,0,0,4,,,-0.020265067385035695,0.1563349326149643
E081_box023_p2_legobj,sim,12,0.24,0.18184338797026814,right_thigh_collision,0.28159591401049805,rh,0,0,4,,,-0.020201465511681033,0.15639853448831897
E081_box023_p2_legobj,sim,13,0.26,0.183063512100499,rf2,0.2802211617314305,rh,0,0,4,,,-0.02015883489355258,0.15644116510644743
E081_box023_p2_legobj,sim,14,0.28,0.18382133647585389,rf2,0.277786447623247,rh,0,0,4,,,-0.02013122926983646,0.15646877073016355
E081_box023_p2_legobj,sim,15,0.3,0.1847025899980336,rf2,0.27488351936020466,rh,0,0,4,,,-0.020114067748153802,0.1564859322518462
E081_box023_p2_legobj,sim,16,0.32,0.18548133194704833,rf2,0.27098123675395747,rh,0,0,4,,,-0.020103829429500814,0.1564961705704992
E081_box023_p2_legobj,sim,17,0.34,0.1861027889848569,rf2,0.26632568178347105,rh,0,0,4,,,-0.02009786072104039,0.15650213927895962
E081_box023_p2_legobj,sim,18,0.36,0.18640873737495176,rf2,0.2604675393054631,rh,0,0,4,,,-0.02009438907307981,0.1565056109269202
E081_box023_p2_legobj,sim,19,0.38,0.18675142928479624,rf2,0.25381684070860927,rh,0,0,4,,,-0.020092318808205722,0.15650768119179428
E081_box023_p2_legobj,sim,20,0.4,0.18702978901113812,rf2,0.24618209377584227,rh,0,0,4,,,-0.020091021107621954,0.15650897889237805
E081_box023_p2_legobj,sim,21,0.42,0.18720976180704382,rf2,0.23760885879246763,rh,0,0,4,,,-0.02009019081522634,0.15650980918477367
E081_box023_p2_legobj,sim,22,0.44,0.18713514345553342,rf2,0.22782816650954674,rh,0,0,4,,,-0.02008965065264373,0.15651034934735628
E081_box023_p2_legobj,sim,23,0.46,0.18671531746064493,rf2,0.2168187506758602,rh,0,0,4,,,-0.020089302864067488,0.15651069713593252
E081_box023_p2_legobj,sim,24,0.48,0.185973097963174,rf2,0.20419981381408853,rh,0,0,4,,,-0.020089093651169593,0.15651090634883041
E081_box023_p2_legobj,sim,25,0.5,0.1850393673595546,rf2,0.19012019783360345,rh,0,0,4,,,-0.020088965064436193,0.15651103493556381
E081_box023_p2_legobj,sim,26,0.52,0.18398208796419133,rf2,0.17413635058470267,rh,0,0,4,,,-0.020088875987469806,0.1565111240125302
E081_box023_p2_legobj,sim,27,0.54,0.18290679617136293,rf2,0.1565955003113667,rh,0,0,4,,,-0.0200888158796724,0.1565111841203276
E081_box023_p2_legobj,sim,28,0.56,0.18189356413830962,rf2,0.13783297757023472,rh,0,0,4,,,-0.020088783354538176,0.15651121664546183
E081_box023_p2_legobj,sim,29,0.58,0.1809056872411731,rf2,0.11818148026533505,rh,0,0,4,,,-0.020088753096387996,0.156511246903612
E081_box023_p2_legobj,sim,30,0.6,0.17998069863720037,rf2,0.0979167975232348,rh,0,0,4,,,-0.02008872192697314,0.15651127807302687
E081_box023_p2_legobj,sim,31,0.62,0.17913769136568472,rf2,0.0779613535936884,rh,0,0,4,,,-0.0200887072044052,0.1565112927955948
E081_box023_p2_legobj,sim,32,0.64,0.1783711275371078,rf2,0.05896516610488592,rh,0,0,4,,,-0.0200887061002204,0.1565112938997796
E081_box023_p2_legobj,sim,33,0.66,0.17771636178534986,rf2,0.04263272257265735,rh,0,0,4,,,-0.02008880940199126,0.15651119059800875
E081_box023_p2_legobj,sim,34,0.68,0.17727956291382105,rf2,0.02935335383522604,rh,0,0,4,,,-0.020089027981898877,0.15651097201810113
E081_box023_p2_legobj,sim,35,0.7,0.17696537553164868,rf2,0.015284375534168768,rh,0,0,4,,,-0.020089160938336764,0.15651083906166324
E081_box023_p2_legobj,sim,36,0.72,0.17692210019439372,rf2,0.00046203029300449783,rh,0,0,4,,,-0.02008916043118833,0.15651083956881168
E081_box023_p2_legobj,sim,37,0.74,0.17697880204198171,rf2,-0.016021514113178245,rh,0,1,4,,-0.016021514113178245,-0.020089114291034882,0.15651088570896513
E081_box023_p2_legobj,sim,38,0.76,0.17955171262343325,rf2,-0.023252467614956154,rh,0,1,1,,-0.023252467614956154,-0.01945921526708891,0.1571407847329111
E081_box023_p2_legobj,sim,39,0.78,0.18360247430231005,rf2,-0.025693911723393234,rh,0,1,2,,-0.025693911723393234,-0.0198951680472004,0.1567048319527996
E081_box023_p2_legobj,sim,40,0.8,0.18974675363937507,rf2,-0.024317671714533293,rh,0,1,4,,-0.024317671714533293,-0.0209599905494344,0.1556400094505656
E081_box023_p2_legobj,sim,41,0.82,0.19353193136990007,rf2,-0.022423418056106106,rh,0,1,2,,-0.022423418056106106,-0.019979426206121947,0.15662057379387806
E081_box023_p2_legobj,sim,42,0.84,0.1962741681405745,rf2,-0.019569003209911548,rh,0,1,2,,-0.019569003209911548,-0.019131047299423887,0.15746895270057612
E081_box023_p2_legobj,sim,43,0.86,0.19806661647020088,rf2,-0.016651828407219946,rh,0,1,1,,-0.016651828407219946,-0.01883152908298516,0.15776847091701485
E081_box023_p2_legobj,sim,44,0.88,0.1942040155710444,lf3,-0.014026389328407066,rh,0,1,2,,-0.014026389328407093,-0.019751507216100528,0.15684849278389948
E081_box023_p2_legobj,sim,45,0.9,0.18578673708262408,lf3,-0.011545244324909568,rh,0,1,2,,-0.011545244324909568,-0.020249330189280185,0.15635066981071982
E081_box023_p2_legobj,sim,46,0.92,0.17640925863365173,lf3,-0.009521613783303337,rh,0,1,3,,-0.009521613783303337,-0.020710829414180593,0.15588917058581941
E081_box023_p2_legobj,sim,47,0.94,0.1656035545673681,lf3,-0.008690431255931767,rh,0,1,3,,-0.00869043125593174,-0.0207293876705828,0.1558706123294172
E081_box023_p2_legobj,sim,48,0.96,0.1542605291064885,lf3,-0.009157991280584872,rh,0,1,3,,-0.0091579912805849,-0.020629678902096132,0.15597032109790387
E081_box023_p2_legobj,sim,49,0.98,0.14365535403153132,lf3,-0.009996352861593352,rh,0,1,4,,-0.009996352861593352,-0.020482179574920073,0.15611782042507993
E081_box023_p2_legobj,sim,50,1.0,0.13517209042027004,lf3,-0.010538028898864446,rh,0,1,1,,-0.010538028898864439,-0.01913756617916962,0.1574624338208304
E081_box023_p2_legobj,sim,51,1.02,0.12898530977002307,lf3,-0.010813282304024396,rh,0,1,0,,-0.010813282304024396,-0.01660707901142039,0.15999292098857962
E081_box023_p2_legobj,sim,52,1.04,0.124754879005639,lf3,-0.010841970063171474,rh,0,1,0,,-0.010841970063171474,-0.01396006106970421,0.1626399389302958
E081_box023_p2_legobj,sim,53,1.06,0.12254197082871773,lf3,-0.010120263610130964,rh,0,1,0,,-0.010120263610130957,-0.010251879236586242,0.16634812076341376
E081_box023_p2_legobj,sim,54,1.08,0.1225378622586639,lf3,-0.008868124030515907,rh,0,1,0,,-0.008868124030515907,-0.005119530517448623,0.17148046948255138
E081_box023_p2_legobj,sim,55,1.1,0.12577225669107162,lf3,-0.007001512593645141,rh,0,1,0,,-0.007001512593645121,0.0017397037385176173,0.17833970373851762
E081_box023_p2_legobj,sim,56,1.12,0.12865206667291965,lf3,-0.005102867252637415,rh,0,1,0,,-0.005102867252637415,0.010519018365417493,0.1871190183654175
E081_box023_p2_legobj,sim,57,1.14,0.132947795824169,lf3,-0.00344179731498645,rh,0,1,0,,-0.003441797314986429,0.021229854685510724,0.19782985468551073
E081_box023_p2_legobj,sim,58,1.16,0.1408945451286452,lf3,-0.0015414782445740335,rh,0,1,0,,-0.0015414782445740335,0.03343042972883237,0.21003042972883237
E081_box023_p2_legobj,sim,59,1.18,0.1485284017027879,lf3,-0.0009657654798997453,rh,0,1,0,,-0.000965765479899787,0.0468206635967299,0.2234206635967299
E081_box023_p2_legobj,sim,60,1.2,0.15737804942698166,lf3,-0.0003317620591951759,rh,0,1,0,,-0.0003317620591951759,0.06093800550550632,0.23753800550550633
E081_box023_p2_legobj,sim,61,1.22,0.1669195499584742,lf3,-0.00026698813298211416,rh,0,1,0,,-0.00026698813298211416,0.07514186981625362,0.2517418698162536
E081_box023_p2_legobj,sim,62,1.24,0.17817848026949262,lf3,-0.0009500508880391431,rh,0,1,0,,-0.0009500508880391501,0.0889093870832198,0.2655093870832198
E081_box023_p2_legobj,sim,63,1.26,0.18943196058127298,lf3,-0.0007342479599223156,rh,0,1,0,,-0.0007342479599223156,0.10292772798705654,0.27952772798705655
E081_box023_p2_legobj,sim,64,1.28,0.20154193616028213,lf3,-0.0002455004362048735,rh,0,1,0,,-0.0002455004362048527,0.1173474576794998,0.2939474576794998
E081_box023_p2_legobj,sim,65,1.3,0.21396523608783652,lf3,-0.0007023032108154359,rh,0,1,0,,-0.000702303210815422,0.13169051060772416,0.30829051060772417
E081_box023_p2_legobj,sim,66,1.32,0.22536393862596216,left_shin_collision,-0.0006903226062648371,rh,0,1,0,,-0.0006903226062648371,0.14597457257550803,0.32257457257550803
E081_box023_p2_legobj,sim,67,1.34,0.22374676427231227,left_shin_collision,-0.00015666840879658556,rh,0,1,0,,-0.00015666840879658556,0.1598640201428018,0.3364640201428018
E081_box023_p2_legobj,sim,68,1.36,0.2211735410600163,left_shin_collision,0.0036117928503450747,rh,0,0,0,,,0.17301330630984854,0.34961330630984855
E081_box023_p2_legobj,sim,69,1.38,0.21786919169880142,left_shin_collision,0.00413536050173801,rh,0,0,0,,,0.18482233022124953,0.36142233022124953
E081_box023_p2_legobj,sim,70,1.4,0.21305535727318792,left_shin_collision,0.0036522596228266077,rh,0,0,0,,,0.19537592883655283,0.37197592883655284
E081_box023_p2_legobj,sim,71,1.42,0.20695537011938553,left_shin_collision,0.0029638762436918,rh,0,0,0,,,0.20497023156450125,0.38157023156450126
E081_box023_p2_legobj,sim,72,1.44,0.19908064900718703,left_shin_collision,0.0046332566584926516,rh,0,0,0,,,0.21367072826797298,0.390270728267973
E081_box023_p2_legobj,sim,73,1.46,0.19040541813696232,left_shin_collision,0.0066724095896572855,rh,0,0,0,,,0.22169161700355997,0.39829161700356
E081_box023_p2_legobj,sim,74,1.48,0.18140169488842534,left_shin_collision,0.00896813621413782,rh,0,0,0,,,0.22920323507924797,0.405803235079248
E081_box023_p2_legobj,sim,75,1.5,0.17248712799550198,left_shin_collision,0.009502672868808945,rh,0,0,0,,,0.2363103991271678,0.4129103991271678
E081_box023_p2_legobj,sim,76,1.52,0.16540413325846925,left_shin_collision,0.007475894476294084,rh,0,0,0,,,0.24308739549655198,0.419687395496552
E081_box023_p2_legobj,sim,77,1.54,0.16090382087905875,left_shin_collision,0.0033422751796043718,rh,0,0,0,,,0.24959850437645018,0.4261985043764502
E081_box023_p2_legobj,sim,78,1.56,0.15987626329280535,left_shin_collision,-0.0013474745893629625,rh,0,1,0,,-0.0013474745893629694,0.25589807360212513,0.43249807360212517
E081_box023_p2_legobj,sim,79,1.58,0.1579964597514038,right_thigh_collision,-0.0024045571709350663,rh,0,1,0,,-0.0024045571709350663,0.2609806426284811,0.43758064262848106
E081_box023_p2_legobj,sim,80,1.6,0.1471350409986807,right_thigh_collision,-0.002152280454054724,rh,0,1,0,,-0.002152280454054724,0.26572526958103926,0.4423252695810393
E081_box023_p2_legobj,sim,81,1.62,0.13590312448569197,right_thigh_collision,-0.0014792857351417915,rh,0,1,0,,-0.0014792857351418193,0.2704548054231738,0.44705480542317383
E081_box023_p2_legobj,sim,82,1.64,0.12471113143789822,right_thigh_collision,-0.0005189277722518412,rh,0,1,0,,-0.0005189277722518412,0.2753379434670572,0.45193794346705723
E081_box023_p2_legobj,sim,83,1.66,0.11345809335677809,right_thigh_collision,0.00016618349222474738,rh,0,0,0,,,0.28017662572553237,0.45677662572553235
E081_box023_p2_legobj,sim,84,1.68,0.1024208182836962,right_thigh_collision,0.00039779569709804535,rh,0,0,0,,,0.28497333191600915,0.46157333191600913
E081_box023_p2_legobj,sim,85,1.7,0.09199045892336369,right_thigh_collision,-0.00013935233026345778,rh,0,1,0,,-0.0001393523302634786,0.28968666679491184,0.4662866667949118
E081_box023_p2_legobj,sim,86,1.72,0.08256325314754898,right_thigh_collision,0.0007027837902147047,rh,0,0,0,,,0.2939929751566357,0.4705929751566357
E081_box023_p2_legobj,sim,87,1.74,0.07423275435460983,right_thigh_collision,0.001198795934654738,rh,0,0,0,,,0.298258854185663,0.474858854185663
E081_box023_p2_legobj,sim,88,1.76,0.06686268308602461,right_thigh_collision,0.0012506081479335546,rh,0,0,0,,,0.302455564810833,0.47905556481083306
