variant,case,frame,eval_time_s,npz_time_s,opt_step,obj_err_m,pelvis_err_m,pelvis_z_qpos_m,sim_pelvis_z_m,ref_pelvis_z_m,sim_left_sdf_m,sim_right_sdf_m,sim_min_hand_sdf_m,ref_left_sdf_m,ref_right_sdf_m,ref_min_hand_sdf_m,sim_left_contact_count,sim_right_contact_count,sim_total_contact_count,ref_left_contact_count,ref_right_contact_count,ref_total_contact_count,sim_left_foot_z_m,sim_right_foot_z_m,sim_right_foot_xy_step_m,ref_right_foot_xy_step_m,right_hip_pitch_ctrl_diff,robot_ctrl_linf,robot_ctrl_l2,object_ctrl_linf,object_ctrl_l2,qpos_max_abs_diff_vs_ref,qvel_max_abs
E081_box025_p2_legobj,box025_person2_legobj,0,0.0,0.0166667,0,0.026743888827126656,0.003629887562955838,0.7928758263587952,0.7928758263587952,0.7962945699691772,0.07435735531658533,0.09149279156800277,0.07435735531658533,0.07301628211984718,0.09267621168963686,0.07301628211984718,0,0,0,0,0,0,-0.0005335788432086416,0.005516654328317612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026725230214651674,0.8104629516601562
E081_box025_p2_legobj,box025_person2_legobj,1,0.02,0.0333334,0,0.037686225997199695,0.004977449254766604,0.7920224666595459,0.7920224666595459,0.7967427372932434,0.07533516403935175,0.09198591635833792,0.07533516403935175,0.07269859224935954,0.09400410311357371,0.07269859224935954,0,0,0,0,0,0,-0.0009934055749275875,0.004791663251978613,0.00044135201637461477,0.0006954182399838535,0.0,0.0,0.0,0.0,0.0,0.037656334636267275,0.6560419797897339
E081_box025_p2_legobj,box025_person2_legobj,2,0.04,0.0500001,0,0.045934844030048945,0.006141548396277525,0.7914615273475647,0.7914615273475647,0.7971909642219543,0.0763795730885019,0.09301111138487977,0.0763795730885019,0.07238035483491628,0.0953275879851932,0.07238035483491628,0,0,0,0,0,0,-0.0012865420806011524,0.004444736103658552,0.0001234133870735513,0.0006950024502011583,0.0,0.0,0.0,0.0,0.0,0.045894188282545656,0.4944455623626709
E081_box025_p2_legobj,box025_person2_legobj,3,0.06,0.0666668,0,0.05198797936729445,0.007932739276924073,0.7909342646598816,0.7909342646598816,0.7970979809761047,0.0774384506565417,0.09437937758513565,0.0774384506565417,0.06999610167011966,0.09446385443811073,0.06999610167011966,0,0,0,0,0,0,-0.0016402640306565977,0.004148526985222396,5.906634347618521e-05,0.00022679167420374058,0.0,0.0,0.0,0.0,0.0,0.05193855002289638,0.36283454298973083
E081_box025_p2_legobj,box025_person2_legobj,4,0.08,0.0833335,0,0.056382133015367084,0.010317809258791824,0.7904467582702637,0.7904467582702637,0.797000527381897,0.07858348438062507,0.09596791542698097,0.07858348438062507,0.06759389665375554,0.09357885468798405,0.06759389665375554,0,0,0,0,0,0,-0.001991812055954348,0.003867663180906332,0.00011036349139796572,0.00022133869661407335,0.0,0.0,0.0,0.0,0.0,0.05632610380416736,0.3208039402961731
E081_box025_p2_legobj,box025_person2_legobj,5,0.1,0.10000020000000001,0,0.05957027146699608,0.01330656182278822,0.7899953126907349,0.7899953126907349,0.7973270416259766,0.07980704999235927,0.09772642207558352,0.07980704999235927,0.06563165653889841,0.0925415424915979,0.06563165653889841,0,0,0,0,0,0,-0.0023319389380163855,0.0035830470652193427,0.0001454784886521818,0.0005367993256959545,0.0,0.0,0.0,0.0,0.0,0.05950801580911502,0.28888270258903503
E081_box025_p2_legobj,box025_person2_legobj,6,0.12,0.11666690000000002,0,0.06187256193197932,0.016363177157785094,0.7897344827651978,0.7897344827651978,0.7976605296134949,0.08105134295899324,0.09951702581148952,0.08105134295899324,0.06368001272473595,0.09149984229425184,0.06368001272473595,0,0,0,0,0,0,-0.002494971508521876,0.0033970156416422564,0.00018883511372626733,0.0005396606117594175,0.0,0.0,0.0,0.0,0.0,0.06180638208752498,0.23512259125709534
E081_box025_p2_legobj,box025_person2_legobj,7,0.14,0.13333360000000002,0,0.06351713977297622,0.01883341471301532,0.7895877361297607,0.7895877361297607,0.7981078624725342,0.08232380007440493,0.10131865392507783,0.08232380007440493,0.06295747324992745,0.09092020296526554,0.06295747324992745,0,0,0,0,0,0,-0.0025851025943222847,0.0032606281020081743,0.00020528917920538487,9.921823861073429e-05,0.0,0.0,0.0,0.0,0.0,0.0634506544447504,0.19692513346672058
E081_box025_p2_legobj,box025_person2_legobj,8,0.16,0.15000030000000003,0,0.06469869062733868,0.02132662014665446,0.7895665168762207,0.7895665168762207,0.7985579967498779,0.08362668342528562,0.10309149330663264,0.08362668342528562,0.062267423395403754,0.0903507646581248,0.062267423395403754,0,0,0,0,0,0,-0.002595217445638065,0.003191723193899841,0.0002370532923851437,0.00011068743408598857,0.0,0.0,0.0,0.0,0.0,0.0646335533238016,0.17645831406116486
E081_box025_p2_legobj,box025_person2_legobj,9,0.18,0.16666700000000004,0,0.06555151820405036,0.023028674581343483,0.7895761728286743,0.7895761728286743,0.7985709309577942,0.0850168762214682,0.10482661445340719,0.0850168762214682,0.0630692637547417,0.09017133832728569,0.0630692637547417,0,0,0,0,0,0,-0.0026085574463935862,0.003121538054143509,0.00023591387087236993,0.00027501921382884964,0.0,0.0,0.0,0.0,0.0,0.06548905133968219,0.19356434047222137
