case_id	object_group	task	role	hand	T	raw_active_frac	wrist5_to_raw_mean_m	wrist5_to_raw_median_m	wrist5_to_raw_p90_m	wrist5_to_raw_max_m	wrist5_vs_contact_pos_mean_m	raw_support_frac	wrist5_support_frac	wrist5_inside_frac	raw_inside_frac	sphere_surface_gap_mean_m	sphere_surface_gap_p90_abs_m	threebox_surface_gap_mean_m	threebox_surface_gap_p90_abs_m	handbox_surface_gap_mean_m	handbox_surface_gap_p90_abs_m	best_proxy_by_distance	raw_face_counts	wrist5_face_counts	bad_proxy_flags
box023_p2	box023	box023_person2	known_guard	left	136	0.448529	0.28182	0.277525	0.312655	0.333866	0.03	1.0	1.0	0.0	0.0	0.237144	0.27265	0.233453	0.28523	0.208441	0.256712	{'handbox_surface': 61}	{'+z': 61}	{'+y': 67, '+z': 69}	wrist5_raw_delta_gt20cm,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box023_p2	box023	box023_person2	known_guard	right	136	0.477941	0.281538	0.280305	0.302204	0.316575	0.03	0.307692	0.580882	0.0	0.0	0.199851	0.212202	0.173443	0.184759	0.158842	0.172794	{'handbox_surface': 65}	{'-y': 45, '+z': 20}	{'+y': 67, '+z': 12, '+x': 57}	wrist5_raw_delta_gt20cm,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box025_p2	box025	box025_person2	large_box_partial_guard	left	124	0.620968	0.578025	0.570588	0.60463	0.6884	0.03	0.948052	1.0	0.0	0.0	0.552687	0.581849	0.517212	0.539917	0.520484	0.544991	{'handbox_surface': 20, 'threebox_surface': 57}	{'+x': 4, '+z': 73}	{'+z': 124}	wrist5_raw_delta_gt20cm,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box025_p2	box025	box025_person2	large_box_partial_guard	right	124	0.620968	0.640775	0.6409	0.670763	0.68364	0.03	0.077922	1.0	0.096774	0.0	0.553867	0.58471	0.515714	0.54566	0.500793	0.53117	{'handbox_surface': 77}	{'-y': 71, '+z': 6}	{'+z': 124}	wrist5_raw_delta_gt20cm,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box004_083_p2	box004	e091_box004_20231003_2_083_p2	E092_C1_WORK	left	105	0.67619	0.282853	0.280405	0.296782	0.323331	0.03	0.0	0.428571	0.0	0.0	0.196683	0.208759	0.17533	0.184936	0.153419	0.162709	{'handbox_surface': 71}	{'-y': 71}	{'+y': 45, '+x': 59, '-z': 1}	wrist5_raw_delta_gt20cm,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box004_083_p2	box004	e091_box004_20231003_2_083_p2	E092_C1_WORK	right	105	0.685714	0.211515	0.203592	0.253347	0.33963	0.03	1.0	0.247619	0.0	0.0	0.179793	0.222563	0.173064	0.214219	0.151555	0.198013	{'handbox_surface': 72}	{'+y': 72}	{'+y': 26, '-z': 68, '-x': 11}	wrist5_raw_delta_gt20cm,wrist5_support_lt30pct,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box021_person1	box021	box021_person1	old_box021_control	left	88	0.613636	0.217354	0.218826	0.24153	0.357532	0.03	0.240741	0.988636	0.0	0.0	0.133928	0.159232	0.102691	0.129546	0.079903	0.110127	{'handbox_surface': 54}	{'+x': 41, '+z': 13}	{'+y': 25, '-x': 1, '+z': 62}	wrist5_raw_delta_gt20cm,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box021_person1	box021	box021_person1	old_box021_control	right	88	0.681818	0.295418	0.29172	0.319274	0.390857	0.03	0.916667	0.75	0.045455	0.0	0.197477	0.220974	0.168873	0.19539	0.161502	0.184254	{'handbox_surface': 60}	{'+x': 4, '+z': 55, '-y': 1}	{'+y': 22, '+z': 44, '+x': 22}	wrist5_raw_delta_gt20cm,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box021_d003_029_p2	box021	d003_box021_20231018_029_p2	known_D003_fail	left	75	0.68	0.315272	0.314205	0.332832	0.370641	0.03	0.686275	0.093333	0.0	0.0	0.270361	0.29215	0.262431	0.286288	0.235709	0.256426	{'handbox_surface': 51}	{'+x': 1, '+y': 35, '-z': 15}	{'+y': 7, '-x': 58, '-z': 10}	wrist5_raw_delta_gt20cm,wrist5_support_lt30pct,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box021_d003_029_p2	box021	d003_box021_20231018_029_p2	known_D003_fail	right	75	0.733333	0.258888	0.257255	0.272899	0.342194	0.03	0.963636	0.773333	0.333333	0.0	0.195345	0.212562	0.187612	0.215715	0.164073	0.185712	{'handbox_surface': 55}	{'+z': 49, '+y': 4, '+x': 2}	{'-x': 17, '+y': 13, '+z': 45}	wrist5_raw_delta_gt20cm,wrist5_inside_gt10pct,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box026_039_p2	box026	e091_box026_20231018_039_p2	E092_C2_FAIL_low_support	left	123	0.813008	0.635122	0.632125	0.654887	0.674065	0.03	0.0	0.195122	0.00813	0.0	0.554398	0.574969	0.529195	0.553778	0.505575	0.528611	{'handbox_surface': 100}	{'-y': 100}	{'+y': 24, '-z': 99}	wrist5_raw_delta_gt20cm,wrist5_support_lt30pct,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box026_039_p2	box026	e091_box026_20231018_039_p2	E092_C2_FAIL_low_support	right	123	0.821138	0.485635	0.48619	0.512889	0.555745	0.03	0.0	0.154472	0.0	0.0	0.412357	0.454588	0.392204	0.445829	0.375908	0.437201	{'handbox_surface': 101}	{'-y': 101}	{'+y': 19, '-z': 104}	wrist5_raw_delta_gt20cm,wrist5_support_lt30pct,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box026_135_p2	box026	e091_box026_20231020_135_p2	E092_C3_FAIL_inside_risk	left	82	0.609756	0.602566	0.606689	0.625844	0.655398	0.03	0.0	0.621951	0.0	0.0	0.535739	0.564108	0.536586	0.563627	0.505706	0.537918	{'handbox_surface': 50}	{'-z': 50}	{'+y': 51, '-x': 31}	wrist5_raw_delta_gt20cm,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
box026_135_p2	box026	e091_box026_20231020_135_p2	E092_C3_FAIL_inside_risk	right	82	0.609756	0.634038	0.632034	0.648923	0.656044	0.03	0.0	0.414634	0.121951	0.0	0.596224	0.610234	0.591614	0.610499	0.566942	0.589096	{'handbox_surface': 50}	{'-z': 50}	{'+y': 34, '-x': 48}	wrist5_raw_delta_gt20cm,wrist5_inside_gt10pct,sphere_gap_p90_gt10cm,handbox_gap_p90_gt10cm
