case_id	object_group	task	role	hand	T	raw_active_frac	filled_frac	old_wrist5_support_frac	old_wrist5_inside_frac	support_patch_support_frac	support_patch_inside_frac	reward_target_support_frac	reward_target_inside_frac	old_wrist5_to_raw_mean_m	old_wrist5_to_raw_p90_m	support_patch_to_raw_mean_m	support_patch_to_raw_p90_m	reward_delta_mean_m	reward_delta_p90_m	handbox_gap_to_patch_mean_m	handbox_gap_to_patch_p90_abs_m	support_patch_face_counts	reward_target_face_counts	gate_status	gate_reasons	target_npz
box023_p2	box023	box023_person2	known_guard	left	136	0.448529	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.28182	0.312655	0.057255	0.067447	0.0	0.0	0.10045	0.249395	"{""+y"": 128, ""+z"": 8}"	"{""+y"": 67, ""+z"": 69}"	PASS		workspace/core4d/results/E094/handbox_target_projection/targets/box023_p2_box023_person2_adaptive_support_targets.npz
box023_p2	box023	box023_person2	known_guard	right	136	0.477941	0.0	0.580882	0.0	0.977941	0.0	0.625	0.0	0.281538	0.302204	0.312781	0.313959	0.004552	0.0	0.017277	0.049407	"{""+x"": 3, ""+y"": 132, ""+z"": 1}"	"{""+x"": 51, ""+y"": 73, ""+z"": 12}"	PASS		workspace/core4d/results/E094/handbox_target_projection/targets/box023_p2_box023_person2_adaptive_support_targets.npz
box004_083_p2	box004	e091_box004_20231003_2_083_p2	E092_C1_WORK	left	105	0.67619	0.0	0.428571	0.0	1.0	0.0	0.438095	0.0	0.282853	0.296782	0.263554	0.263554	0.001231	0.0	0.042017	0.076695	"{""+y"": 105}"	"{""+x"": 58, ""+y"": 46, ""-z"": 1}"	PASS		workspace/core4d/results/E094/handbox_target_projection/targets/box004_083_p2_e091_box004_20231003_2_083_p2_adaptive_support_targets.npz
box004_083_p2	box004	e091_box004_20231003_2_083_p2	E092_C1_WORK	right	105	0.685714	0.0	0.247619	0.0	0.933333	0.0	0.257143	0.0	0.211515	0.253347	0.000155	0.0	0.00324	0.0	0.103936	0.184177	"{""+y"": 98, ""-z"": 7}"	"{""+y"": 27, ""-x"": 10, ""-z"": 68}"	PASS		workspace/core4d/results/E094/handbox_target_projection/targets/box004_083_p2_e091_box004_20231003_2_083_p2_adaptive_support_targets.npz
box021_d003_029_p2	box021	d003_box021_20231018_029_p2	known_D003_fail	left	75	0.68	0.0	0.093333	0.0	0.773333	0.0	0.693333	0.0	0.315272	0.332832	0.011971	0.042416	0.19249	0.332268	0.163275	0.25295	"{""+y"": 58, ""-x"": 13, ""-z"": 4}"	"{""+y"": 52, ""-x"": 15, ""-z"": 8}"	PASS		workspace/core4d/results/E094/handbox_target_projection/targets/box021_d003_029_p2_d003_box021_20231018_029_p2_adaptive_support_targets.npz
box021_d003_029_p2	box021	d003_box021_20231018_029_p2	known_D003_fail	right	75	0.733333	0.0	0.773333	0.333333	0.853333	0.0	0.813333	0.0	0.258888	0.272899	0.04602	0.056875	0.095635	0.266513	0.133911	0.199984	"{""+y"": 64, ""-x"": 11}"	"{""+y"": 39, ""+z"": 22, ""-x"": 14}"	PASS		workspace/core4d/results/E094/handbox_target_projection/targets/box021_d003_029_p2_d003_box021_20231018_029_p2_adaptive_support_targets.npz
box026_039_p2	box026	e091_box026_20231018_039_p2	E092_C2_FAIL_low_support	left	123	0.813008	0.0	0.195122	0.00813	1.0	0.0	1.0	0.0	0.635122	0.654887	0.394517	0.394589	0.404161	0.522363	0.341394	0.439955	"{""+y"": 123}"	"{""+y"": 123}"	REVIEW	reward_delta_p90_gt35cm	workspace/core4d/results/E094/handbox_target_projection/targets/box026_039_p2_e091_box026_20231018_039_p2_adaptive_support_targets.npz
box026_039_p2	box026	e091_box026_20231018_039_p2	E092_C2_FAIL_low_support	right	123	0.821138	0.0	0.154472	0.0	0.95935	0.0	0.95935	0.0	0.485635	0.512889	0.394517	0.394583	0.256825	0.362075	0.202262	0.298154	"{""+y"": 118, ""-z"": 5}"	"{""+y"": 118, ""-z"": 5}"	REVIEW	reward_delta_p90_gt35cm	workspace/core4d/results/E094/handbox_target_projection/targets/box026_039_p2_e091_box026_20231018_039_p2_adaptive_support_targets.npz
box026_135_p2	box026	e091_box026_20231020_135_p2	E092_C3_FAIL_inside_risk	left	82	0.609756	0.0	0.621951	0.0	1.0	0.0	1.0	0.0	0.602566	0.625844	0.361897	0.375677	0.181806	0.486431	0.25383	0.422275	"{""+y"": 82}"	"{""+y"": 82}"	REVIEW	reward_delta_p90_gt35cm	workspace/core4d/results/E094/handbox_target_projection/targets/box026_135_p2_e091_box026_20231020_135_p2_adaptive_support_targets.npz
box026_135_p2	box026	e091_box026_20231020_135_p2	E092_C3_FAIL_inside_risk	right	82	0.609756	0.0	0.414634	0.121951	1.0	0.0	1.0	0.0	0.634038	0.648923	0.06951	0.080329	0.365129	0.630579	0.339744	0.572931	"{""+y"": 82}"	"{""+y"": 82}"	REVIEW	reward_delta_p90_gt35cm	workspace/core4d/results/E094/handbox_target_projection/targets/box026_135_p2_e091_box026_20231020_135_p2_adaptive_support_targets.npz
