# enabled	date	seq	person	object_name	object_model_rel	source_scene_task	target_task	trim_start	trim_frames	data_id	mask_slug
0	20231018	028	person1	Box021	box/box021_m.obj	box021_person1	e091_box021_20231018_028_p1	auto	auto	0	e091_box021_20231018_028_p1
0	20231018	028	person2	Box021	box/box021_m.obj	box021_person2	e091_box021_20231018_028_p2	auto	auto	0	e091_box021_20231018_028_p2
0	20231018	031	person2	Box021	box/box021_m.obj	box021_person2	e091_box021_20231018_031_p2	auto	auto	0	e091_box021_20231018_031_p2
0	20231020	020	person1	Box021	box/box021_m.obj	box021_person1	e091_box021_20231020_020_p1	auto	auto	0	e091_box021_20231020_020_p1
0	20231020	020	person2	Box021	box/box021_m.obj	box021_person2	e091_box021_20231020_020_p2	auto	auto	0	e091_box021_20231020_020_p2
0	20231011	034	person2	Box021	box/box021_m.obj	box021_person2	e091_box021_20231011_034_p2	auto	auto	0	e091_box021_20231011_034_p2
0	20231018	030	person2	Box021	box/box021_m.obj	box021_person2	e091_box021_20231018_030_p2	auto	auto	0	e091_box021_20231018_030_p2
0	20231011	035	person2	Box021	box/box021_m.obj	box021_person2	e091_box021_20231011_035_p2	auto	auto	0	e091_box021_20231011_035_p2
0	20231011	035	person1	Box021	box/box021_m.obj	box021_person1	e091_box021_20231011_035_p1	auto	auto	0	e091_box021_20231011_035_p1
0	20231020	019	person2	Box021	box/box021_m.obj	box021_person2	e091_box021_20231020_019_p2	auto	auto	0	e091_box021_20231020_019_p2
0	20231020	019	person1	Box021	box/box021_m.obj	box021_person1	e091_box021_20231020_019_p1	auto	auto	0	e091_box021_20231020_019_p1
0	20231018	029	person1	Box021	box/box021_m.obj	box021_person1	e091_box021_20231018_029_p1	auto	auto	0	e091_box021_20231018_029_p1
0	20231018	029	person2	Box021	box/box021_m.obj	box021_person2	e091_box021_20231018_029_p2	auto	auto	0	e091_box021_20231018_029_p2
0	20231018	030	person1	Box021	box/box021_m.obj	box021_person1	e091_box021_20231018_030_p1	auto	auto	0	e091_box021_20231018_030_p1
0	20231011	034	person1	Box021	box/box021_m.obj	box021_person1	e091_box021_20231011_034_p1	auto	auto	0	e091_box021_20231011_034_p1
