rank	target_task	tier	score	risk_label	object_key	object_name	sequence	date	seq	person	action	aabb_volume_m3	size_vs_box023_volume_ratio	extent_x_m	extent_y_m	extent_z_m	stage0_v2_decision	stage1_decision	stage1_raw_contact_score	target_both_active_frac_3cm	target_both_longest_run_active_frac_3cm	object_model_rel	source_scene_task	source_scene_exists	raw_contact_proxy_path	learned_note
1	e091_box004_20231003_2_083_p2	tier0_known_work	87.998	known_positive_control	box004	box004	20231003_2/083	20231003_2	083	person2	move1_obs0	0.04100353029760093	1.138086	0.34790325	0.26355413	0.44719088	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box004_m.obj	box004_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231003_2_083_box004/raw_contact_proxy.npz	previous full CEM WORK control
2	e091_box004_20231003_2_083_p1	tier1_worklike_priority	87.998	worklike_priority	box004	box004	20231003_2/083	20231003_2	083	person1	move1_obs0	0.04100353029760093	1.138086	0.34790325	0.26355413	0.44719088	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box004_m.obj	box004_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231003_2_083_box004/raw_contact_proxy.npz	box004/box023-scale geometry selected for first-batch execution
3	e091_box004_20231003_2_082_p1	tier1_worklike_priority	79.582	worklike_priority	box004	box004	20231003_2/082	20231003_2	082	person1	move2_obs0	0.04100353029760093	1.138086	0.34790325	0.26355413	0.44719088	stage0_pass_to_stage1	raw_contact_pass	91.932	0.9545	0.5227	box/box004_m.obj	box004_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231003_2_082_box004/raw_contact_proxy.npz	box004/box023-scale geometry selected for first-batch execution
4	e091_box004_20231003_2_082_p2	tier1_worklike_priority	70.283	worklike_priority	box004	box004	20231003_2/082	20231003_2	082	person2	move2_obs0	0.04100353029760093	1.138086	0.34790325	0.26355413	0.44719088	stage0_pass_to_stage1	raw_contact_pass	80.682	0.7955	0.2727	box/box004_m.obj	box004_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231003_2_082_box004/raw_contact_proxy.npz	box004/box023-scale geometry selected for first-batch execution
5	e091_box021_20231018_028_p1	tier2_target_posture_gate_review	76.973	target_posture_gate_review	box021	Box021	20231018/028	20231018	028	person1	move2_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_028_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
6	e091_box021_20231018_028_p2	tier2_target_posture_gate_review	76.973	target_posture_gate_review	box021	Box021	20231018/028	20231018	028	person2	move2_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_028_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
7	e091_box021_20231018_031_p2	tier2_target_posture_gate_review	76.973	target_posture_gate_review	box021	Box021	20231018/031	20231018	031	person2	move1_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_031_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
8	e091_box021_20231020_020_p1	tier2_target_posture_gate_review	76.973	target_posture_gate_review	box021	Box021	20231020/020	20231020	020	person1	move1_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_020_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
9	e091_box021_20231020_020_p2	tier2_target_posture_gate_review	76.973	target_posture_gate_review	box021	Box021	20231020/020	20231020	020	person2	move1_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_020_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
10	e091_box021_20231011_034_p2	tier2_target_posture_gate_review	76.792	target_posture_gate_review	box021	Box021	20231011/034	20231011	034	person2	move2_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	99.483	1.0	1.0	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231011_034_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
11	e091_box021_20231018_030_p2	tier2_target_posture_gate_review	72.647	target_posture_gate_review	box021	Box021	20231018/030	20231018	030	person2	move2_obs0	0.059263425569176624	1.644905	0.39099037999999997	0.30309692	0.50007962	stage0_pass_to_stage1	raw_contact_pass	95.417	0.9722	0.7778	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_030_box021/raw_contact_proxy.npz	medium-large geometry (0.500m max edge, volume ratio 1.64, aspect 1.65); run target/posture gate before CEM
