rank	route_enabled_default	target_task	route	quality_score	known_status	known_stage	object_key	object_name	sequence	date	seq	person	action	reach_label	inside_support_status	cem_posture_status	stage0_v2_decision	stage1_decision	raw_score	target_both_active_frac_3cm	target_left_active_frac_3cm	target_right_active_frac_3cm	target_both_longest_run_active_frac_3cm	partner_any_active_frac_3cm	size_vs_box023_volume_ratio	extent_x_m	extent_y_m	extent_z_m	extent_max_m	aspect_ratio	object_model_rel	source_scene_task	source_scene_exists	raw_contact_proxy_path	feature_note
17	0	e091_box004_20231003_2_082_p1	excluded_verified	-999.0	verified_positive	full_cem_work	box004	box004	20231003_2/082	20231003_2	082	person1	move2_obs0	box004_like_low_reach_risk	full_cem_work	full_cem_work	stage0_pass_to_stage1	raw_contact_pass	91.932	0.9545	0.9545	0.9773	0.5227	0.9773	1.138086	0.34790325	0.26355413	0.44719088	0.447191	1.696771	box/box004_m.obj	box004_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231003_2_082_box004/raw_contact_proxy.npz	E096/E096b full CEM WORK.
18	0	e091_box004_20231003_2_082_p2	excluded_verified	-999.0	verified_reject	omniretarget_infeasible	box004	box004	20231003_2/082	20231003_2	082	person2	move2_obs0	box004_like_low_reach_risk	omniretarget_infeasible	omniretarget_infeasible	stage0_pass_to_stage1	raw_contact_pass	80.682	0.7955	0.9773	0.7955	0.2727	0.9773	1.138086	0.34790325	0.26355413	0.44719088	0.447191	1.696771	box/box004_m.obj	box004_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231003_2_082_box004/raw_contact_proxy.npz	E095/E096 no-fingertip and fingertip retry both CVXPY infeasible.
19	0	e091_box004_20231003_2_083_p1	excluded_verified	-999.0	verified_positive	full_cem_work	box004	box004	20231003_2/083	20231003_2	083	person1	move1_obs0	box004_like_low_reach_risk	full_cem_work	full_cem_work	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	1.138086	0.34790325	0.26355413	0.44719088	0.447191	1.696771	box/box004_m.obj	box004_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231003_2_083_box004/raw_contact_proxy.npz	E096/E096b full CEM WORK.
20	0	e091_box004_20231003_2_083_p2	excluded_verified	-999.0	verified_positive	full_cem_work	box004	box004	20231003_2/083	20231003_2	083	person2	move1_obs0	box004_like_low_reach_risk	full_cem_work	full_cem_work	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	1.138086	0.34790325	0.26355413	0.44719088	0.447191	1.696771	box/box004_m.obj	box004_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231003_2_083_box004/raw_contact_proxy.npz	E092/E094 known WORK control; E091 D005b PASS.
21	0	e091_box021_20231011_034_p1	excluded_verified	-999.0	verified_review	preprocess_or_smoke_review	box021	Box021	20231011/034	20231011	034	person1	move2_obs0	medium_box_target_posture_gate	preprocess_or_smoke_review	preprocess_or_smoke_review	stage0_pass_to_stage1	raw_contact_pass	90.402	0.9425	0.9425	0.9655	0.4253	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231011_034_box021/raw_contact_proxy.npz	Older data_construction/D003 route already used this case.
22	0	e091_box021_20231011_034_p2	excluded_verified	-999.0	verified_reject	omniretarget_infeasible	box021	Box021	20231011/034	20231011	034	person2	move2_obs0	medium_box_target_posture_gate	omniretarget_infeasible	omniretarget_infeasible	stage0_pass_to_stage1	raw_contact_pass	99.483	1.0	1.0	1.0	1.0	0.9655	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231011_034_box021/raw_contact_proxy.npz	Older data_construction route reported CVXPY infeasible.
23	0	e091_box021_20231011_035_p1	excluded_verified	-999.0	verified_review	d004_visual_pass	box021	Box021	20231011/035	20231011	035	person1	move1_obs0	medium_box_target_posture_gate	d004_visual_pass	d004_visual_pass	stage0_pass_to_stage1	raw_contact_pass	95.933	0.9867	0.9867	1.0	0.7067	0.9733	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231011_035_box021/raw_contact_proxy.npz	Legacy D004 visual QC already passed/reviewed this sequence; do not rediscover as new data.
24	0	e091_box021_20231011_035_p2	excluded_verified	-999.0	verified_reject	full_cem_fail	box021	Box021	20231011/035	20231011	035	person2	move1_obs0	medium_box_target_posture_gate	full_cem_fail	full_cem_fail	stage0_pass_to_stage1	raw_contact_pass	95.133	0.96	0.96	0.9733	0.7867	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231011_035_box021/raw_contact_proxy.npz	D003/E082-E083 Box021 representative full CEM fail.
25	0	e091_box021_20231018_028_p1	excluded_verified	-999.0	verified_reject	d003_omniretarget_infeasible	box021	Box021	20231018/028	20231018	028	person1	move2_obs0	medium_box_target_posture_gate	d003_omniretarget_infeasible	d003_omniretarget_infeasible	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_028_box021/raw_contact_proxy.npz	Legacy D003 OmniRetarget log reports CVXPY infeasible; E097 visual review has raw-contact only.
26	0	e091_box021_20231018_028_p2	excluded_verified	-999.0	verified_reject	d004_visual_reject_fall_prone	box021	Box021	20231018/028	20231018	028	person2	move2_obs0	medium_box_target_posture_gate	d004_visual_reject_fall_prone	d004_visual_reject_fall_prone	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_028_box021/raw_contact_proxy.npz	Legacy D004 visual QC rejected this retargeted sequence as fall/prone.
27	0	e091_box021_20231018_029_p1	excluded_verified	-999.0	verified_review	d004_visual_review	box021	Box021	20231018/029	20231018	029	person1	move1_obs0	medium_box_target_posture_gate	d004_visual_review	d004_visual_review	stage0_pass_to_stage1	raw_contact_pass	90.625	0.875	1.0	0.875	0.75	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_029_box021/raw_contact_proxy.npz	Legacy D004 visual QC already marked this sequence for review.
28	0	e091_box021_20231018_029_p2	excluded_verified	-999.0	verified_reject	full_cem_fail	box021	Box021	20231018/029	20231018	029	person2	move1_obs0	medium_box_target_posture_gate	full_cem_fail	full_cem_fail	stage0_pass_to_stage1	raw_contact_pass	90.625	0.875	0.875	1.0	0.75	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_029_box021/raw_contact_proxy.npz	D003/E082-E088 Box021 representative full CEM fail.
29	0	e091_box021_20231018_030_p1	excluded_verified	-999.0	verified_review	d004_visual_review	box021	Box021	20231018/030	20231018	030	person1	move2_obs0	medium_box_target_posture_gate	d004_visual_review	d004_visual_review	stage0_pass_to_stage1	raw_contact_pass	90.417	0.9167	0.9167	0.9444	0.6111	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_030_box021/raw_contact_proxy.npz	Legacy D004 visual QC already marked this sequence for review.
30	0	e091_box021_20231018_030_p2	excluded_verified	-999.0	verified_review	d004_visual_pass_check_shortcut	box021	Box021	20231018/030	20231018	030	person2	move2_obs0	medium_box_target_posture_gate	d004_visual_pass_check_shortcut	d004_visual_pass_check_shortcut	stage0_pass_to_stage1	raw_contact_pass	95.417	0.9722	1.0	0.9722	0.7778	0.9444	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_030_box021/raw_contact_proxy.npz	Legacy D004 visual QC already passed/reviewed this sequence with shortcut concern.
31	0	e091_box021_20231018_031_p2	excluded_verified	-999.0	verified_review	topface_smoke_review	box021	Box021	20231018/031	20231018	031	person2	move1_obs0	medium_box_target_posture_gate	topface_smoke_review	topface_smoke_review	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_031_box021/raw_contact_proxy.npz	E089/E090 topface/smoke route already used this case.
32	0	e091_box021_20231020_019_p1	excluded_verified	-999.0	verified_reject	full_cem_fail	box021	Box021	20231020/019	20231020	019	person1	move2_obs0	medium_box_target_posture_gate	full_cem_fail	full_cem_fail	stage0_pass_to_stage1	raw_contact_pass	91.974	0.9211	0.9211	0.9211	0.7895	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_019_box021/raw_contact_proxy.npz	D003/E082-E083 Box021 representative full CEM fail.
33	0	e091_box021_20231020_019_p2	excluded_verified	-999.0	verified_review	d004_visual_review	box021	Box021	20231020/019	20231020	019	person2	move2_obs0	medium_box_target_posture_gate	d004_visual_review	d004_visual_review	stage0_pass_to_stage1	raw_contact_pass	94.079	0.9474	1.0	0.9474	0.8158	0.9211	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_019_box021/raw_contact_proxy.npz	Legacy D004 visual QC already marked this sequence for review.
34	0	e091_box021_20231020_020_p1	excluded_verified	-999.0	verified_review	topface_smoke_review	box021	Box021	20231020/020	20231020	020	person1	move1_obs0	medium_box_target_posture_gate	topface_smoke_review	topface_smoke_review	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person1	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_020_box021/raw_contact_proxy.npz	E089/E090 topface/smoke route already used this case.
35	0	e091_box021_20231020_020_p2	excluded_verified	-999.0	verified_review	d004_visual_pass	box021	Box021	20231020/020	20231020	020	person2	move1_obs0	medium_box_target_posture_gate	d004_visual_pass	d004_visual_pass	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	1.644905	0.39099037999999997	0.30309692	0.50007962	0.50008	1.6499	box/box021_m.obj	box021_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_020_box021/raw_contact_proxy.npz	Legacy D004 visual QC already passed/reviewed this sequence; do not rediscover as new data.
36	0	e091_box026_20231018_039_p2	excluded_verified	-999.0	verified_reject	d005b_reject_and_full_cem_fail	box026	Box026	20231018/039	20231018	039	person2	move2_obs0	large_reach_holdout	d005b_reject_and_full_cem_fail	d005b_reject_and_full_cem_fail	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	3.229768	0.6289734499999999	0.39449338	0.46897031	0.628973	1.594383	box/box026_m.obj	box026_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_039_box026/raw_contact_proxy.npz	E091 support reject; E092/E094 full CEM posture fail.
37	0	e091_box026_20231018_040_p2	excluded_verified	-999.0	verified_reject	omniretarget_infeasible	box026	Box026	20231018/040	20231018	040	person2	move1_obs0	large_reach_holdout	omniretarget_infeasible	omniretarget_infeasible	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	3.229768	0.6289734499999999	0.39449338	0.46897031	0.628973	1.594383	box/box026_m.obj	box026_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231018_040_box026/raw_contact_proxy.npz	E091 OmniRetarget CVXPY infeasible.
38	0	e091_box026_20231020_135_p2	excluded_verified	-999.0	verified_reject	d005b_reject_and_full_cem_fail	box026	Box026	20231020/135	20231020	135	person2	move1_obs0	large_reach_holdout	d005b_reject_and_full_cem_fail	d005b_reject_and_full_cem_fail	stage0_pass_to_stage1	raw_contact_pass	100.0	1.0	1.0	1.0	1.0	1.0	3.229768	0.6289734499999999	0.39449338	0.46897031	0.628973	1.594383	box/box026_m.obj	box026_person2	True	/home/ubuntu/Workspace/holosoma/workspace/v3/data_construction/results/d002_stage1_raw_contact_v2/per_sequence/20231020_135_box026/raw_contact_proxy.npz	E091 right-inside reject; E092/E094 full CEM posture fail.
