case	T	pelvis_min_z	pelvis_end_z	pelvis_tilt_max_deg	pelvis_tilt_end_deg	lie_on_box_frac	gate_pelvis_low	gate_pelvis_tilt	gate_lie_on_box	gate_overall_fail	json	per_frame_npz
E096bP1_box004_083_p1_WORK	102	0.6390998363494873	0.7894603133201599	84.43138373280166	18.521052269961608	0.0	False	False	False	False	workspace/core4d/results/E098/backtest/E096bP1_box004_083_p1_WORK_gate.json	workspace/core4d/results/E098/backtest/E096bP1_box004_083_p1_WORK_per_frame.npz
E096bP2_box004_082_p1_WORK	109	0.6419826745986938	0.7741282939910888	92.46837021678705	16.61099133861809	0.1834862385321101	False	False	False	False	workspace/core4d/results/E098/backtest/E096bP2_box004_082_p1_WORK_gate.json	workspace/core4d/results/E098/backtest/E096bP2_box004_082_p1_WORK_per_frame.npz
E094P1_box004_083_p2_WORK	105	0.6578614115715027	0.781072986125946	100.91009600853184	43.29672353756904	0.0	False	False	False	False	workspace/core4d/results/E098/backtest/E094P1_box004_083_p2_WORK_gate.json	workspace/core4d/results/E098/backtest/E094P1_box004_083_p2_WORK_per_frame.npz
E094P2_box026_039_p2_LIE_ON_BOX	123	0.44045618176460266	0.47947531938552856	89.06988434778636	85.48285007095677	0.6260162601626016	True	True	True	True	workspace/core4d/results/E098/backtest/E094P2_box026_039_p2_LIE_ON_BOX_gate.json	workspace/core4d/results/E098/backtest/E094P2_box026_039_p2_LIE_ON_BOX_per_frame.npz
E094P3_box026_135_p2_PELVIS_LOW	82	0.17077355086803436	0.18335139751434326	110.07273654706214	89.39778622597805	0.6097560975609756	True	True	True	True	workspace/core4d/results/E098/backtest/E094P3_box026_135_p2_PELVIS_LOW_gate.json	workspace/core4d/results/E098/backtest/E094P3_box026_135_p2_PELVIS_LOW_per_frame.npz
E090S1_box021_035_p2_btop_PELVIS_LOW	135	0.13364042341709137	0.18411310475606185	89.17194452962246	29.15028898143232	0.4740740740740741	True	False	True	True	workspace/core4d/results/E098/backtest/E090S1_box021_035_p2_btop_PELVIS_LOW_gate.json	workspace/core4d/results/E098/backtest/E090S1_box021_035_p2_btop_PELVIS_LOW_per_frame.npz
E089A_box021_person1_WORK	88	0.6867474317550659	0.7814973816275597	96.87076023128728	63.33824623913467	0.0	False	False	False	False	workspace/core4d/results/E098/backtest/E089A_box021_person1_WORK_gate.json	workspace/core4d/results/E098/backtest/E089A_box021_person1_WORK_per_frame.npz
E088A_box021_029_p2_FAIL	75	0.1810072660446167	0.18993496681962693	95.62308936634314	74.67232399060651	0.36	True	False	True	True	workspace/core4d/results/E098/backtest/E088A_box021_029_p2_FAIL_gate.json	workspace/core4d/results/E098/backtest/E088A_box021_029_p2_FAIL_per_frame.npz
E088B_box021_029_p2_FAIL	75	0.6438944935798645	0.6486751777785165	108.55419030854699	96.84708826581532	0.0	False	True	False	True	workspace/core4d/results/E098/backtest/E088B_box021_029_p2_FAIL_gate.json	workspace/core4d/results/E098/backtest/E088B_box021_029_p2_FAIL_per_frame.npz
E088C_box021_029_p2_FAIL	75	0.17391428351402283	0.17545603002820695	97.58368463719549	91.84469188346536	0.6266666666666667	True	True	True	True	workspace/core4d/results/E098/backtest/E088C_box021_029_p2_FAIL_gate.json	workspace/core4d/results/E098/backtest/E088C_box021_029_p2_FAIL_per_frame.npz
E082_box021_029_p2_FAIL	75	0.35830724239349365	0.3790840634277889	142.05520819847564	135.20996912171677	0.5866666666666667	True	True	True	True	workspace/core4d/results/E098/backtest/E082_box021_029_p2_FAIL_gate.json	workspace/core4d/results/E098/backtest/E082_box021_029_p2_FAIL_per_frame.npz
E091S1_box004_083_p2_PELVIS_REVIEW	105	0.07926129549741745	0.09311909154057503	97.36583514722716	83.45575615982398	0.7238095238095238	True	True	True	True	workspace/core4d/results/E098/backtest/E091S1_box004_083_p2_PELVIS_REVIEW_gate.json	workspace/core4d/results/E098/backtest/E091S1_box004_083_p2_PELVIS_REVIEW_per_frame.npz
