case	status	L_vote	L_frac	L_contact	R_vote	R_frac	R_contact	T	obj	date_seq_person
d003_box021_20231018_029_p2	ok	-x	1.000	47	+z	0.647	51	134	Box021	20231018/029/person2
d003_box021_20231011_035_p2	ok	+x	1.000	96	-x	1.000	16	182	Box021	20231011/035/person2
d003_box021_20231020_019_p1	ok	+x	0.500	40	-x	1.000	28	142	Box021	20231020/019/person1
d003_box021_20231018_030_p1	ok	+z	0.981	52	+x	0.900	60	172	Box021	20231018/030/person1
d003_box021_20231020_020_p2	ok	-x	0.928	69	+x	0.967	60	126	Box021	20231020/020/person2
d003_box021_20231018_028_p2	ok	-z	1.000	53		0.000	0	101	Box021	20231018/028/person2
box021_person1	ok	+z	0.981	52	+x	0.900	60	172	Box021	20231018/030/person1
box023_person1	ok	+y	0.739	23		0.000	0	178	Box023	20231008/045/person1
box023_person2	ok	+z	1.000	32	+z	0.921	63	178	Box023	20231008/045/person2
box025_person1	ok	-z	1.000	80	-z	0.987	79	162	Box025	20231011/048/person1
box025_person2	ok	+z	1.000	80	+z	1.000	79	162	Box025	20231011/048/person2
e091_box004_20231003_2_083_p2	ok	+x	1.000	71	-x	1.000	59	121	Box004	20231003_2/083/person2
e091_box004_20231003_2_083_p1	ok	+z	0.983	59	+y	0.978	46	121	Box004	20231003_2/083/person1
e091_box004_20231003_2_082_p1	ok	+z	0.982	57	+z	0.914	58	139	Box004	20231003_2/082/person1
e091_box004_20231003_2_082_p2	ok	+x	0.979	47	-x	0.906	32	139	Box004	20231003_2/082/person2
e091_box026_20231018_039_p2	ok	-z	1.000	96	-z	1.000	100	142	Box026	20231018/039/person2
e091_box026_20231020_135_p2	ok	-x	0.980	50	-x	0.980	50	116	Box026	20231020/135/person2
box026_person2	skip									
box022_20231022_001_p2	missing_raw									
box022_20231022_127_p2	missing_raw									
