case	status	obj	T	L_face	L_frac	L_count	R_face	R_frac	R_count
d003_box021_20231018_029_p2	ok	Box021	75	-x	0.693	75	+z	0.653	75
d003_box021_20231011_035_p2	ok	Box021	133	+x	0.767	133	-x	0.805	133
d003_box021_20231020_019_p1	ok	Box021	98	+x	0.480	98	-x	0.653	98
d003_box021_20231018_030_p1	ok	Box021	88	+z	0.727	88	+z	0.670	88
d003_box021_20231020_020_p2	ok	Box021	87	-x	0.632	87	+z	0.759	87
d003_box021_20231018_028_p2	ok	Box021	92	-z	0.663	92	-x	0.761	92
box021_person1	ok	Box021	88	+z	0.727	88	+z	0.670	88
box023_person1	ok	Box023	136	+y	0.588	136	+y	0.456	136
box023_person2	ok	Box023	136	+z	0.515	136	+x	0.515	136
box025_person1	ok	Box025	124	-z	0.782	124	-z	0.992	124
box025_person2	ok	Box025	124	+z	1.000	124	+z	1.000	124
e091_box004_20231003_2_083_p2	ok	Box004	105	+x	0.676	105	-z	0.657	105
e091_box004_20231003_2_083_p1	ok	Box004	102	+z	0.529	102	+x	0.598	102
e091_box004_20231003_2_082_p1	ok	Box004	109	+z	0.440	109	+x	0.495	109
e091_box004_20231003_2_082_p2	missing_traj								
e091_box026_20231018_039_p2	ok	Box026	123	-z	0.780	123	-z	0.862	123
e091_box026_20231020_135_p2	ok	Box026	82	-x	0.598	82	-x	0.427	82
box026_person2	missing_traj								
box022_20231022_001_p2	missing_traj								
box022_20231022_127_p2	missing_traj								
