case	status	obj	T	quat_mean_deg	quat_max_deg	disable_world_up	first_quat	last_quat
d003_box021_20231018_029_p2	ok	Box021	75	91.63	98.20	True	[0.7058311700820923, 0.7082310318946838, -0.010038875043392181, -0.010503524914383888]	[0.7085431218147278, 0.7051542401313782, -0.02235965058207512, -0.014973719604313374]
d003_box021_20231011_035_p2	ok	Box021	133	84.23	97.34	True	[0.7224826812744141, 0.6904245018959045, -0.02957167662680149, -0.021407270804047585]	[0.724827766418457, 0.6884914636611938, -0.01908987946808338, -0.01548522338271141]
d003_box021_20231020_019_p1	ok	Box021	98	177.49	179.51	True	[-0.010942354798316956, -0.02147553861141205, 0.7100623846054077, 0.7037261724472046]	[0.009335977025330067, 0.0026140587870031595, 0.7094647288322449, 0.704674243927002]
d003_box021_20231018_030_p1	ok	Box021	88	90.14	96.67	True	[0.7069646120071411, 0.7064251899719238, -0.026238780468702316, -0.021816901862621307]	[0.7061169743537903, 0.7079533934593201, -0.009778075851500034, -0.010258647613227367]
d003_box021_20231020_020_p2	ok	Box021	87	176.95	179.95	True	[0.008824951015412807, 0.0022763838060200214, 0.7094476222991943, 0.7046992182731628]	[0.01587638631463051, -0.0006323054549284279, 0.7090405821800232, 0.7049886584281921]
d003_box021_20231018_028_p2	ok	Box021	92	89.82	93.62	True	[0.7076195478439331, 0.7064768075942993, 0.007946782745420933, 0.010094006545841694]	[0.707183837890625, 0.7069068551063538, -0.009109064936637878, -0.009527245536446571]
box021_person1	ok	Box021	88	90.14	96.67	True	[0.7069646120071411, 0.7064251899719238, -0.026238780468702316, -0.021816901862621307]	[0.7061169743537903, 0.7079533934593201, -0.009778075851500034, -0.010258647613227367]
box023_person1	ok	Box023	136	178.13	179.97	True	[-0.006451329682022333, -0.0007823040941730142, 0.7010128498077393, 0.7131190299987793]	[-0.0006244529504328966, 0.021280569955706596, 0.6909565925598145, 0.7225826978683472]
box023_person2	ok	Box023	136	178.13	179.97	True	[-0.006451329682022333, -0.0007823040941730142, 0.7010128498077393, 0.7131190299987793]	[-0.0006244529504328966, 0.021280569955706596, 0.6909565925598145, 0.7225826978683472]
box025_person1	ok	Box025	124	121.83	125.96	True	[0.5046196579933167, 0.49965521693229675, 0.49802830815315247, 0.49766603112220764]	[0.4965387284755707, 0.4903414845466614, 0.5065063834190369, 0.5064245462417603]
box025_person2	ok	Box025	124	121.83	125.96	True	[0.5046196579933167, 0.49965521693229675, 0.49802830815315247, 0.49766603112220764]	[0.4965387284755707, 0.4903414845466614, 0.5065063834190369, 0.5064245462417603]
e091_box004_20231003_2_083_p2	ok	Box004	105	163.82	179.82	True	[-0.05275939032435417, -0.04521750286221504, 0.7027673721313477, 0.7080182433128357]	[-0.19522811472415924, -0.1916990578174591, 0.6802883148193359, 0.679959774017334]
e091_box004_20231003_2_083_p1	ok	Box004	102	163.53	179.82	True	[-0.053407859057188034, -0.044923100620508194, 0.7025636434555054, 0.7081905007362366]	[-0.19522811472415924, -0.1916990578174591, 0.6802883148193359, 0.679959774017334]
e091_box004_20231003_2_082_p1	ok	Box004	109	165.46	179.77	True	[-0.1992706060409546, -0.19242648780345917, 0.67816162109375, 0.6807056069374084]	[-0.05288073420524597, -0.045157864689826965, 0.7025894522666931, 0.7081896066665649]
e091_box004_20231003_2_082_p2	missing_traj							
e091_box026_20231018_039_p2	ok	Box026	123	122.09	132.60	True	[0.5015119910240173, 0.505972683429718, 0.49509716033935547, 0.4973491132259369]	[0.505836546421051, 0.5080106854438782, 0.49355313181877136, 0.4924021065235138]
e091_box026_20231020_135_p2	ok	Box026	82	115.95	127.23	True	[0.5209546685218811, 0.5185589790344238, 0.47730782628059387, 0.48153921961784363]	[0.5767124891281128, 0.5768408179283142, 0.40845394134521484, 0.40966182947158813]
box026_person2	missing_traj							
box022_20231022_001_p2	missing_traj							
box022_20231022_127_p2	missing_traj							
