case	status	T	vote_L	vote_R	palm_vote_L	palm_vote_R	face_changed_L	face_changed_R	delta_palm_mean_L_m	delta_palm_max_L_m	delta_palm_mean_R_m	delta_palm_max_R_m	delta_swap_mean_L_m	delta_swap_max_L_m	delta_swap_mean_R_m	delta_swap_max_R_m	active_L_frac	active_R_frac
d003_box021_20231018_029_p2	ok	75	-x	+z	-x	+z	False	False	0.1076	0.3499	0.0933	0.4270	0.0000	0.0000	0.0000	0.0000	1.000	1.000
d003_box021_20231011_035_p2	ok	133	+x	-x	+x	-x	False	False	0.0946	0.4098	0.1057	0.3960	0.0000	0.0000	0.0000	0.0000	1.000	1.000
d003_box021_20231020_019_p1	ok	98	+x	-x	+x	-x	False	False	0.2142	0.9797	0.1473	0.4079	0.0000	0.0000	0.0000	0.0000	1.000	1.000
d003_box021_20231018_030_p1	ok	88	+z	+x	+z	+z	False	True	0.1092	0.4543	0.1018	0.4533	0.0000	0.0000	0.0273	0.1801	1.000	1.000
d003_box021_20231020_020_p2	ok	87	-x	+x	-x	+z	False	True	0.0925	0.3201	0.0719	0.2957	0.0000	0.0000	0.0273	0.0628	1.000	1.000
d003_box021_20231018_028_p2	ok	92	-z		-z	-x	False	True	0.1457	0.4499	0.0000	0.0000	0.0000	0.0000	0.1681	0.4330	1.000	1.000
box021_person1	ok	88	+z	+x	+z	+z	False	True	0.1092	0.4543	0.1018	0.4533	0.0000	0.0000	0.0273	0.1801	1.000	1.000
box023_person1	ok	136	+y		+y	+y	False	True	0.2525	0.5530	0.0000	0.0000	0.0000	0.0000	0.2315	0.4630	1.000	1.000
box023_person2	ok	136	+z	+z	+z	+x	False	True	0.2956	0.8933	0.2317	0.4997	0.0000	0.0000	0.0153	0.0302	1.000	1.000
box025_person1	ok	124	-z	-z	-z	-z	False	False	0.1290	0.6766	0.0351	0.1201	0.0000	0.0000	0.0000	0.0000	1.000	1.000
box025_person2	ok	124	+z	+z	+z	+z	False	False	0.0494	0.1691	0.0382	0.1432	0.0000	0.0000	0.0000	0.0000	1.000	1.000
e091_box004_20231003_2_083_p2	ok	105	+x	-x	+x	-z	False	True	0.1948	0.8308	0.1941	0.6119	0.0000	0.0000	0.0447	0.0897	1.000	1.000
e091_box004_20231003_2_083_p1	ok	102	+z	+y	+z	+x	False	True	0.1774	0.5537	0.1788	0.4846	0.0000	0.0000	0.0185	0.0371	1.000	1.000
e091_box004_20231003_2_082_p1	ok	109	+z	+z	+z	+x	False	True	0.2312	0.5773	0.2252	0.5843	0.0000	0.0000	0.0501	0.4976	1.000	1.000
e091_box004_20231003_2_082_p2	missing_inputs																	
e091_box026_20231018_039_p2	ok	123	-z	-z	-z	-z	False	False	0.0791	0.4465	0.0927	0.5158	0.0000	0.0000	0.0000	0.0000	1.000	1.000
e091_box026_20231020_135_p2	ok	82	-x	-x	-x	-x	False	False	0.1272	0.3629	0.1077	0.2844	0.0000	0.0000	0.0000	0.0000	1.000	1.000
box026_person2	missing_inputs																	
box022_20231022_001_p2	missing_inputs																	
box022_20231022_127_p2	missing_inputs																	
