# E143 raw_mask_ref_fk 24-case variants
# ordinal	variant	e109_case_id	case_id	object_key	target_variant_id	source_task	derived_task	person_idx	split	ablation	mask_path	mask_kind	source_mask_path	baseline_npz_path	baseline_run_id	omni_qpos_path	omni_scene_xml	spider_scene_xml	override	run_status	reuse_source_exp	reuse_npz_path	reuse_video_path	reuse_outdir_npz_path
1	E143_box023_person2_raw_mask_ref_fk	box023_person2	box023_person2	box023	ref_fk	box023_person2	box023_person2_legobj_e026_e081	1	local-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E081/contact_masks/box023_person2/raw_contact_mask_3cm.npz	workspace/core4d/results/E081/E081_box023_p2_legobj.npz	E081_box023_p2_legobj	workspace/core4d/results/E077/holosoma_box023_person2/trimmed/20231008-045-person2-Box023_with_obj_original.npz	workspace/core4d/results/E081/scene_snapshot/box023_person2_legobj/scene.xml	workspace/core4d/results/E081/scene_snapshot/box023_person2_legobj/scene_act.xml	examples/config/override/core4d_E143_box023_person2_raw_mask_ref_fk.yaml	to_run				
2	E143_bucket004_20231002_022_p1_raw_mask_ref_fk	bucket004_20231002_022_p1	bucket004_20231002_022_p1	bucket004	ref_fk	bucket004_20231002_022_p1	dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1	0	remote-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/bucket004_20231002_022_p1/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E108/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E108/s6_downstream/cem/full/E108B02_bucket004_20231002_022_p1_ref_fk_nonbox.npz	E108B02_bucket004_20231002_022_p1_ref_fk_nonbox	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/scene_act.xml	examples/config/override/core4d_E143_bucket004_20231002_022_p1_raw_mask_ref_fk.yaml	to_run				
3	E143_bucket004_20231003_1_012_p1_raw_mask_ref_fk	bucket004_20231003_1_012_p1	bucket004_20231003_1_012_p1	bucket004	ref_fk	bucket004_20231003_1_012_p1	dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1	0	remote-gpu1	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/bucket004_20231003_1_012_p1/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E108/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E108/s6_downstream/cem/full/E108B01_bucket004_20231003_1_012_p1_ref_fk_nonbox.npz	E108B01_bucket004_20231003_1_012_p1_ref_fk_nonbox	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act.xml	examples/config/override/core4d_E143_bucket004_20231003_1_012_p1_raw_mask_ref_fk.yaml	to_run				
4	E143_box021_035_p1_raw_mask_ref_fk	d003_box021_20231011_035_p1	box021_035_p1	box021	ref_fk	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	already_done	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	E107C02_box021_20231011_035_p1_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	examples/config/override/core4d_E143_box021_035_p1_raw_mask_ref_fk.yaml	already_done	E112	workspace/core4d/results/E112/cem/full/E112_box021_035_p1_raw_mask_ref_fk.npz	workspace/core4d/results/E112/cem/full/E112_box021_035_p1_raw_mask_ref_fk_full.mp4	workspace/core4d/results/E112/cem/full/E112_box021_035_p1_raw_mask_ref_fk_outdir_full/trajectory_mjwp_act.npz
5	E143_box021_035_p2_raw_mask_ref_fk	d003_box021_20231011_035_p2	box021_035_p2	box021	ref_fk	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	local-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E107C03_box021_20231011_035_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	examples/config/override/core4d_E143_box021_035_p2_raw_mask_ref_fk.yaml	to_run				
6	E143_box021_029_p2_raw_mask_ref_fk	d003_box021_20231018_029_p2	box021_029_p2	box021	ref_fk	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	remote-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E107C04_box021_20231018_029_p2_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	examples/config/override/core4d_E143_box021_029_p2_raw_mask_ref_fk.yaml	to_run				
7	E143_box004_082_p1_raw_mask_ref_fk	e091_box004_20231003_2_082_p1	box004_082_p1	box004	ref_fk	e091_box004_20231003_2_082_p1	e091_box004_20231003_2_082_p1_e096b_mask_cem	0	already_done	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E096b/contact_masks/e091_box004_20231003_2_082_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E096b/cem/full/E096bP2_box004_082_p1_mask_cem.npz	E096bP2_box004_082_p1_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act.xml	examples/config/override/core4d_E143_box004_082_p1_raw_mask_ref_fk.yaml	already_done	E112	workspace/core4d/results/E112/cem/full/E112_box004_082_p1_raw_mask_ref_fk.npz	workspace/core4d/results/E112/cem/full/E112_box004_082_p1_raw_mask_ref_fk_full.mp4	workspace/core4d/results/E112/cem/full/E112_box004_082_p1_raw_mask_ref_fk_outdir_full/trajectory_mjwp_act.npz
8	E143_box004_083_p1_raw_mask_ref_fk	e091_box004_20231003_2_083_p1	box004_083_p1	box004	ref_fk	e091_box004_20231003_2_083_p1	e091_box004_20231003_2_083_p1_e096b_mask_cem	0	remote-gpu1	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box004_083_p1/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E096b/contact_masks/e091_box004_20231003_2_083_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E096b/cem/full/E096bP1_box004_083_p1_mask_cem.npz	E096bP1_box004_083_p1_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act.xml	examples/config/override/core4d_E143_box004_083_p1_raw_mask_ref_fk.yaml	to_run				
9	E143_box004_083_p2_raw_mask_ref_fk	e091_box004_20231003_2_083_p2	box004_083_p2	box004	ref_fk	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2_e092_dyn	1	local-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	mjwp_compatible_copied	workspace/core4d/results/E113/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E092/spider_dyn/full/E092D1_box004_083_p2_dyn.npz	E092D1_box004_083_p2_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	examples/config/override/core4d_E143_box004_083_p2_raw_mask_ref_fk.yaml	to_run				
10	E143_box026_039_p1_raw_mask_ref_fk	e091_box026_20231018_039_p1	box026_039_p1	box026	ref_fk	e091_box026_20231018_039_p1	e091_box026_20231018_039_p1_e106_clean	0	remote-gpu0	raw_mask_ref_fk	workspace/core4d/results/E143/contact_masks/box026_039_p1/raw_contact_mask_3cm.npz	e104_raw_proxy_converted	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_039_box026/raw_contact_proxy.npz	workspace/core4d/results/E106/cem/full/E106B25_box026_20231018_039_p1_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	E106B25_box026_20231018_039_p1_ref_fk_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231018_039_p1_e106_clean/scene_act.xml	examples/config/override/core4d_E143_box026_039_p1_raw_mask_ref_fk.yaml	to_run				
