# E144 raw_mask_ref_fk full CEM variants
ordinal	variant	case_id	object_key	object_category	person	person_idx	split	ablation	retarget_variant_id	target_variant_id	derived_task	target_scene	trajectory	scene_act	mask_path	mask_kind	override	handoff_decision	candidate_decision	raw_contact_threshold_label	run_status
1	E144_bucket003_20231018_001_p2_raw_mask_ref_fk	bucket003_20231018_001_p2	bucket003	bucket	person2	1	local-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket003_20231018_001_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231018_001_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231018_001_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231018_001_p2/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket003_20231018_001_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket003_20231018_001_p2_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
2	E144_bucket003_20231018_002_p2_raw_mask_ref_fk	bucket003_20231018_002_p2	bucket003	bucket	person2	1	remote-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket003_20231018_002_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231018_002_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231018_002_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231018_002_p2/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket003_20231018_002_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket003_20231018_002_p2_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
3	E144_bucket003_20231020_064_p2_raw_mask_ref_fk	bucket003_20231020_064_p2	bucket003	bucket	person2	1	remote-gpu1	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket003_20231020_064_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231020_064_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231020_064_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231020_064_p2/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket003_20231020_064_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket003_20231020_064_p2_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
4	E144_bucket003_20231020_065_p2_raw_mask_ref_fk	bucket003_20231020_065_p2	bucket003	bucket	person2	1	local-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket003_20231020_065_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231020_065_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231020_065_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket003_20231020_065_p2/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket003_20231020_065_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket003_20231020_065_p2_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
5	E144_bucket004_20231002_021_p1_raw_mask_ref_fk	bucket004_20231002_021_p1	bucket004	bucket	person1	0	remote-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket004_20231002_021_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket004_20231002_021_p1_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
6	E144_bucket004_20231002_021_p2_raw_mask_ref_fk	bucket004_20231002_021_p2	bucket004	bucket	person2	1	remote-gpu1	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p2/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket004_20231002_021_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket004_20231002_021_p2_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
7	E144_bucket004_20231002_022_p1_raw_mask_ref_fk	bucket004_20231002_022_p1	bucket004	bucket	person1	0	local-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p1/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket004_20231002_022_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket004_20231002_022_p1_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
8	E144_bucket004_20231002_022_p2_raw_mask_ref_fk	bucket004_20231002_022_p2	bucket004	bucket	person2	1	remote-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_022_p2/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket004_20231002_022_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket004_20231002_022_p2_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
9	E144_bucket004_20231003_1_012_p1_raw_mask_ref_fk	bucket004_20231003_1_012_p1	bucket004	bucket	person1	0	remote-gpu1	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket004_20231003_1_012_p1/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket004_20231003_1_012_p1_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
10	E144_bucket004_20231003_1_012_p2_raw_mask_ref_fk	bucket004_20231003_1_012_p2	bucket004	bucket	person2	1	local-gpu0	raw_mask_ref_fk	omnirt_v1	ref_fk	dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p2	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p2/scene.xml	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p2/0/trajectory_kinematic.npz	/home/ubuntu/Workspace/spider/example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p2/scene_act.xml	workspace/core4d/results/E144/contact_masks/bucket004_20231003_1_012_p2/raw_contact_mask_3cm.npz	s5_contact_mask_3cm	examples/config/override/core4d_E144_bucket004_20231003_1_012_p2_raw_mask_ref_fk.yaml	HANDOFF_READY	PASS	5cm	to_run
