ordinal	variant	case_id	object_key	object_category	person	person_idx	split	ablation	retarget_variant_id	target_variant_id	hand_collision_variant_id	derived_task	target_scene	trajectory	base_scene_act	rubber_scene_act	scene_name	sphere_run_id	sphere_npz	sphere_video	sphere_outdir_npz	sphere_config_act	override	object_asset	remote_sync_key	historical_cem_status	historical_rl_status	expected_quality	run_status
1	E147_e091_box004_20231003_2_083_p1_rubber_hull	e091_box004_20231003_2_083_p1	box004	box	person1	0	remote-gpu0	rubber_hull	omnirt_v1	ref_fk	rubber_hull	e091_box004_20231003_2_083_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E096bP1_box004_083_p1_mask_cem	workspace/core4d/results/E096b/cem/full/E096bP1_box004_083_p1_mask_cem.npz	workspace/core4d/results/E096b/cem/full/E096bP1_box004_083_p1_mask_cem_full.mp4	workspace/core4d/results/E096b/cem/full/E096bP1_box004_083_p1_mask_cem_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E096b/cem/full/E096bP1_box004_083_p1_mask_cem_outdir_full/config_act.yaml	examples/config/override/core4d_E147_e091_box004_20231003_2_083_p1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem	pass	not_run	pass	to_run
2	E147_e091_box004_20231003_2_082_p1_rubber_hull	e091_box004_20231003_2_082_p1	box004	box	person1	0	remote-gpu1	rubber_hull	omnirt_v1	ref_fk	rubber_hull	e091_box004_20231003_2_082_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E096bP2_box004_082_p1_mask_cem	workspace/core4d/results/E096b/cem/full/E096bP2_box004_082_p1_mask_cem.npz	workspace/core4d/results/E096b/cem/full/E096bP2_box004_082_p1_mask_cem_full.mp4	workspace/core4d/results/E096b/cem/full/E096bP2_box004_082_p1_mask_cem_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E096b/cem/full/E096bP2_box004_082_p1_mask_cem_outdir_full/config_act.yaml	examples/config/override/core4d_E147_e091_box004_20231003_2_082_p1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem	pass	not_run	pass	to_run
3	E147_d003_box021_20231011_035_p1_rubber_hull	d003_box021_20231011_035_p1	box021	box	person1	0	remote-gpu0	rubber_hull	omnirt_v1	ref_fk	rubber_hull	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E107C02_box021_20231011_035_p1_ref_fk_clean	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean_full.mp4	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean_outdir_full/config_act.yaml	examples/config/override/core4d_E147_d003_box021_20231011_035_p1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	humanoid_object/d003_box021_20231011_035_p1_e107_clean	pass	not_run	pass	to_run
4	E147_d003_box021_20231011_035_p2_rubber_hull	d003_box021_20231011_035_p2	box021	box	person2	1	remote-gpu1	rubber_hull	omnirt_v1	ref_fk	rubber_hull	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E107C03_box021_20231011_035_p2_ref_fk_clean	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean.npz	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_full.mp4	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/config_act.yaml	examples/config/override/core4d_E147_d003_box021_20231011_035_p2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	humanoid_object/d003_box021_20231011_035_p2_e107_clean	fail	not_run	fail	to_run
5	E147_box023_person2_rubber_hull	box023_person2	box023	box	person2	1	remote-gpu0	rubber_hull	omnirt_legacy	ref_fk	rubber_hull	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E081_box023_p2_legobj	workspace/core4d/results/E081/E081_box023_p2_legobj.npz	workspace/core4d/results/E081/E081_box023_p2_legobj.mp4	workspace/core4d/results/E081/E081_box023_p2_legobj_outdir/trajectory_mjwp_act.npz	workspace/core4d/results/E081/E081_box023_p2_legobj_outdir/config_act.yaml	examples/config/override/core4d_E147_box023_person2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	humanoid_object/box023_person2_legobj	pass	not_run	pass	to_run
6	E147_box023_person1_rubber_hull	box023_person1	box023	box	person1	0	remote-gpu1	rubber_hull	omnirt_legacy	ref_fk	rubber_hull	box023_person1	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E079_box023_p1	workspace/core4d/results/E079/E079_box023_p1.npz	workspace/core4d/results/E079/E079_box023_p1.mp4	workspace/core4d/results/E079/E079_box023_p1_outdir/trajectory_mjwp_act.npz	workspace/core4d/results/E079/E079_box023_p1_outdir/config_act.yaml	examples/config/override/core4d_E147_box023_person1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	humanoid_object/box023_person1	fail	not_run	fail	to_run
7	E147_e091_box026_20231020_134_p1_rubber_hull	e091_box026_20231020_134_p1	box026	box	person1	0	remote-gpu0	rubber_hull	omnirt_v1	ref_fk	rubber_hull	e091_box026_20231020_134_p1_e106_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E106B05_box026_20231020_134_p1_ref_fk_clean	workspace/core4d/results/E106/cem/full/E106B05_box026_20231020_134_p1_ref_fk_clean.npz	workspace/core4d/results/E106/cem/full/E106B05_box026_20231020_134_p1_ref_fk_clean_full.mp4	workspace/core4d/results/E106/cem/full/E106B05_box026_20231020_134_p1_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E106/cem/full/E106B05_box026_20231020_134_p1_ref_fk_clean_outdir_full/config_act.yaml	examples/config/override/core4d_E147_e091_box026_20231020_134_p1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box026/box026_m.obj	humanoid_object/e091_box026_20231020_134_p1_e106_clean	pass	not_run	pass	to_run
8	E147_e091_box026_20231020_134_p2_rubber_hull	e091_box026_20231020_134_p2	box026	box	person2	1	remote-gpu1	rubber_hull	omnirt_v1	ref_fk	rubber_hull	e091_box026_20231020_134_p2_e106_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E106B06_box026_20231020_134_p2_ref_fk_clean	workspace/core4d/results/E106/cem/full/E106B06_box026_20231020_134_p2_ref_fk_clean.npz	workspace/core4d/results/E106/cem/full/E106B06_box026_20231020_134_p2_ref_fk_clean_full.mp4	workspace/core4d/results/E106/cem/full/E106B06_box026_20231020_134_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E106/cem/full/E106B06_box026_20231020_134_p2_ref_fk_clean_outdir_full/config_act.yaml	examples/config/override/core4d_E147_e091_box026_20231020_134_p2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box026/box026_m.obj	humanoid_object/e091_box026_20231020_134_p2_e106_clean	fail	not_run	fail	to_run
9	E147_bucket004_20231003_1_012_p1_rubber_hull	bucket004_20231003_1_012_p1	bucket004	bucket	person1	0	remote-gpu0	rubber_hull	omnirt_v1	ref_fk	rubber_hull	dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E108B01_bucket004_20231003_1_012_p1_ref_fk_nonbox	workspace/core4d/results/E108/s6_downstream/cem/full/E108B01_bucket004_20231003_1_012_p1_ref_fk_nonbox.npz	workspace/core4d/results/E108/s6_downstream/cem/full/E108B01_bucket004_20231003_1_012_p1_ref_fk_nonbox_full.mp4	workspace/core4d/results/E108/s6_downstream/cem/full/E108B01_bucket004_20231003_1_012_p1_ref_fk_nonbox_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E108/s6_downstream/cem/full/E108B01_bucket004_20231003_1_012_p1_ref_fk_nonbox_outdir_full/config_act.yaml	examples/config/override/core4d_E147_bucket004_20231003_1_012_p1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/bucket004/bucket004_m.obj	humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1	pass	pass	pass	to_run
10	E147_bucket004_20231002_021_p1_rubber_hull	bucket004_20231002_021_p1	bucket004	bucket	person1	0	remote-gpu1	rubber_hull	omnirt_v1	ref_fk	rubber_hull	dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	E108B03_bucket004_20231002_021_p1_ref_fk_nonbox	workspace/core4d/results/E108/s6_downstream/cem/full/E108B03_bucket004_20231002_021_p1_ref_fk_nonbox.npz	workspace/core4d/results/E108/s6_downstream/cem/full/E108B03_bucket004_20231002_021_p1_ref_fk_nonbox_full.mp4	workspace/core4d/results/E108/s6_downstream/cem/full/E108B03_bucket004_20231002_021_p1_ref_fk_nonbox_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E108/s6_downstream/cem/full/E108B03_bucket004_20231002_021_p1_ref_fk_nonbox_outdir_full/config_act.yaml	examples/config/override/core4d_E147_bucket004_20231002_021_p1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/bucket004/bucket004_m.obj	humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1	fail	not_run	fail	to_run
