ordinal	variant	short_case_id	method	method_group	compare_to_method	e151_baseline_variant	e151_b1_variant	e148_variant	e109_case_id	case_id	object_key	object_category	person_idx	split	run_status	source_exp	target_variant_id	target_npz	target_clean_max_diff_m	target_clean_selected	hand_support_scale	cem_hand_gate_enabled	cem_hand_gate_min_sdf_m	cem_hand_gate_max_violation_pct	hand_collision_variant_id	derived_task	target_scene	trajectory	base_scene_act	rubber_scene_act	scene_name	override	object_asset	mask_path	baseline_variant	baseline_npz	baseline_outdir_npz	baseline_video	b1_variant	b1_npz	b1_outdir_npz	b1_video	result_npz	outdir_npz	video	expected_quality	remote_sync_key
1	E152_box021_029_p2_baseline	box021_029_p2	baseline	baseline		E151_box021_029_p2_baseline	E151_box021_029_p2_b1_mesh	E148_box021_029_p2_rubber_hull	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	reuse	reuse_baseline	E148	baseline				0.0	false			rubber_hull	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E148_box021_029_p2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E151_box021_029_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	E151_box021_029_p2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_full.mp4	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
2	E152_box021_029_p2_gateA	box021_029_p2	gateA	gateA	baseline	E151_box021_029_p2_baseline	E151_box021_029_p2_b1_mesh	E148_box021_029_p2_rubber_hull	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	local-gpu0	to_run	E152	gateA				0.0	true	-0.010000	0.050000	rubber_hull	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E152_box021_029_p2_gateA.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E151_box021_029_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	E151_box021_029_p2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_full.mp4	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box021_029_p2_gateA.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box021_029_p2_gateA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box021_029_p2_gateA_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
3	E152_box021_029_p2_b1	box021_029_p2	b1	B1	baseline	E151_box021_029_p2_baseline	E151_box021_029_p2_b1_mesh	E148_box021_029_p2_rubber_hull	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	reuse	reuse_e151_b1	E151	b1				3.0	false			rubber_hull	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E151_box021_029_p2_b1_mesh.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E151_box021_029_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	E151_box021_029_p2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
4	E152_box021_029_p2_gateA_b1	box021_029_p2	gateA_b1	gateA+B1	b1	E151_box021_029_p2_baseline	E151_box021_029_p2_b1_mesh	E148_box021_029_p2_rubber_hull	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	local-gpu0	to_run	E152	gateA_b1				3.0	true	-0.010000	0.050000	rubber_hull	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E152_box021_029_p2_gateA_b1.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E151_box021_029_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	E151_box021_029_p2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_full.mp4	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box021_029_p2_gateA_b1.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box021_029_p2_gateA_b1_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box021_029_p2_gateA_b1_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
5	E152_box004_083_p2_baseline	box004_083_p2	baseline	baseline		E151_box004_083_p2_baseline	E151_box004_083_p2_b1_mesh	E148_box004_083_p2_rubber_hull	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	reuse	reuse_baseline	E148	baseline				0.0	false			rubber_hull	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E148_box004_083_p2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E151_box004_083_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	E151_box004_083_p2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_full.mp4	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
6	E152_box004_083_p2_gateA	box004_083_p2	gateA	gateA	baseline	E151_box004_083_p2_baseline	E151_box004_083_p2_b1_mesh	E148_box004_083_p2_rubber_hull	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	remote-gpu0	to_run	E152	gateA				0.0	true	-0.010000	0.050000	rubber_hull	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E152_box004_083_p2_gateA.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E151_box004_083_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	E151_box004_083_p2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_full.mp4	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box004_083_p2_gateA.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box004_083_p2_gateA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box004_083_p2_gateA_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
7	E152_box004_083_p2_b1	box004_083_p2	b1	B1	baseline	E151_box004_083_p2_baseline	E151_box004_083_p2_b1_mesh	E148_box004_083_p2_rubber_hull	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	reuse	reuse_e151_b1	E151	b1				3.0	false			rubber_hull	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E151_box004_083_p2_b1_mesh.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E151_box004_083_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	E151_box004_083_p2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
8	E152_box004_083_p2_gateA_b1	box004_083_p2	gateA_b1	gateA+B1	b1	E151_box004_083_p2_baseline	E151_box004_083_p2_b1_mesh	E148_box004_083_p2_rubber_hull	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	remote-gpu0	to_run	E152	gateA_b1				3.0	true	-0.010000	0.050000	rubber_hull	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E152_box004_083_p2_gateA_b1.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E151_box004_083_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	E151_box004_083_p2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_full.mp4	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box004_083_p2_gateA_b1.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box004_083_p2_gateA_b1_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box004_083_p2_gateA_b1_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
9	E152_box023_person2_baseline	box023_person2	baseline	baseline		E151_box023_person2_baseline	E151_box023_person2_b1_mesh	E148_box023_person2_rubber_hull	box023_person2	box023_person2	box023	box	1	reuse	reuse_baseline	E147	baseline				0.0	false			rubber_hull	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E147_box023_person2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	E151_box023_person2_baseline	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	E151_box023_person2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b1_mesh_full.mp4	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	review	humanoid_object/box023_person2_legobj_e026_e081
10	E152_box023_person2_gateA	box023_person2	gateA	gateA	baseline	E151_box023_person2_baseline	E151_box023_person2_b1_mesh	E148_box023_person2_rubber_hull	box023_person2	box023_person2	box023	box	1	remote-gpu1	to_run	E152	gateA				0.0	true	-0.010000	0.050000	rubber_hull	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E152_box023_person2_gateA.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	E151_box023_person2_baseline	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	E151_box023_person2_b1_mesh	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b1_mesh_full.mp4	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box023_person2_gateA.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box023_person2_gateA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E152/axis1_hand_object_physics_gate/cem/full/E152_box023_person2_gateA_full.mp4	review	humanoid_object/box023_person2_legobj_e026_e081
