# E106 frozen Box026 30-candidate manifest
# ordinal	e104_rank	e104_route	variant	source_task	derived_task	split	date	seq	person	person_idx	object_key	object_name	object_model_rel	source_scene_task	score	target_both_active_frac_3cm	target_both_active_frac_5cm	raw_contact_proxy_path
1	1	candidate_legacy_risk_needs_visual	E106B01_box026_20231018_039_p2_ref_fk_clean	e091_box026_20231018_039_p2	e091_box026_20231018_039_p2_e106_clean	local-gpu0	20231018	039	person2	1	box026	Box026	box/box026_m.obj	box026_person2	168.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_039_box026/raw_contact_proxy.npz
2	2	candidate_legacy_risk_needs_visual	E106B02_box026_20231020_135_p2_ref_fk_clean	e091_box026_20231020_135_p2	e091_box026_20231020_135_p2_e106_clean	local-gpu0	20231020	135	person2	1	box026	Box026	box/box026_m.obj	box026_person2	145.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_135_box026/raw_contact_proxy.npz
3	3	candidate_executable	E106B03_box026_20231018_041_p2_ref_fk_clean	e091_box026_20231018_041_p2	e091_box026_20231018_041_p2_e106_clean	local-gpu0	20231018	041	person2	1	box026	Box026	box/box026_m.obj	box026_person2	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_041_box026/raw_contact_proxy.npz
4	4	candidate_executable	E106B04_box026_20231018_044_p2_ref_fk_clean	e091_box026_20231018_044_p2	e091_box026_20231018_044_p2_e106_clean	local-gpu0	20231018	044	person2	1	box026	Box026	box/box026_m.obj	box026_person2	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_044_box026/raw_contact_proxy.npz
5	5	candidate_executable	E106B05_box026_20231020_134_p1_ref_fk_clean	e091_box026_20231020_134_p1	e091_box026_20231020_134_p1_e106_clean	local-gpu0	20231020	134	person1	0	box026	Box026	box/box026_m.obj	box026_person1	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_134_box026/raw_contact_proxy.npz
6	6	candidate_executable	E106B06_box026_20231020_134_p2_ref_fk_clean	e091_box026_20231020_134_p2	e091_box026_20231020_134_p2_e106_clean	local-gpu0	20231020	134	person2	1	box026	Box026	box/box026_m.obj	box026_person2	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_134_box026/raw_contact_proxy.npz
7	7	candidate_executable	E106B07_box026_20231020_137_p1_ref_fk_clean	e091_box026_20231020_137_p1	e091_box026_20231020_137_p1_e106_clean	local-gpu0	20231020	137	person1	0	box026	Box026	box/box026_m.obj	box026_person1	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_137_box026/raw_contact_proxy.npz
8	8	candidate_executable	E106B08_box026_20231020_137_p2_ref_fk_clean	e091_box026_20231020_137_p2	e091_box026_20231020_137_p2_e106_clean	local-gpu0	20231020	137	person2	1	box026	Box026	box/box026_m.obj	box026_person2	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_137_box026/raw_contact_proxy.npz
9	9	candidate_executable	E106B09_box026_20231020_138_p1_ref_fk_clean	e091_box026_20231020_138_p1	e091_box026_20231020_138_p1_e106_clean	local-gpu0	20231020	138	person1	0	box026	Box026	box/box026_m.obj	box026_person1	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_138_box026/raw_contact_proxy.npz
10	10	candidate_executable	E106B10_box026_20231020_138_p2_ref_fk_clean	e091_box026_20231020_138_p2	e091_box026_20231020_138_p2_e106_clean	local-gpu0	20231020	138	person2	1	box026	Box026	box/box026_m.obj	box026_person2	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_138_box026/raw_contact_proxy.npz
11	11	candidate_executable	E106B11_box026_20231020_139_p1_ref_fk_clean	e091_box026_20231020_139_p1	e091_box026_20231020_139_p1_e106_clean	remote-gpu0	20231020	139	person1	0	box026	Box026	box/box026_m.obj	box026_person1	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_139_box026/raw_contact_proxy.npz
12	12	candidate_executable	E106B12_box026_20231020_139_p2_ref_fk_clean	e091_box026_20231020_139_p2	e091_box026_20231020_139_p2_e106_clean	remote-gpu0	20231020	139	person2	1	box026	Box026	box/box026_m.obj	box026_person2	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_139_box026/raw_contact_proxy.npz
13	13	candidate_executable	E106B13_box026_20231023_138_p1_ref_fk_clean	e091_box026_20231023_138_p1	e091_box026_20231023_138_p1_e106_clean	remote-gpu0	20231023	138	person1	0	box026	Box026	box/box026_m.obj	box026_person1	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231023_138_box026/raw_contact_proxy.npz
14	14	candidate_executable	E106B14_box026_20231023_139_p1_ref_fk_clean	e091_box026_20231023_139_p1	e091_box026_20231023_139_p1_e106_clean	remote-gpu0	20231023	139	person1	0	box026	Box026	box/box026_m.obj	box026_person1	130.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231023_139_box026/raw_contact_proxy.npz
15	18	candidate_executable	E106B15_box026_20231023_137_p1_ref_fk_clean	e091_box026_20231023_137_p1	e091_box026_20231023_137_p1_e106_clean	remote-gpu0	20231023	137	person1	0	box026	Box026	box/box026_m.obj	box026_person1	128.516	0.9844	0.9844	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231023_137_box026/raw_contact_proxy.npz
16	19	candidate_executable	E106B16_box026_20231018_043_p2_ref_fk_clean	e091_box026_20231018_043_p2	e091_box026_20231018_043_p2_e106_clean	remote-gpu0	20231018	043	person2	1	box026	Box026	box/box026_m.obj	box026_person2	127.106	0.9737	0.9737	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_043_box026/raw_contact_proxy.npz
17	20	candidate_executable	E106B17_box026_20231018_042_p2_ref_fk_clean	e091_box026_20231018_042_p2	e091_box026_20231018_042_p2_e106_clean	remote-gpu0	20231018	042	person2	1	box026	Box026	box/box026_m.obj	box026_person2	127.000	1.0	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_042_box026/raw_contact_proxy.npz
18	23	candidate_executable	E106B18_box026_20231018_038_p2_ref_fk_clean	e091_box026_20231018_038_p2	e091_box026_20231018_038_p2_e106_clean	remote-gpu0	20231018	038	person2	1	box026	Box026	box/box026_m.obj	box026_person2	117.614	0.9538	0.9846	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_038_box026/raw_contact_proxy.npz
19	24	candidate_executable	E106B19_box026_20231020_141_p2_ref_fk_clean	e091_box026_20231020_141_p2	e091_box026_20231020_141_p2_e106_clean	remote-gpu0	20231020	141	person2	1	box026	Box026	box/box026_m.obj	box026_person2	113.847	0.9231	0.9231	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_141_box026/raw_contact_proxy.npz
20	25	candidate_executable	E106B20_box026_20231023_139_p2_ref_fk_clean	e091_box026_20231023_139_p2	e091_box026_20231023_139_p2_e106_clean	remote-gpu0	20231023	139	person2	1	box026	Box026	box/box026_m.obj	box026_person2	112.882	0.8983	0.9153	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231023_139_box026/raw_contact_proxy.npz
21	27	candidate_executable	E106B21_box026_20231020_133_p2_ref_fk_clean	e091_box026_20231020_133_p2	e091_box026_20231020_133_p2_e106_clean	remote-gpu1	20231020	133	person2	1	box026	Box026	box/box026_m.obj	box026_person2	109.635	0.8537	0.878	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_133_box026/raw_contact_proxy.npz
22	28	candidate_executable	E106B22_box026_20231020_135_p1_ref_fk_clean	e091_box026_20231020_135_p1	e091_box026_20231020_135_p1_e106_clean	remote-gpu1	20231020	135	person1	0	box026	Box026	box/box026_m.obj	box026_person1	108.959	0.875	1.0	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_135_box026/raw_contact_proxy.npz
23	30	candidate_executable	E106B23_box026_20231020_133_p1_ref_fk_clean	e091_box026_20231020_133_p1	e091_box026_20231020_133_p1_e106_clean	remote-gpu1	20231020	133	person1	0	box026	Box026	box/box026_m.obj	box026_person1	90.853	0.6585	0.6829	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231020_133_box026/raw_contact_proxy.npz
24	32	candidate_executable	E106B24_box026_20231018_042_p1_ref_fk_clean	e091_box026_20231018_042_p1	e091_box026_20231018_042_p1_e106_clean	remote-gpu1	20231018	042	person1	0	box026	Box026	box/box026_m.obj	box026_person1	85.400	0.64	0.76	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_042_box026/raw_contact_proxy.npz
25	35	candidate_executable	E106B25_box026_20231018_039_p1_ref_fk_clean	e091_box026_20231018_039_p1	e091_box026_20231018_039_p1_e106_clean	remote-gpu1	20231018	039	person1	0	box026	Box026	box/box026_m.obj	box026_person1	78.734	0.48	0.5467	workspace/core4d/results/E104/d002_medium_box_multithreshold/per_sequence/20231018_039_box026/raw_contact_proxy.npz
