# E106 runnable variants generated from candidates.tsv
# ordinal	variant	source_task	derived_task	person_idx	split	e104_rank	e104_route	score	source_scene_task
1	E106B01_box026_20231018_039_p2_ref_fk_clean	e091_box026_20231018_039_p2	e091_box026_20231018_039_p2_e106_clean	1	local-gpu0	1	candidate_legacy_risk_needs_visual	168.000	box026_person2
2	E106B02_box026_20231020_135_p2_ref_fk_clean	e091_box026_20231020_135_p2	e091_box026_20231020_135_p2_e106_clean	1	local-gpu0	2	candidate_legacy_risk_needs_visual	145.000	box026_person2
3	E106B03_box026_20231018_041_p2_ref_fk_clean	e091_box026_20231018_041_p2	e091_box026_20231018_041_p2_e106_clean	1	local-gpu0	3	candidate_executable	130.000	box026_person2
4	E106B04_box026_20231018_044_p2_ref_fk_clean	e091_box026_20231018_044_p2	e091_box026_20231018_044_p2_e106_clean	1	local-gpu0	4	candidate_executable	130.000	box026_person2
5	E106B05_box026_20231020_134_p1_ref_fk_clean	e091_box026_20231020_134_p1	e091_box026_20231020_134_p1_e106_clean	0	local-gpu0	5	candidate_executable	130.000	box026_person1
6	E106B06_box026_20231020_134_p2_ref_fk_clean	e091_box026_20231020_134_p2	e091_box026_20231020_134_p2_e106_clean	1	local-gpu0	6	candidate_executable	130.000	box026_person2
7	E106B07_box026_20231020_137_p1_ref_fk_clean	e091_box026_20231020_137_p1	e091_box026_20231020_137_p1_e106_clean	0	local-gpu0	7	candidate_executable	130.000	box026_person1
9	E106B09_box026_20231020_138_p1_ref_fk_clean	e091_box026_20231020_138_p1	e091_box026_20231020_138_p1_e106_clean	0	local-gpu0	9	candidate_executable	130.000	box026_person1
10	E106B10_box026_20231020_138_p2_ref_fk_clean	e091_box026_20231020_138_p2	e091_box026_20231020_138_p2_e106_clean	1	local-gpu0	10	candidate_executable	130.000	box026_person2
11	E106B11_box026_20231020_139_p1_ref_fk_clean	e091_box026_20231020_139_p1	e091_box026_20231020_139_p1_e106_clean	0	remote-gpu0	11	candidate_executable	130.000	box026_person1
12	E106B12_box026_20231020_139_p2_ref_fk_clean	e091_box026_20231020_139_p2	e091_box026_20231020_139_p2_e106_clean	1	remote-gpu0	12	candidate_executable	130.000	box026_person2
13	E106B13_box026_20231023_138_p1_ref_fk_clean	e091_box026_20231023_138_p1	e091_box026_20231023_138_p1_e106_clean	0	remote-gpu0	13	candidate_executable	130.000	box026_person1
14	E106B14_box026_20231023_139_p1_ref_fk_clean	e091_box026_20231023_139_p1	e091_box026_20231023_139_p1_e106_clean	0	remote-gpu0	14	candidate_executable	130.000	box026_person1
15	E106B15_box026_20231023_137_p1_ref_fk_clean	e091_box026_20231023_137_p1	e091_box026_20231023_137_p1_e106_clean	0	remote-gpu0	18	candidate_executable	128.516	box026_person1
17	E106B17_box026_20231018_042_p2_ref_fk_clean	e091_box026_20231018_042_p2	e091_box026_20231018_042_p2_e106_clean	1	remote-gpu0	20	candidate_executable	127.000	box026_person2
18	E106B18_box026_20231018_038_p2_ref_fk_clean	e091_box026_20231018_038_p2	e091_box026_20231018_038_p2_e106_clean	1	remote-gpu0	23	candidate_executable	117.614	box026_person2
19	E106B19_box026_20231020_141_p2_ref_fk_clean	e091_box026_20231020_141_p2	e091_box026_20231020_141_p2_e106_clean	1	remote-gpu0	24	candidate_executable	113.847	box026_person2
20	E106B20_box026_20231023_139_p2_ref_fk_clean	e091_box026_20231023_139_p2	e091_box026_20231023_139_p2_e106_clean	1	remote-gpu0	25	candidate_executable	112.882	box026_person2
21	E106B21_box026_20231020_133_p2_ref_fk_clean	e091_box026_20231020_133_p2	e091_box026_20231020_133_p2_e106_clean	1	remote-gpu1	27	candidate_executable	109.635	box026_person2
22	E106B22_box026_20231020_135_p1_ref_fk_clean	e091_box026_20231020_135_p1	e091_box026_20231020_135_p1_e106_clean	0	remote-gpu1	28	candidate_executable	108.959	box026_person1
23	E106B23_box026_20231020_133_p1_ref_fk_clean	e091_box026_20231020_133_p1	e091_box026_20231020_133_p1_e106_clean	0	remote-gpu1	30	candidate_executable	90.853	box026_person1
24	E106B24_box026_20231018_042_p1_ref_fk_clean	e091_box026_20231018_042_p1	e091_box026_20231018_042_p1_e106_clean	0	remote-gpu1	32	candidate_executable	85.400	box026_person1
25	E106B25_box026_20231018_039_p1_ref_fk_clean	e091_box026_20231018_039_p1	e091_box026_20231018_039_p1_e106_clean	0	remote-gpu1	35	candidate_executable	78.734	box026_person1
26	E106B26_box026_20231023_141_p2_ref_fk_clean	e091_box026_20231023_141_p2	e091_box026_20231023_141_p2_e106_clean	1	remote-gpu1	36	candidate_executable	71.172	box026_person2
27	E106B27_box026_20231020_141_p1_ref_fk_clean	e091_box026_20231020_141_p1	e091_box026_20231020_141_p1_e106_clean	0	remote-gpu1	37	candidate_executable	70.385	box026_person1
28	E106B28_box026_20231018_038_p1_ref_fk_clean	e091_box026_20231018_038_p1	e091_box026_20231018_038_p1_e106_clean	0	remote-gpu1	39	candidate_executable	68.231	box026_person1
29	E106B29_box026_20231018_043_p1_ref_fk_clean	e091_box026_20231018_043_p1	e091_box026_20231018_043_p1_e106_clean	0	remote-gpu1	40	candidate_executable	68.158	box026_person1
30	E106B30_box026_20231018_044_p1_ref_fk_clean	e091_box026_20231018_044_p1	e091_box026_20231018_044_p1_e106_clean	0	remote-gpu1	41	candidate_executable	67.900	box026_person1
