# E115 lower-body-aware contact diagnostic variants
# ordinal	variant	source_task	derived_task	person_idx	split	case_id	e109_case_id	object_key	ablation	mask_path	source_override	baseline_npz_path	e113_hold_npz_path	e113_hold_video_path	phase_scope	diagnostic_queue	holdout_reason
1	E115_box021_029_p2_leg_penalty_s2	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	remote-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	leg_penalty_s2	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_lowerbody_aware	lowerbody_aware_contact	
2	E115_box021_029_p2_leg_penalty_s4	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	remote-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	leg_penalty_s4	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_lowerbody_aware	lowerbody_aware_contact	
3	E115_box021_029_p2_leg_penalty_s2_contact_gain8	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	remote-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	leg_penalty_s2_contact_gain8	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_lowerbody_aware	lowerbody_aware_contact	
4	E115_box021_035_p2_leg_penalty_s2	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu1	box021_035_p2	d003_box021_20231011_035_p2	box021	leg_penalty_s2	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
5	E115_box021_035_p2_leg_penalty_s4	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu1	box021_035_p2	d003_box021_20231011_035_p2	box021	leg_penalty_s4	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
6	E115_box021_035_p2_leg_penalty_s2_contact_gain8	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu1	box021_035_p2	d003_box021_20231011_035_p2	box021	leg_penalty_s2_contact_gain8	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
7	E115_box021_035_p1_leg_penalty_s2	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	leg_penalty_s2	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
8	E115_box021_035_p1_leg_penalty_s4	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	leg_penalty_s4	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
9	E115_box021_035_p1_leg_penalty_s2_contact_gain8	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	leg_penalty_s2_contact_gain8	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
10	E115_box004_082_p1_leg_penalty_s2	e091_box004_20231003_2_082_p1	e091_box004_20231003_2_082_p1_e096b_mask_cem	0	local-gpu0	box004_082_p1	e091_box004_20231003_2_082_p1	box004	leg_penalty_s2	workspace/core4d/results/E096b/contact_masks/e091_box004_20231003_2_082_p1/raw_contact_mask_3cm.npz	core4d_E113_box004_082_p1_hold_band	workspace/core4d/results/E096b/cem/full/E096bP2_box004_082_p1_mask_cem.npz	workspace/core4d/results/E113/cem/full/E113_box004_082_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box004_082_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
