# E122 snap warmstart variants
# ordinal	variant	source_task	derived_task	person_idx	split	case_id	e109_case_id	object_key	ablation	base_e121_variant	base_e121_override	warmstart_path	warmstart_mask_start	warmstart_mask_end	mask_path	source_override	baseline_npz_path	e113_hold_npz_path	e113_hold_video_path	phase_scope	diagnostic_queue	holdout_reason
1	E122_box021_029_p2_snap_support	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	local-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	snap_support	E121_box021_029_p2_terminal_soft_surface	core4d_E121_box021_029_p2_terminal_soft_surface	workspace/core4d/results/E122/warmstarts/box021_029_p2_snap_carry_warmstart_qpos.npz	8	70	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_upright_carry	lowerbody_aware_contact	
2	E122_box021_029_p2_snap_terminal_soft	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	local-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	snap_terminal_soft	E121_box021_029_p2_terminal_soft_surface	core4d_E121_box021_029_p2_terminal_soft_surface	workspace/core4d/results/E122/warmstarts/box021_029_p2_snap_carry_warmstart_qpos.npz	8	70	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_upright_carry	lowerbody_aware_contact	
3	E122_box021_029_p2_snap_hard_surface	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2_e107_clean	1	local-gpu0	box021_029_p2	d003_box021_20231018_029_p2	box021	snap_hard_surface	E121_box021_029_p2_terminal_hard_surface	core4d_E121_box021_029_p2_terminal_hard_surface	workspace/core4d/results/E122/warmstarts/box021_029_p2_snap_carry_warmstart_qpos.npz	8	70	workspace/core4d/results/E082/contact_masks/d003_box021_20231018_029_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_029_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C04_box021_20231018_029_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_029_p2_hold_band_full.mp4	main_upright_carry	lowerbody_aware_contact	
4	E122_box021_035_p2_snap_support	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu0	box021_035_p2	d003_box021_20231011_035_p2	box021	snap_support	E121_box021_035_p2_terminal_soft_surface	core4d_E121_box021_035_p2_terminal_soft_surface	workspace/core4d/results/E122/warmstarts/box021_035_p2_snap_carry_warmstart_qpos.npz	9	119	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
5	E122_box021_035_p2_snap_terminal_soft	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu0	box021_035_p2	d003_box021_20231011_035_p2	box021	snap_terminal_soft	E121_box021_035_p2_terminal_soft_surface	core4d_E121_box021_035_p2_terminal_soft_surface	workspace/core4d/results/E122/warmstarts/box021_035_p2_snap_carry_warmstart_qpos.npz	9	119	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
6	E122_box021_035_p2_snap_hard_surface	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2_e107_clean	1	remote-gpu0	box021_035_p2	d003_box021_20231011_035_p2	box021	snap_hard_surface	E121_box021_035_p2_terminal_hard_surface	core4d_E121_box021_035_p2_terminal_hard_surface	workspace/core4d/results/E122/warmstarts/box021_035_p2_snap_carry_warmstart_qpos.npz	9	119	workspace/core4d/results/E082/contact_masks/d003_box021_20231011_035_p2/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p2_hold_band	workspace/core4d/results/E107/cem/full/E107C03_box021_20231011_035_p2_ref_fk_clean_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p2_hold_band_full.mp4	companion_lowerbody_repair	lowerbody_repair	
7	E122_box021_035_p1_snap_support	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	snap_support	E121_box021_035_p1_terminal_soft_surface	core4d_E121_box021_035_p1_terminal_soft_surface	workspace/core4d/results/E122/warmstarts/box021_035_p1_snap_carry_warmstart_qpos.npz	15	113	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
8	E122_box021_035_p1_snap_terminal_soft	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	snap_terminal_soft	E121_box021_035_p1_terminal_soft_surface	core4d_E121_box021_035_p1_terminal_soft_surface	workspace/core4d/results/E122/warmstarts/box021_035_p1_snap_carry_warmstart_qpos.npz	15	113	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
9	E122_box021_035_p1_snap_hard_surface	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1_e107_clean	0	remote-gpu1	box021_035_p1	d003_box021_20231011_035_p1	box021	snap_hard_surface	E121_box021_035_p1_terminal_hard_surface	core4d_E121_box021_035_p1_terminal_hard_surface	workspace/core4d/results/E122/warmstarts/box021_035_p1_snap_carry_warmstart_qpos.npz	15	113	workspace/core4d/results/E079/contact_masks/box021_person1/raw_contact_mask_3cm.npz	core4d_E113_box021_035_p1_hold_band	workspace/core4d/results/E107/cem/full/E107C02_box021_20231011_035_p1_ref_fk_clean.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box021_035_p1_hold_band_full.mp4	strict_guard	strict_contact_margin	
10	E122_box004_083_p2_snap_support	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2_e092_dyn	1	local-gpu0	box004_083_p2	e091_box004_20231003_2_083_p2	box004	snap_support	E121_box004_083_p2_terminal_soft_surface	core4d_E121_box004_083_p2_terminal_soft_surface	workspace/core4d/results/E122/warmstarts/box004_083_p2_snap_carry_warmstart_qpos.npz	19	88	workspace/core4d/results/E113/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	core4d_E113_box004_083_p2_hold_band	workspace/core4d/results/E092/spider_dyn/full/E092D1_box004_083_p2_dyn.npz	workspace/core4d/results/E113/cem/full/E113_box004_083_p2_hold_band_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E113/cem/full/E113_box004_083_p2_hold_band_full.mp4	box004_contact_guard	strict_contact_margin	
