ordinal	variant	short_case_id	method	method_group	e148_variant	e109_case_id	case_id	object_key	object_category	person_idx	split	run_status	source_exp	target_variant_id	target_npz	target_clean_max_diff_m	target_clean_selected	hand_support_scale	hand_collision_variant_id	derived_task	target_scene	trajectory	base_scene_act	rubber_scene_act	scene_name	override	object_asset	mask_path	baseline_variant	baseline_npz	baseline_outdir_npz	baseline_video	result_npz	outdir_npz	video	expected_quality	remote_sync_key
1	E151_box021_029_p2_baseline	box021_029_p2	baseline	baseline	E148_box021_029_p2_rubber_hull	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	reuse	reuse_e148	E148	baseline				0.0	rubber_hull	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E148_box021_029_p2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E151_box021_029_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
2	E151_box021_029_p2_b2_sup	box021_029_p2	b2_sup	B2	E148_box021_029_p2_rubber_hull	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	local-gpu0	to_run	E151	b2_sup	workspace/core4d/results/E151/route_b_hand_surface_contact/target_clean_check/E094_clean/targets/box021_d003_029_p2_d003_box021_20231018_029_p2_e107_clean_adaptive_support_targets.npz	0.32804780	clean	0.0	rubber_hull	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E151_box021_029_p2_b2_sup.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E151_box021_029_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b2_sup.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b2_sup_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b2_sup_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
3	E151_box021_029_p2_b2_tip	box021_029_p2	b2_tip	B2	E148_box021_029_p2_rubber_hull	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	local-gpu0	to_run	E151	b2_tip	workspace/core4d/results/E151/route_b_hand_surface_contact/target_clean_check/E100_clean/d003_box021_20231018_029_p2/spider_contact_target_object_local.npz	0.06922875	clean	0.0	rubber_hull	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E151_box021_029_p2_b2_tip.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E151_box021_029_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b2_tip.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b2_tip_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b2_tip_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
4	E151_box021_029_p2_b1_mesh	box021_029_p2	b1_mesh	B1	E148_box021_029_p2_rubber_hull	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	local-gpu0	to_run	E151	b1_mesh				3.0	rubber_hull	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E151_box021_029_p2_b1_mesh.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E151_box021_029_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box021_029_p2_b1_mesh_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
5	E151_box004_083_p2_baseline	box004_083_p2	baseline	baseline	E148_box004_083_p2_rubber_hull	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	reuse	reuse_e148	E148	baseline				0.0	rubber_hull	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E148_box004_083_p2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E151_box004_083_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
6	E151_box004_083_p2_b2_sup	box004_083_p2	b2_sup	B2	E148_box004_083_p2_rubber_hull	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	remote-gpu0	to_run	E151	b2_sup	workspace/core4d/results/E094/handbox_target_projection/targets/box004_083_p2_e091_box004_20231003_2_083_p2_adaptive_support_targets.npz		old	0.0	rubber_hull	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E151_box004_083_p2_b2_sup.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E151_box004_083_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b2_sup.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b2_sup_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b2_sup_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
7	E151_box004_083_p2_b2_tip	box004_083_p2	b2_tip	B2	E148_box004_083_p2_rubber_hull	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	remote-gpu0	to_run	E151	b2_tip	workspace/core4d/results/E100/fingertip_targets/e091_box004_20231003_2_083_p2/spider_contact_target_object_local.npz		old	0.0	rubber_hull	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E151_box004_083_p2_b2_tip.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E151_box004_083_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b2_tip.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b2_tip_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b2_tip_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
8	E151_box004_083_p2_b1_mesh	box004_083_p2	b1_mesh	B1	E148_box004_083_p2_rubber_hull	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	remote-gpu0	to_run	E151	b1_mesh				3.0	rubber_hull	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E151_box004_083_p2_b1_mesh.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E151_box004_083_p2_baseline	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box004_083_p2_b1_mesh_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
9	E151_box023_person2_baseline	box023_person2	baseline	baseline	E148_box023_person2_rubber_hull	box023_person2	box023_person2	box023	box	1	reuse	reuse_e148	E147	baseline				0.0	rubber_hull	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E147_box023_person2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	E151_box023_person2_baseline	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	review	humanoid_object/box023_person2_legobj_e026_e081
10	E151_box023_person2_b2_sup	box023_person2	b2_sup	B2	E148_box023_person2_rubber_hull	box023_person2	box023_person2	box023	box	1	remote-gpu1	to_run	E151	b2_sup	workspace/core4d/results/E094/handbox_target_projection/targets/box023_p2_box023_person2_adaptive_support_targets.npz		old	0.0	rubber_hull	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E151_box023_person2_b2_sup.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	E151_box023_person2_baseline	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b2_sup.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b2_sup_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E151/route_b_hand_surface_contact/cem/full/E151_box023_person2_b2_sup_full.mp4	review	humanoid_object/box023_person2_legobj_e026_e081
