ordinal	variant	short_case_id	method	method_display	method_group	run_status	source_exp	split	e148_variant	e143_variant	e109_case_id	case_id	object_key	object_category	person_idx	derived_task	target_scene	trajectory	base_scene_act	rubber_scene_act	scene_name	override	object_asset	mask_path	baseline_variant	baseline_npz	baseline_outdir_npz	baseline_video	cem_hand_gate_min_sdf_m	cem_hand_gate_max_violation_pct	cem_hand_gate_hard_floor_m	hand_support_scale	contact_hdmi_mask_carry_union	hand_support_decay_frac	result_npz	outdir_npz	video	expected_quality	remote_sync_key
1	E156_box021_035_p1_spider_rubberhand	box021_035_p1	spider-rubberhand	spider-rubberhand	baseline	reuse_e148	E147	reuse	E148_box021_035_p1_rubber_hull	E143_box021_035_p1_raw_mask_ref_fk	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1	box021	box	0	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E147_d003_box021_20231011_035_p1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	E156_box021_035_p1_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_full.mp4				0.0	false	0.0	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_full.mp4	review	humanoid_object/d003_box021_20231011_035_p1_e107_clean
2	E156_box021_035_p1_gateA	box021_035_p1	+gateA	+gateA	gateA	to_run	E156	local-gpu0	E148_box021_035_p1_rubber_hull	E143_box021_035_p1_raw_mask_ref_fk	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1	box021	box	0	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E156_box021_035_p1_gateA.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	E156_box021_035_p1_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	0.0	false	0.0	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p1_gateA.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p1_gateA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p1_gateA_full.mp4	review	humanoid_object/d003_box021_20231011_035_p1_e107_clean
3	E156_box021_035_p1_decay	box021_035_p1	E155_decay	E155_decay	decay	to_run	E156	local-gpu0	E148_box021_035_p1_rubber_hull	E143_box021_035_p1_raw_mask_ref_fk	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1	box021	box	0	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E156_box021_035_p1_decay.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	E156_box021_035_p1_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	3.0	true	0.15	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p1_decay.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p1_decay_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p1_decay_full.mp4	review	humanoid_object/d003_box021_20231011_035_p1_e107_clean
4	E156_box021_035_p2_spider_rubberhand	box021_035_p2	spider-rubberhand	spider-rubberhand	baseline	reuse_e148	E147	reuse	E148_box021_035_p2_rubber_hull	E143_box021_035_p2_raw_mask_ref_fk	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E147_d003_box021_20231011_035_p2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	E156_box021_035_p2_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_full.mp4				0.0	false	0.0	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_full.mp4	review	humanoid_object/d003_box021_20231011_035_p2_e107_clean
5	E156_box021_035_p2_gateA	box021_035_p2	+gateA	+gateA	gateA	to_run	E156	local-gpu0	E148_box021_035_p2_rubber_hull	E143_box021_035_p2_raw_mask_ref_fk	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E156_box021_035_p2_gateA.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	E156_box021_035_p2_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	0.0	false	0.0	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p2_gateA.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p2_gateA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p2_gateA_full.mp4	review	humanoid_object/d003_box021_20231011_035_p2_e107_clean
6	E156_box021_035_p2_decay	box021_035_p2	E155_decay	E155_decay	decay	to_run	E156	local-gpu0	E148_box021_035_p2_rubber_hull	E143_box021_035_p2_raw_mask_ref_fk	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E156_box021_035_p2_decay.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	E156_box021_035_p2_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	3.0	true	0.15	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p2_decay.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p2_decay_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_035_p2_decay_full.mp4	review	humanoid_object/d003_box021_20231011_035_p2_e107_clean
7	E156_box021_029_p2_spider_rubberhand	box021_029_p2	spider-rubberhand	spider-rubberhand	baseline	reuse_e148	E148	reuse	E148_box021_029_p2_rubber_hull	E143_box021_029_p2_raw_mask_ref_fk	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E148_box021_029_p2_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E156_box021_029_p2_spider_rubberhand	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4				0.0	false	0.0	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
8	E156_box021_029_p2_gateA	box021_029_p2	+gateA	+gateA	gateA	to_run	E156	local-gpu0	E148_box021_029_p2_rubber_hull	E143_box021_029_p2_raw_mask_ref_fk	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E156_box021_029_p2_gateA.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E156_box021_029_p2_spider_rubberhand	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	0.0	false	0.0	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_029_p2_gateA.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_029_p2_gateA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E156/clean8_gate_decay/cem/full/E156_box021_029_p2_gateA_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
9	E156_box021_029_p2_decay	box021_029_p2	E155_decay	E155_decay	decay	reuse_e155	E155	reuse	E148_box021_029_p2_rubber_hull	E143_box021_029_p2_raw_mask_ref_fk	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	E155_reuse_runtime_cli	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E156_box021_029_p2_spider_rubberhand	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	3.0	true	0.15	workspace/core4d/results/E155/cem/full/E155_box021_029_p2_decay.npz	workspace/core4d/results/E155/cem/full/E155_box021_029_p2_decay_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E155/cem/full/E155_box021_029_p2_decay_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
10	E156_box004_083_p1_spider_rubberhand	box004_083_p1	spider-rubberhand	spider-rubberhand	baseline	reuse_e148	E147	reuse	E148_box004_083_p1_rubber_hull	E143_box004_083_p1_raw_mask_ref_fk	e091_box004_20231003_2_083_p1	e091_box004_20231003_2_083_p1	box004	box	0	e091_box004_20231003_2_083_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E147_e091_box004_20231003_2_083_p1_rubber_hull.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p1/raw_contact_mask_3cm.npz	E156_box004_083_p1_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_full.mp4				0.0	false	0.0	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem
