ordinal	variant	short_case_id	method	method_display	method_group	run_status	source_exp	split	e156_gate_variant	e148_variant	e143_variant	e109_case_id	case_id	object_key	object_category	person_idx	derived_task	target_scene	trajectory	base_scene_act	rubber_scene_act	scene_name	override	object_asset	mask_path	baseline_variant	baseline_npz	baseline_outdir_npz	baseline_video	cem_hand_gate_min_sdf_m	cem_hand_gate_max_violation_pct	cem_hand_gate_hard_floor_m	surface_band_rew_scale	surface_band_penalty_scale	surface_band_width_m	surface_band_min_sdf_m	surface_band_sigma	surface_band_penetration_tol_m	surface_band_gate_source	surface_band_decay_frac	cem_posture_gate_mean_z_err_m	cem_posture_gate_terminal_z_err_m	cem_posture_gate_max_z_drop_m	cem_posture_gate_terminal_frac	cem_posture_gate_min_valid_frac	cem_posture_gate_fallback_lambda	result_npz	outdir_npz	video	expected_quality	remote_sync_key
1	E161_box021_035_p1_postureRerankA	box021_035_p1	gateA+surfaceBand-A2+postureRerankA	gateA+surfaceBand-A2+postureRerankA	postureRerankA	to_run	E161	local-gpu0	E156_box021_035_p1_gateA	E148_box021_035_p1_rubber_hull	E143_box021_035_p1_raw_mask_ref_fk	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1	box021	box	0	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E161_box021_035_p1_postureRerankA.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	E156_box021_035_p1_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.000000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p1_postureRerankA.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p1_postureRerankA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p1_postureRerankA_full.mp4	review	humanoid_object/d003_box021_20231011_035_p1_e107_clean
2	E161_box021_035_p2_postureRerankA	box021_035_p2	gateA+surfaceBand-A2+postureRerankA	gateA+surfaceBand-A2+postureRerankA	postureRerankA	to_run	E161	remote-gpu0	E156_box021_035_p2_gateA	E148_box021_035_p2_rubber_hull	E143_box021_035_p2_raw_mask_ref_fk	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E161_box021_035_p2_postureRerankA.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	E156_box021_035_p2_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.000000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p2_postureRerankA.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p2_postureRerankA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p2_postureRerankA_full.mp4	review	humanoid_object/d003_box021_20231011_035_p2_e107_clean
3	E161_box021_029_p2_postureRerankA	box021_029_p2	gateA+surfaceBand-A2+postureRerankA	gateA+surfaceBand-A2+postureRerankA	postureRerankA	reuse_e160	E160	reuse	E156_box021_029_p2_gateA	E148_box021_029_p2_rubber_hull	E143_box021_029_p2_raw_mask_ref_fk	d003_box021_20231018_029_p2	d003_box021_20231018_029_p2	box021	box	1	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E161_box021_029_p2_postureRerankA.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	E156_box021_029_p2_spider_rubberhand	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box021_029_p2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.000000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box021_029_p2_gateA_postureRerankA.npz	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box021_029_p2_gateA_postureRerankA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box021_029_p2_gateA_postureRerankA_full.mp4	review	humanoid_object/d003_box021_20231018_029_p2_e107_clean
4	E161_box004_083_p1_postureRerankA	box004_083_p1	gateA+surfaceBand-A2+postureRerankA	gateA+surfaceBand-A2+postureRerankA	postureRerankA	to_run	E161	remote-gpu1	E156_box004_083_p1_gateA	E148_box004_083_p1_rubber_hull	E143_box004_083_p1_raw_mask_ref_fk	e091_box004_20231003_2_083_p1	e091_box004_20231003_2_083_p1	box004	box	0	e091_box004_20231003_2_083_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E161_box004_083_p1_postureRerankA.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p1/raw_contact_mask_3cm.npz	E156_box004_083_p1_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.000000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box004_083_p1_postureRerankA.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box004_083_p1_postureRerankA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box004_083_p1_postureRerankA_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem
5	E161_box004_083_p2_postureRerankA	box004_083_p2	gateA+surfaceBand-A2+postureRerankA	gateA+surfaceBand-A2+postureRerankA	postureRerankA	reuse_e160	E160	reuse	E156_box004_083_p2_gateA	E148_box004_083_p2_rubber_hull	E143_box004_083_p2_raw_mask_ref_fk	e091_box004_20231003_2_083_p2	e091_box004_20231003_2_083_p2	box004	box	1	e091_box004_20231003_2_083_p2_e092_dyn	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E161_box004_083_p2_postureRerankA.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_083_p2/raw_contact_mask_3cm.npz	E156_box004_083_p2_spider_rubberhand	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box004_083_p2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.000000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box004_083_p2_gateA_postureRerankA.npz	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box004_083_p2_gateA_postureRerankA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box004_083_p2_gateA_postureRerankA_full.mp4	review	humanoid_object/e091_box004_20231003_2_083_p2_e092_dyn
6	E161_box023_person2_postureRerankA	box023_person2	gateA+surfaceBand-A2+postureRerankA	gateA+surfaceBand-A2+postureRerankA	postureRerankA	reuse_e160	E160	reuse	E156_box023_person2_gateA	E148_box023_person2_rubber_hull	E143_box023_person2_raw_mask_ref_fk	box023_person2	box023_person2	box023	box	1	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E161_box023_person2_postureRerankA.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	E156_box023_person2_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.000000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box023_person2_gateA_postureRerankA.npz	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box023_person2_gateA_postureRerankA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E160/posture_rerank/cem/full/E160_box023_person2_gateA_postureRerankA_full.mp4	review	humanoid_object/box023_person2_legobj_e026_e081
7	E161_box004_082_p1_postureRerankA	box004_082_p1	gateA+surfaceBand-A2+postureRerankA	gateA+surfaceBand-A2+postureRerankA	postureRerankA	to_run	E161	local-gpu0	E156_box004_082_p1_gateA	E148_box004_082_p1_rubber_hull	E143_box004_082_p1_raw_mask_ref_fk	e091_box004_20231003_2_082_p1	e091_box004_20231003_2_082_p1	box004	box	0	e091_box004_20231003_2_082_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E161_box004_082_p1_postureRerankA.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	E156_box004_082_p1_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.000000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box004_082_p1_postureRerankA.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box004_082_p1_postureRerankA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box004_082_p1_postureRerankA_full.mp4	review	humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem
8	E161_box026_139_p1_postureRerankA	box026_139_p1	gateA+surfaceBand-A2+postureRerankA	gateA+surfaceBand-A2+postureRerankA	postureRerankA	to_run	E161	remote-gpu0	E156_box026_139_p1_gateA	E148_box026_139_p1_rubber_hull	E143_box026_139_p1_raw_mask_ref_fk	e091_box026_20231023_139_p1	e091_box026_20231023_139_p1	box026	box	0	e091_box026_20231023_139_p1_e106_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p1_e106_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p1_e106_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p1_e106_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231023_139_p1_e106_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E161_box026_139_p1_postureRerankA.yaml	example_datasets/processed/core4d/assets/objects/box026/box026_m.obj	workspace/core4d/results/E143/contact_masks/box026_139_p1/raw_contact_mask_3cm.npz	E156_box026_139_p1_spider_rubberhand	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box026_139_p1_rubber_hull.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box026_139_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E148/e143_24case_rubber_hand_collision/cem/full/E148_box026_139_p1_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.000000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box026_139_p1_postureRerankA.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box026_139_p1_postureRerankA_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box026_139_p1_postureRerankA_full.mp4	review	humanoid_object/e091_box026_20231023_139_p1_e106_clean
9	E161_box021_035_p1_releaseDecay	box021_035_p1	gateA+surfaceBand-A2+postureRerankA+surfaceBandReleaseDecay	gateA+surfaceBand-A2+postureRerankA+surfaceBandReleaseDecay	releaseDecay	to_run	E161	remote-gpu0	E156_box021_035_p1_gateA	E148_box021_035_p1_rubber_hull	E143_box021_035_p1_raw_mask_ref_fk	d003_box021_20231011_035_p1	d003_box021_20231011_035_p1	box021	box	0	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E161_box021_035_p1_releaseDecay.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	E156_box021_035_p1_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.150000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p1_releaseDecay.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p1_releaseDecay_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p1_releaseDecay_full.mp4	review	humanoid_object/d003_box021_20231011_035_p1_e107_clean
10	E161_box021_035_p2_releaseDecay	box021_035_p2	gateA+surfaceBand-A2+postureRerankA+surfaceBandReleaseDecay	gateA+surfaceBand-A2+postureRerankA+surfaceBandReleaseDecay	releaseDecay	to_run	E161	remote-gpu1	E156_box021_035_p2_gateA	E148_box021_035_p2_rubber_hull	E143_box021_035_p2_raw_mask_ref_fk	d003_box021_20231011_035_p2	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E161_box021_035_p2_releaseDecay.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	E156_box021_035_p2_spider_rubberhand	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_full.mp4	-0.010000	0.100000	-0.020000	1.500000	0.000000	0.030000	-0.001000	0.015000	0.003000	contact_mask	0.150000	0.100000	0.120000	0.180000	0.150000	0.050000	5.000000	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p2_releaseDecay.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p2_releaseDecay_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E161/surface_release_ablation/cem/full/E161_box021_035_p2_releaseDecay_full.mp4	review	humanoid_object/d003_box021_20231011_035_p2_e107_clean
