ordinal	row_id	manifest_exp_id	source_exp_id	source_method_id	canonical_method_id	method_display	case_id	short_case_id	variant	qpos_path	scene_xml	video_path	contact_mask_path	kin_ref_path	person_idx	hand_collision_variant_id	object_key	object_category	expected_quality	baseline_method_id	baseline_source_exp_id	baseline_variant	baseline_qpos_path	baseline_scene_xml	baseline_contact_mask_path	baseline_kin_ref_path	baseline_status	row_status	notes
1	E162_0001_E147_spider_rubberhand_box004_083_p1	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	e091_box004_20231003_2_083_p1	box004_083_p1	E147_e091_box004_20231003_2_083_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box004_083_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/0/trajectory_kinematic.npz	0	rubber_hull	box004	box	pass	E147_spider_rubberhand	E147	E147_e091_box004_20231003_2_083_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_083_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box004_083_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_083_p1_e096b_mask_cem/0/trajectory_kinematic.npz	ok	ok	
2	E162_0002_E147_spider_rubberhand_box004_082_p1	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	e091_box004_20231003_2_082_p1	box004_082_p1	E147_e091_box004_20231003_2_082_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	0	rubber_hull	box004	box	pass	E147_spider_rubberhand	E147	E147_e091_box004_20231003_2_082_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box004_20231003_2_082_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	ok	ok	
3	E162_0003_E147_spider_rubberhand_box021_035_p1	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	d003_box021_20231011_035_p1	box021_035_p1	E147_d003_box021_20231011_035_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	0	rubber_hull	box021	box	pass	E147_spider_rubberhand	E147	E147_d003_box021_20231011_035_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	ok	ok	
4	E162_0004_E147_spider_rubberhand_box021_035_p2	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	d003_box021_20231011_035_p2	box021_035_p2	E147_d003_box021_20231011_035_p2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	1	rubber_hull	box021	box	fail	E147_spider_rubberhand	E147	E147_d003_box021_20231011_035_p2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_d003_box021_20231011_035_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	ok	ok	
5	E162_0005_E147_spider_rubberhand_box023_person2	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	box023_person2	box023_person2	E147_box023_person2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	1	rubber_hull	box023	box	pass	E147_spider_rubberhand	E147	E147_box023_person2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	ok	ok	
6	E162_0006_E147_spider_rubberhand_box023_person1	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	box023_person1	box023_person1	E147_box023_person1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box023_person1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/0/trajectory_kinematic.npz	0	rubber_hull	box023	box	fail	E147_spider_rubberhand	E147	E147_box023_person1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_box023_person1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box023_person1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person1/0/trajectory_kinematic.npz	missing_e147_contact_mask	missing_contact_mask	
7	E162_0007_E147_spider_rubberhand_box026_134_p1	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	e091_box026_20231020_134_p1	box026_134_p1	E147_e091_box026_20231020_134_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box026_20231020_134_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box026_20231020_134_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box026_134_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/0/trajectory_kinematic.npz	0	rubber_hull	box026	box	pass	E147_spider_rubberhand	E147	E147_e091_box026_20231020_134_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box026_20231020_134_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box026_134_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p1_e106_clean/0/trajectory_kinematic.npz	ok	ok	
8	E162_0008_E147_spider_rubberhand_box026_134_p2	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	e091_box026_20231020_134_p2	box026_134_p2	E147_e091_box026_20231020_134_p2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box026_20231020_134_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box026_20231020_134_p2_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/box026_134_p2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/0/trajectory_kinematic.npz	1	rubber_hull	box026	box	fail	E147_spider_rubberhand	E147	E147_e091_box026_20231020_134_p2_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_e091_box026_20231020_134_p2_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/box026_134_p2/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box026_20231020_134_p2_e106_clean/0/trajectory_kinematic.npz	ok	ok	
9	E162_0009_E147_spider_rubberhand_bucket004_20231003_1_012_p1	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	bucket004_20231003_1_012_p1	bucket004_20231003_1_012_p1	E147_bucket004_20231003_1_012_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231003_1_012_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231003_1_012_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/bucket004_20231003_1_012_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/0/trajectory_kinematic.npz	0	rubber_hull	bucket004	bucket	pass	E147_spider_rubberhand	E147	E147_bucket004_20231003_1_012_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231003_1_012_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/bucket004_20231003_1_012_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231003_1_012_p1/0/trajectory_kinematic.npz	ok	ok	
10	E162_0010_E147_spider_rubberhand_bucket004_20231002_021_p1	E147	E147	spider-rubberhand	E147_spider_rubberhand	spider-rubberhand	bucket004_20231002_021_p1	bucket004_20231002_021_p1	E147_bucket004_20231002_021_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231002_021_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231002_021_p1_rubber_hull_full.mp4	workspace/core4d/results/E143/contact_masks/bucket004_20231002_021_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/0/trajectory_kinematic.npz	0	rubber_hull	bucket004	bucket	fail	E147_spider_rubberhand	E147	E147_bucket004_20231002_021_p1_rubber_hull	workspace/core4d/results/E147/rubber_hand_collision/cem/full/E147_bucket004_20231002_021_p1_rubber_hull_outdir_full/trajectory_mjwp_act.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/scene_act_E147_rubber_hull.xml	workspace/core4d/results/E143/contact_masks/bucket004_20231002_021_p1/raw_contact_mask_3cm.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_bucket004_20231002_021_p1/0/trajectory_kinematic.npz	missing_e147_contact_mask	missing_contact_mask	
