ordinal	variant	short_case_id	arm	arm_kind	method	method_display	run_status	source_exp	split	base_e163_variant	case_id	object_key	object_category	person_idx	derived_task	target_scene	trajectory	base_scene_act	rubber_scene_act	scene_name	override	base_override	object_asset	mask_path	baseline_npz	baseline_outdir_npz	baseline_video	cem_smooth_enabled	cem_smooth_accel_weight	cem_smooth_jerk_weight	local_frame_ankle_weight	foot_slip_enabled	foot_slip_weight	foot_slip_contact_height_m	foot_ground_enabled	foot_ground_weight	b2_window	b2_polyorder	result_npz	outdir_npz	video	postprocess_source_npz	postprocess_output_npz	remote_sync_key
1	E166_box021_035_p2_baseline	box021_035_p2	baseline	reuse_e163	E163_narrowSurfaceBand	E163_narrowSurfaceBand	reuse_e163_full	E166	local-cpu	E163_box021_035_p2_narrowSurfaceBand	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull		examples/config/override/core4d_E163_box021_035_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_full.mp4	false	0.0	0.0	1.0	false	0.0	0.050000	false	0.0			workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_full.mp4			humanoid_object/d003_box021_20231011_035_p2_e107_clean
2	E166_box021_035_p2_B1	box021_035_p2	B1	cem	E166_B1_cemSmooth	E166_B1_cemSmooth	reuse_existing	E166	local-gpu0	E163_box021_035_p2_narrowSurfaceBand	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E166_box021_035_p2_B1.yaml	examples/config/override/core4d_E163_box021_035_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_full.mp4	true	0.00050000	0.00002000	1.0	false	0.0	0.050000	false	0.0			workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_B1.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_B1_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_B1_full.mp4			humanoid_object/d003_box021_20231011_035_p2_e107_clean
3	E166_box021_035_p2_B2	box021_035_p2	B2	postprocess	E166_B2_smoothHandoff	E166_B2_smoothHandoff	reuse_existing	E166	local-cpu	E163_box021_035_p2_narrowSurfaceBand	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull		examples/config/override/core4d_E163_box021_035_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_full.mp4	false	0.0	0.0	1.0	false	0.0	0.050000	false	0.0	7	2				workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E166/foot_smooth_retarget/postprocess/full/E166_box021_035_p2_B2.npz	humanoid_object/d003_box021_20231011_035_p2_e107_clean
4	E166_box021_035_p2_A	box021_035_p2	A	cem	E166_A_footConstraints	E166_A_footConstraints	reuse_existing	E166	local-gpu0	E163_box021_035_p2_narrowSurfaceBand	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E166_box021_035_p2_A.yaml	examples/config/override/core4d_E163_box021_035_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_full.mp4	false	0.0	0.0	2.000000	true	0.200000	0.050000	true	2.000000			workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_A.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_A_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_A_full.mp4			humanoid_object/d003_box021_20231011_035_p2_e107_clean
5	E166_box021_035_p2_A_B2_postSmooth	box021_035_p2	A_B2_postSmooth	postprocess	E166_A_then_B2_postSmooth	E166_A_then_B2_postSmooth	reuse_existing	E166	local-cpu	E163_box021_035_p2_narrowSurfaceBand	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull		examples/config/override/core4d_E163_box021_035_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_full.mp4	false	0.0	0.0	1.0	false	0.0	0.050000	false	0.0	7	2				workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_A.npz	workspace/core4d/results/E166/foot_smooth_retarget/postprocess/full/E166_box021_035_p2_A_B2_postSmooth.npz	humanoid_object/d003_box021_20231011_035_p2_e107_clean
6	E166_box021_035_p2_AplusB	box021_035_p2	AplusB	cem	E166_AplusB_footSmoothFull	E166_AplusB_footSmoothFull	reuse_existing	E166	local-gpu0	E163_box021_035_p2_narrowSurfaceBand	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E166_box021_035_p2_AplusB.yaml	examples/config/override/core4d_E163_box021_035_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_full.mp4	true	0.00050000	0.00002000	2.000000	true	0.200000	0.050000	true	2.000000			workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_AplusB.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_AplusB_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box021_035_p2_AplusB_full.mp4			humanoid_object/d003_box021_20231011_035_p2_e107_clean
7	E166_box004_082_p1_baseline	box004_082_p1	baseline	reuse_e163	E163_narrowSurfaceBand	E163_narrowSurfaceBand	reuse_e163_full	E166	local-cpu	E163_box004_082_p1_narrowSurfaceBand	e091_box004_20231003_2_082_p1	box004	box	0	e091_box004_20231003_2_082_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull		examples/config/override/core4d_E163_box004_082_p1_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_full.mp4	false	0.0	0.0	1.0	false	0.0	0.050000	false	0.0			workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_full.mp4			humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem
8	E166_box004_082_p1_B1	box004_082_p1	B1	cem	E166_B1_cemSmooth	E166_B1_cemSmooth	reuse_existing	E166	remote-gpu0	E163_box004_082_p1_narrowSurfaceBand	e091_box004_20231003_2_082_p1	box004	box	0	e091_box004_20231003_2_082_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E166_box004_082_p1_B1.yaml	examples/config/override/core4d_E163_box004_082_p1_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_full.mp4	true	0.00050000	0.00002000	1.0	false	0.0	0.050000	false	0.0			workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box004_082_p1_B1.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box004_082_p1_B1_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box004_082_p1_B1_full.mp4			humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem
9	E166_box004_082_p1_B2	box004_082_p1	B2	postprocess	E166_B2_smoothHandoff	E166_B2_smoothHandoff	reuse_existing	E166	local-cpu	E163_box004_082_p1_narrowSurfaceBand	e091_box004_20231003_2_082_p1	box004	box	0	e091_box004_20231003_2_082_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull		examples/config/override/core4d_E163_box004_082_p1_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_full.mp4	false	0.0	0.0	1.0	false	0.0	0.050000	false	0.0	7	2				workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand.npz	workspace/core4d/results/E166/foot_smooth_retarget/postprocess/full/E166_box004_082_p1_B2.npz	humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem
10	E166_box004_082_p1_A	box004_082_p1	A	cem	E166_A_footConstraints	E166_A_footConstraints	reuse_existing	E166	remote-gpu0	E163_box004_082_p1_narrowSurfaceBand	e091_box004_20231003_2_082_p1	box004	box	0	e091_box004_20231003_2_082_p1_e096b_mask_cem	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E166_box004_082_p1_A.yaml	examples/config/override/core4d_E163_box004_082_p1_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box004/box004_m.obj	workspace/core4d/results/E143/contact_masks/box004_082_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box004_082_p1_narrowSurfaceBand_full.mp4	false	0.0	0.0	2.000000	true	0.200000	0.050000	true	2.000000			workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box004_082_p1_A.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box004_082_p1_A_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E166/foot_smooth_retarget/cem/full/E166_box004_082_p1_A_full.mp4			humanoid_object/e091_box004_20231003_2_082_p1_e096b_mask_cem
