ordinal	variant	short_case_id	arm	arm_kind	method	method_display	run_status	source_exp	split	base_e163_variant	case_id	object_key	object_category	person_idx	derived_task	target_scene	trajectory	base_scene_act	rubber_scene_act	scene_name	override	base_override	object_asset	mask_path	baseline_npz	baseline_outdir_npz	baseline_video	e167_body_z_enabled	e167_body_z_weight	e167_body_z_threshold_m	e167_ground_z_enabled	e167_ground_z_weight	e167_ground_contact_height_m	cem_smooth_enabled	cem_smooth_axis	cem_smooth_accel_weight	cem_smooth_jerk_weight	foot_slip_enabled	local_frame_ankle_weight	b2_window	b2_polyorder	result_npz	outdir_npz	video	postprocess_source_npz	postprocess_output_npz	remote_sync_key
1	E167_box023_person2_E167A	box023_person2	E167A	cem	E167A_zOnlyBody	E167A_zOnlyBody	reuse_existing	E167	remote-gpu1	E163_box023_person2_narrowSurfaceBand	box023_person2	box023	box	1	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E167_box023_person2_E167A.yaml	examples/config/override/core4d_E163_box023_person2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand_full.mp4	true	2.000000	0.250000	true	2.000000	0.050000	false		0.0	0.0	false	1.0			workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box023_person2_E167A.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box023_person2_E167A_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box023_person2_E167A_full.mp4			humanoid_object/box023_person2_legobj_e026_e081
2	E167_box023_person2_E167A_B1	box023_person2	E167A_B1	cem	E167A_plus_B1_zOnlyCemSmooth	E167A_plus_B1_zOnlyCemSmooth	reuse_existing	E167	remote-gpu1	E163_box023_person2_narrowSurfaceBand	box023_person2	box023	box	1	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E167_box023_person2_E167A_B1.yaml	examples/config/override/core4d_E163_box023_person2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand_full.mp4	true	2.000000	0.250000	true	2.000000	0.050000	true	z	0.00050000	0.00002000	false	1.0			workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box023_person2_E167A_B1.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box023_person2_E167A_B1_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box023_person2_E167A_B1_full.mp4			humanoid_object/box023_person2_legobj_e026_e081
3	E167_box023_person2_E167A_B2	box023_person2	E167A_B2	postprocess	E167A_plus_B2_zOnlyHandoffSmooth	E167A_plus_B2_zOnlyHandoffSmooth	reuse_existing	E167	local-cpu	E163_box023_person2_narrowSurfaceBand	box023_person2	box023	box	1	box023_person2_legobj	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/box023_person2_legobj/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull		examples/config/override/core4d_E163_box023_person2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box023/box023_m.obj	workspace/core4d/results/E143/contact_masks/box023_person2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box023_person2_narrowSurfaceBand_full.mp4	false			false			false		0.0	0.0	false	1.0	7	2				workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box023_person2_E167A.npz	workspace/core4d/results/E167/holosoma_zonly/postprocess/full/E167_box023_person2_E167A_B2.npz	humanoid_object/box023_person2_legobj_e026_e081
4	E167_box021_029_p2_E167A	box021_029_p2	E167A	cem	E167A_zOnlyBody	E167A_zOnlyBody	reuse_existing	E167	remote-gpu1	E163_box021_029_p2_narrowSurfaceBand	d003_box021_20231018_029_p2	box021	box	1	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E167_box021_029_p2_E167A.yaml	examples/config/override/core4d_E163_box021_029_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand_full.mp4	true	2.000000	0.250000	true	2.000000	0.050000	false		0.0	0.0	false	1.0			workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_029_p2_E167A.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_029_p2_E167A_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_029_p2_E167A_full.mp4			humanoid_object/d003_box021_20231018_029_p2_e107_clean
5	E167_box021_029_p2_E167A_B1	box021_029_p2	E167A_B1	cem	E167A_plus_B1_zOnlyCemSmooth	E167A_plus_B1_zOnlyCemSmooth	reuse_existing	E167	remote-gpu1	E163_box021_029_p2_narrowSurfaceBand	d003_box021_20231018_029_p2	box021	box	1	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull	examples/config/override/core4d_E167_box021_029_p2_E167A_B1.yaml	examples/config/override/core4d_E163_box021_029_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand_full.mp4	true	2.000000	0.250000	true	2.000000	0.050000	true	z	0.00050000	0.00002000	false	1.0			workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_029_p2_E167A_B1.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_029_p2_E167A_B1_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_029_p2_E167A_B1_full.mp4			humanoid_object/d003_box021_20231018_029_p2_e107_clean
6	E167_box021_029_p2_E167A_B2	box021_029_p2	E167A_B2	postprocess	E167A_plus_B2_zOnlyHandoffSmooth	E167A_plus_B2_zOnlyHandoffSmooth	reuse_existing	E167	local-cpu	E163_box021_029_p2_narrowSurfaceBand	d003_box021_20231018_029_p2	box021	box	1	d003_box021_20231018_029_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231018_029_p2_e107_clean/scene_act_E148_rubber_hull.xml	scene_act_E148_rubber_hull		examples/config/override/core4d_E163_box021_029_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_029_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_029_p2_narrowSurfaceBand_full.mp4	false			false			false		0.0	0.0	false	1.0	7	2				workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_029_p2_E167A.npz	workspace/core4d/results/E167/holosoma_zonly/postprocess/full/E167_box021_029_p2_E167A_B2.npz	humanoid_object/d003_box021_20231018_029_p2_e107_clean
7	E167_box021_035_p1_E167A	box021_035_p1	E167A	cem	E167A_zOnlyBody	E167A_zOnlyBody	reuse_existing	E167	local-gpu0	E163_box021_035_p1_narrowSurfaceBand	d003_box021_20231011_035_p1	box021	box	0	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E167_box021_035_p1_E167A.yaml	examples/config/override/core4d_E163_box021_035_p1_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand_full.mp4	true	2.000000	0.250000	true	2.000000	0.050000	false		0.0	0.0	false	1.0			workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p1_E167A.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p1_E167A_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p1_E167A_full.mp4			humanoid_object/d003_box021_20231011_035_p1_e107_clean
8	E167_box021_035_p1_E167A_B1	box021_035_p1	E167A_B1	cem	E167A_plus_B1_zOnlyCemSmooth	E167A_plus_B1_zOnlyCemSmooth	reuse_existing	E167	local-gpu0	E163_box021_035_p1_narrowSurfaceBand	d003_box021_20231011_035_p1	box021	box	0	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E167_box021_035_p1_E167A_B1.yaml	examples/config/override/core4d_E163_box021_035_p1_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand_full.mp4	true	2.000000	0.250000	true	2.000000	0.050000	true	z	0.00050000	0.00002000	false	1.0			workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p1_E167A_B1.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p1_E167A_B1_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p1_E167A_B1_full.mp4			humanoid_object/d003_box021_20231011_035_p1_e107_clean
9	E167_box021_035_p1_E167A_B2	box021_035_p1	E167A_B2	postprocess	E167A_plus_B2_zOnlyHandoffSmooth	E167A_plus_B2_zOnlyHandoffSmooth	reuse_existing	E167	local-cpu	E163_box021_035_p1_narrowSurfaceBand	d003_box021_20231011_035_p1	box021	box	0	d003_box021_20231011_035_p1_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p1_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull		examples/config/override/core4d_E163_box021_035_p1_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p1/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p1_narrowSurfaceBand_full.mp4	false			false			false		0.0	0.0	false	1.0	7	2				workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p1_E167A.npz	workspace/core4d/results/E167/holosoma_zonly/postprocess/full/E167_box021_035_p1_E167A_B2.npz	humanoid_object/d003_box021_20231011_035_p1_e107_clean
10	E167_box021_035_p2_E167A	box021_035_p2	E167A	cem	E167A_zOnlyBody	E167A_zOnlyBody	reuse_existing	E167	local-gpu0	E163_box021_035_p2_narrowSurfaceBand	d003_box021_20231011_035_p2	box021	box	1	d003_box021_20231011_035_p2_e107_clean	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/0/trajectory_kinematic.npz	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/d003_box021_20231011_035_p2_e107_clean/scene_act_E147_rubber_hull.xml	scene_act_E147_rubber_hull	examples/config/override/core4d_E167_box021_035_p2_E167A.yaml	examples/config/override/core4d_E163_box021_035_p2_narrowSurfaceBand.yaml	example_datasets/processed/core4d/assets/objects/box021/box021_m.obj	workspace/core4d/results/E143/contact_masks/box021_035_p2/raw_contact_mask_3cm.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E163/narrow_surface_band/cem/full/E163_box021_035_p2_narrowSurfaceBand_full.mp4	true	2.000000	0.250000	true	2.000000	0.050000	false		0.0	0.0	false	1.0			workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p2_E167A.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p2_E167A_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E167/holosoma_zonly/cem/full/E167_box021_035_p2_E167A_full.mp4			humanoid_object/d003_box021_20231011_035_p2_e107_clean
