ordinal	variant	case_id	sequence_key	source_person	object_key	analysis_role	cell_id	p_enabled	r_enabled	g_enabled	reused_baseline	target_task	target_scene	trajectory	trajectory_sha256	scene_act	scene_name	base_scene_sha256	effective_scene_sha256	contact_mask	contact_mask_sha256	contact_mask_label	retarget_variant_id	target_variant_id	hand_collision_variant_id	spider_method_id	override_id	override_path	override_sha256	config_audit_status	execution_mode	execution_decision	preferred_pool	assigned_gpu	gpu_id	status	failure_mode	result_npz	outdir_npz	config_act	video	log	updated_at
1	E169_box021_20231018_033_p1_B0	box021_20231018_033_p1	box021_20231018_033	person1	box021	failure	B0	false	false	false	true	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/0/trajectory_kinematic.npz	9152bdf8ea7ae0d2b12265dead9b310ef95f44535343e7e609d892c1f176b9ae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene_act_E168_rubber_hull.xml	scene_act_E168_rubber_hull	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/raw_contact_mask_3cm.npz	78c0862495ae0caf8cc9f33f9e308669d20d267ef881d7cda592b94d96bb874f	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	examples/config/override/core4d_dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1.yaml	3a5ce8d64e9e77491d0d34cebb5a1fa9425d132a747f2baeb17b1cb480f3d772	pass	reused	frozen_e168	a100	0	0	reused_complete		workspace/core4d/results/E168/s6_downstream/cem/full/E168_box021_20231018_033_p1_E167A.npz	workspace/core4d/results/E168/s6_downstream/cem/full/E168_box021_20231018_033_p1_E167A_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E168/s6_downstream/cem/full/E168_box021_20231018_033_p1_E167A_outdir_full/config_act.yaml	workspace/core4d/results/E168/s6_downstream/cem/full/E168_box021_20231018_033_p1_E167A_full.mp4	logs/E168/cem/full/E168_box021_20231018_033_p1_E167A.log	2026-07-18T03:21:20+08:00
2	E169_box021_20231018_033_p1_P	box021_20231018_033_p1	box021_20231018_033	person1	box021	failure	P	true	false	false	false	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/0/trajectory_kinematic.npz	9152bdf8ea7ae0d2b12265dead9b310ef95f44535343e7e609d892c1f176b9ae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene_act_E169_lowerbody_physics.xml	scene_act_E169_lowerbody_physics	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	bd653cdf2cda7c5f1577a628c213150ed9edba1ba301f99996a7ae4348535358	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/raw_contact_mask_3cm.npz	78c0862495ae0caf8cc9f33f9e308669d20d267ef881d7cda592b94d96bb874f	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_E169_box021_20231018_033_p1_P	examples/config/override/core4d_E169_box021_20231018_033_p1_P.yaml	a6f5ccc7d3238ece599f5c4af5a0bb86a473133a31a776eac342d4c0f2182fc1	pass	production	a100_user_allowlist_0_1_2_3	a100	0		not_run		workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_P.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_P_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_P_outdir_full/config_act.yaml	workspace/core4d/results/E169/render/full/E169_box021_20231018_033_p1_P_full.mp4	logs/E169/cem/full/E169_box021_20231018_033_p1_P.log	2026-07-18T03:21:20+08:00
3	E169_box021_20231018_033_p1_R	box021_20231018_033_p1	box021_20231018_033	person1	box021	failure	R	false	true	false	false	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/0/trajectory_kinematic.npz	9152bdf8ea7ae0d2b12265dead9b310ef95f44535343e7e609d892c1f176b9ae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene_act_E168_rubber_hull.xml	scene_act_E168_rubber_hull	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/raw_contact_mask_3cm.npz	78c0862495ae0caf8cc9f33f9e308669d20d267ef881d7cda592b94d96bb874f	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_E169_box021_20231018_033_p1_R	examples/config/override/core4d_E169_box021_20231018_033_p1_R.yaml	4d71fa55f1f448e20985999da71fdb67312ce5a6be253114a0cdd8be13f217b5	pass	production	a100_user_allowlist_0_1_2_3	a100	0		not_run		workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_R.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_R_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_R_outdir_full/config_act.yaml	workspace/core4d/results/E169/render/full/E169_box021_20231018_033_p1_R_full.mp4	logs/E169/cem/full/E169_box021_20231018_033_p1_R.log	2026-07-18T03:21:20+08:00
4	E169_box021_20231018_033_p1_G	box021_20231018_033_p1	box021_20231018_033	person1	box021	failure	G	false	false	true	false	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/0/trajectory_kinematic.npz	9152bdf8ea7ae0d2b12265dead9b310ef95f44535343e7e609d892c1f176b9ae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene_act_E168_rubber_hull.xml	scene_act_E168_rubber_hull	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/raw_contact_mask_3cm.npz	78c0862495ae0caf8cc9f33f9e308669d20d267ef881d7cda592b94d96bb874f	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_E169_box021_20231018_033_p1_G	examples/config/override/core4d_E169_box021_20231018_033_p1_G.yaml	08f3a9564df2693d1b9b63b35c24cd529cce7b47a95558ba49de285e52aa126d	pass	production	a100_user_allowlist_0_1_2_3	a100	0		not_run		workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_G.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_G_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_G_outdir_full/config_act.yaml	workspace/core4d/results/E169/render/full/E169_box021_20231018_033_p1_G_full.mp4	logs/E169/cem/full/E169_box021_20231018_033_p1_G.log	2026-07-18T03:21:20+08:00
5	E169_box021_20231018_033_p1_PR	box021_20231018_033_p1	box021_20231018_033	person1	box021	failure	PR	true	true	false	false	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/0/trajectory_kinematic.npz	9152bdf8ea7ae0d2b12265dead9b310ef95f44535343e7e609d892c1f176b9ae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene_act_E169_lowerbody_physics.xml	scene_act_E169_lowerbody_physics	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	bd653cdf2cda7c5f1577a628c213150ed9edba1ba301f99996a7ae4348535358	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/raw_contact_mask_3cm.npz	78c0862495ae0caf8cc9f33f9e308669d20d267ef881d7cda592b94d96bb874f	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_E169_box021_20231018_033_p1_PR	examples/config/override/core4d_E169_box021_20231018_033_p1_PR.yaml	2bb6555a34e713a5a62883a475a0654ac7fa3baa33da0572dd991afa4eb4d5a0	pass	production	a100_user_allowlist_0_1_2_3	a100	0		not_run		workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PR.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PR_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PR_outdir_full/config_act.yaml	workspace/core4d/results/E169/render/full/E169_box021_20231018_033_p1_PR_full.mp4	logs/E169/cem/full/E169_box021_20231018_033_p1_PR.log	2026-07-18T03:21:20+08:00
6	E169_box021_20231018_033_p1_PG	box021_20231018_033_p1	box021_20231018_033	person1	box021	failure	PG	true	false	true	false	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/0/trajectory_kinematic.npz	9152bdf8ea7ae0d2b12265dead9b310ef95f44535343e7e609d892c1f176b9ae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene_act_E169_lowerbody_physics.xml	scene_act_E169_lowerbody_physics	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	bd653cdf2cda7c5f1577a628c213150ed9edba1ba301f99996a7ae4348535358	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/raw_contact_mask_3cm.npz	78c0862495ae0caf8cc9f33f9e308669d20d267ef881d7cda592b94d96bb874f	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_E169_box021_20231018_033_p1_PG	examples/config/override/core4d_E169_box021_20231018_033_p1_PG.yaml	6f39cd967a460544fae5bba8e0dbb942b823ea8cb78b126d38824c02d2ba3181	pass	production	a100_user_allowlist_0_1_2_3	a100	0		not_run		workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PG.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PG_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PG_outdir_full/config_act.yaml	workspace/core4d/results/E169/render/full/E169_box021_20231018_033_p1_PG_full.mp4	logs/E169/cem/full/E169_box021_20231018_033_p1_PG.log	2026-07-18T03:21:20+08:00
7	E169_box021_20231018_033_p1_RG	box021_20231018_033_p1	box021_20231018_033	person1	box021	failure	RG	false	true	true	false	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/0/trajectory_kinematic.npz	9152bdf8ea7ae0d2b12265dead9b310ef95f44535343e7e609d892c1f176b9ae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene_act_E168_rubber_hull.xml	scene_act_E168_rubber_hull	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/raw_contact_mask_3cm.npz	78c0862495ae0caf8cc9f33f9e308669d20d267ef881d7cda592b94d96bb874f	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_E169_box021_20231018_033_p1_RG	examples/config/override/core4d_E169_box021_20231018_033_p1_RG.yaml	6cffe7585c71e2cf66f1900f82cdc344bc1fe08992f2ca0d5b1f580cba3ff658	pass	production	a100_user_allowlist_0_1_2_3	a100	0		not_run		workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_RG.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_RG_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_RG_outdir_full/config_act.yaml	workspace/core4d/results/E169/render/full/E169_box021_20231018_033_p1_RG_full.mp4	logs/E169/cem/full/E169_box021_20231018_033_p1_RG.log	2026-07-18T03:21:20+08:00
8	E169_box021_20231018_033_p1_PRG	box021_20231018_033_p1	box021_20231018_033	person1	box021	failure	PRG	true	true	true	false	dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/0/trajectory_kinematic.npz	9152bdf8ea7ae0d2b12265dead9b310ef95f44535343e7e609d892c1f176b9ae	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/scene_act_E169_lowerbody_physics.xml	scene_act_E169_lowerbody_physics	7c4348567d9243076837286b00efe2c5226821f7209cb7be258d26ae59a904e6	bd653cdf2cda7c5f1577a628c213150ed9edba1ba301f99996a7ae4348535358	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_033_p1/raw_contact_mask_3cm.npz	78c0862495ae0caf8cc9f33f9e308669d20d267ef881d7cda592b94d96bb874f	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_E169_box021_20231018_033_p1_PRG	examples/config/override/core4d_E169_box021_20231018_033_p1_PRG.yaml	b41c5de78427d652ae005bdecfa672a5ef6c722cc083263ea6e1899cb08f59bd	pass	production	a100_user_allowlist_0_1_2_3	a100	0		not_run		workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PRG.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PRG_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_033_p1_PRG_outdir_full/config_act.yaml	workspace/core4d/results/E169/render/full/E169_box021_20231018_033_p1_PRG_full.mp4	logs/E169/cem/full/E169_box021_20231018_033_p1_PRG.log	2026-07-18T03:21:21+08:00
9	E169_box021_20231018_032_p1_B0	box021_20231018_032_p1	box021_20231018_032	person1	box021	failure	B0	false	false	false	true	dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1/0/trajectory_kinematic.npz	9884275b1c6f75fad6bfd2a10b638bdc6bcbd5ded39687d7ea181cb55918cffc	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1/scene_act_E168_rubber_hull.xml	scene_act_E168_rubber_hull	42f87b9f6b076a66f2e3b196bd99a67f5d5d2f479227260c7a71d9343527ee06	42f87b9f6b076a66f2e3b196bd99a67f5d5d2f479227260c7a71d9343527ee06	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1/raw_contact_mask_3cm.npz	f4b3aeb46a1680eb7d7624c7719386d4682cd161c463d8d9d2520fa6a763eb3a	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1	examples/config/override/core4d_dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1.yaml	cc8cf3297d5ccf874026d661c1efb0b3c96b5e5081cd0ad3854d0f09bf4f3a3f	pass	reused	frozen_e168	a100	1	2	reused_complete		workspace/core4d/results/E168/s6_downstream/cem/full/E168_box021_20231018_032_p1_E167A.npz	workspace/core4d/results/E168/s6_downstream/cem/full/E168_box021_20231018_032_p1_E167A_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E168/s6_downstream/cem/full/E168_box021_20231018_032_p1_E167A_outdir_full/config_act.yaml	workspace/core4d/results/E168/s6_downstream/cem/full/E168_box021_20231018_032_p1_E167A_full.mp4	logs/E168/cem/full/E168_box021_20231018_032_p1_E167A.log	2026-07-18T03:21:21+08:00
10	E169_box021_20231018_032_p1_P	box021_20231018_032_p1	box021_20231018_032	person1	box021	failure	P	true	false	false	false	dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1/scene.xml	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1/0/trajectory_kinematic.npz	9884275b1c6f75fad6bfd2a10b638bdc6bcbd5ded39687d7ea181cb55918cffc	example_datasets/processed/core4d/unitree_g1/humanoid_object/dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1/scene_act_E169_lowerbody_physics.xml	scene_act_E169_lowerbody_physics	42f87b9f6b076a66f2e3b196bd99a67f5d5d2f479227260c7a71d9343527ee06	5188fa0f2a3d3d781df3babbf0cd8a1d68edfb0375c7bdd22090e5ca567ced5f	workspace/core4d/results/E168/s3_retarget/omnirt_v1/ref_fk/results/omnirt_v1_ref_fk/contact_masks/dcv3_omnirt_v1_ref_fk_box021_20231018_032_p1/raw_contact_mask_3cm.npz	f4b3aeb46a1680eb7d7624c7719386d4682cd161c463d8d9d2520fa6a763eb3a	3cm	omnirt_v1	ref_fk	rubber_hull	E167A_zOnlyBody	core4d_E169_box021_20231018_032_p1_P	examples/config/override/core4d_E169_box021_20231018_032_p1_P.yaml	2b0f6ead6a669786141d89334cc155a82315ca00ee1ea8466f038dce74d3b504	pass	production	a100_user_allowlist_0_1_2_3	a100	1		not_run		workspace/core4d/results/E169/cem/full/E169_box021_20231018_032_p1_P.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_032_p1_P_outdir_full/trajectory_mjwp_act.npz	workspace/core4d/results/E169/cem/full/E169_box021_20231018_032_p1_P_outdir_full/config_act.yaml	workspace/core4d/results/E169/render/full/E169_box021_20231018_032_p1_P_full.mp4	logs/E169/cem/full/E169_box021_20231018_032_p1_P.log	2026-07-18T03:21:21+08:00
