S2_ref_physics_pass,case,evidence,ref_hand_contact_pct,ref_leg_interference_pct,ref_object_bottom_min_m,ref_object_floor_contact_pct,ref_pelvis_z_min_m,variant
True,box021_p1,"pelvis_min=0.716m, ref_leg=0.0%, ref_hand=73.3%",73.29545454545455,0.0,-0.11906870157718658,56.25,0.715516611066714,E018b_box021_p1_canonical_t02
True,box021_p2,"pelvis_min=0.668m, ref_leg=9.3%, ref_hand=74.0%",74.0,9.333333333333334,-0.11884056479930877,48.66666666666667,0.6681640450902724,E018b_box021_p2_canonical_t02
True,box023_p1,"pelvis_min=0.628m, ref_leg=0.0%, ref_hand=47.8%",47.794117647058826,0.0,-0.036619266605377204,64.33823529411765,0.6281432904401107,E018b_box023_p1_canonical_t02
True,box023_p2,"pelvis_min=0.679m, ref_leg=0.0%, ref_hand=48.5%",48.529411764705884,0.0,-0.036605721449852,64.33823529411765,0.6788510606950348,E018b_box023_p2_canonical_t02
False,box025_p1,"pelvis_min=0.747m, ref_leg=66.5%, ref_hand=77.4%",77.41935483870968,66.53225806451613,-0.1652616409778595,70.56451612903226,0.7467749431428332,E018b_box025_p1_canonical_t02
True,box025_p2,"pelvis_min=0.745m, ref_leg=23.0%, ref_hand=69.8%",69.75806451612904,22.983870967741936,-0.16535796208381653,70.56451612903226,0.7451281936057247,E018b_box025_p2_canonical_t02
True,bucket001_p1,"pelvis_min=0.767m, ref_leg=0.0%, ref_hand=58.9%",58.87850467289719,0.0,-0.021986640667915336,0.0,0.7666160603698419,E018b_bucket001_p1_canonical_t02
True,bucket001_p2,"pelvis_min=0.747m, ref_leg=0.0%, ref_hand=69.7%",69.67213114754098,0.0,-0.021787993288040153,0.0,0.7473870561275534,E018b_bucket001_p2_canonical_t02
True,bucket005_s2_p1,"pelvis_min=0.687m, ref_leg=30.4%, ref_hand=66.2%",66.21621621621621,30.405405405405407,-0.0255173663854599,0.0,0.6873350448402287,E018b_bucket005_s2_p1_canonical_t02
True,bucket005_s2_p2,"pelvis_min=0.633m, ref_leg=5.1%, ref_hand=63.9%",63.85135135135135,5.0675675675675675,-0.025669715857505798,0.0,0.6333059714513776,E018b_bucket005_s2_p2_canonical_t02
True,bucket007_p1,"pelvis_min=0.781m, ref_leg=14.0%, ref_hand=61.6%",61.57024793388429,14.049586776859504,-0.0628322842121124,63.63636363636363,0.7809920825646138,E018b_bucket007_p1_canonical_t02
False,bucket007_p2,"pelvis_min=0.737m, ref_leg=66.3%, ref_hand=100.0%",100.0,66.3157894736842,-0.06181146526336667,54.21052631578947,0.7373678928490273,E018b_bucket007_p2_canonical_t02
True,desk021_p1,"pelvis_min=0.712m, ref_leg=4.9%, ref_hand=65.3%",65.29850746268657,4.850746268656716,-0.06300909364223478,58.2089552238806,0.7115040387600512,E018b_desk021_p1_canonical_t02
