frame,eval_time_s,npz_time_s,ref_contact_left,ref_contact_right,raw_contact_left,raw_contact_right,robot_contact_5cm_left,robot_contact_5cm_right,ref_contact_any,raw_contact_any,sim_contact_any,sim_hand_object_dist_left_m,sim_hand_object_dist_right_m,ref_hand_object_dist_left_m,ref_hand_object_dist_right_m,sim_min_hand_sdf_m,ref_min_hand_sdf_m,object_pos_lag_m,support_proxy_lag_m,contact_miss_reason,phase_shift_suggestion_frames
0,0.0,0.0166667,,,False,False,,,False,False,False,,,,,0.10750323917937582,0.1031230887721995,0.02775952947173276,,raw_or_retarget_questionable,0
1,0.02,0.0333334,,,False,False,,,False,False,False,,,,,0.11126479503839387,0.1027554115762,0.036223055960310065,,raw_or_retarget_questionable,0
2,0.04,0.0500001,,,False,False,,,False,False,False,,,,,0.11494175831781045,0.10238752168519077,0.04261732809269755,,raw_or_retarget_questionable,0
3,0.06,0.0666668,,,False,False,,,False,False,False,,,,,0.11834906340949564,0.1027578949664702,0.04745925457216126,,raw_or_retarget_questionable,0
4,0.08,0.0833335,,,False,False,,,False,False,False,,,,,0.1214991018310358,0.10313417610678216,0.05113764369179092,,raw_or_retarget_questionable,0
5,0.1,0.10000020000000001,,,False,False,,,False,False,False,,,,,0.12446950234607695,0.10343156150265803,0.05395284289623252,,raw_or_retarget_questionable,0
6,0.12,0.11666690000000002,,,False,False,,,False,False,False,,,,,0.1273326367984025,0.1037283642145585,0.05610447520169669,,raw_or_retarget_questionable,0
7,0.14,0.13333360000000002,,,False,False,,,False,False,False,,,,,0.13012256964290797,0.10417458469876167,0.057738595816442376,,raw_or_retarget_questionable,0
8,0.16,0.15000030000000003,,,False,False,,,False,False,False,,,,,0.13287349755749883,0.10462507507260649,0.058994933905232666,,raw_or_retarget_questionable,0
9,0.18,0.16666700000000004,,,False,False,,,False,False,False,,,,,0.13561488570103536,0.10422594509957644,0.05996976755033146,,raw_or_retarget_questionable,0
10,0.2,0.18333370000000004,,,False,False,,,False,False,False,,,,,0.1383832212731833,0.1037987554196323,0.06072787936698611,,raw_or_retarget_questionable,0
11,0.22,0.20000040000000005,,,False,False,,,False,False,False,,,,,0.14119713114142934,0.10424937227601777,0.06132266584046141,,raw_or_retarget_questionable,0
12,0.24,0.21666710000000006,,,False,False,,,False,False,False,,,,,0.14243847123917502,0.10473592127261716,0.06179050763680481,,raw_or_retarget_questionable,0
13,0.26,0.23333380000000006,,,False,False,,,False,False,False,,,,,0.14266550299830855,0.10464510402312538,0.062168575055812296,,raw_or_retarget_questionable,0
14,0.28,0.25000050000000007,,,False,False,,,False,False,False,,,,,0.1401421165111963,0.10451887839785318,0.062472720991638066,,raw_or_retarget_questionable,0
15,0.3,0.26666720000000005,,,False,False,,,False,False,False,,,,,0.1364566068293514,0.10592523543170812,0.06270990382806144,,raw_or_retarget_questionable,0
16,0.32,0.2833339,,,False,False,,,False,False,False,,,,,0.1318016249782203,0.10742570925952294,0.06290194809473729,,raw_or_retarget_questionable,0
17,0.34,0.3000006,,,False,False,,,False,False,False,,,,,0.1273207136458016,0.10975925238804035,0.0630646198159144,,raw_or_retarget_questionable,0
18,0.36,0.3166673,,,False,False,,,False,False,False,,,,,0.12342300488446328,0.11216526591318804,0.0631932368262864,,raw_or_retarget_questionable,0
19,0.38,0.33333399999999996,,,False,False,,,False,False,False,,,,,0.1204880909515959,0.1093988744322289,0.06328551158217573,,raw_or_retarget_questionable,0
20,0.4,0.35000069999999994,,,False,False,,,False,False,False,,,,,0.11714110459701638,0.1061292160149781,0.06335445075472106,,raw_or_retarget_questionable,0
21,0.42,0.3666673999999999,,,False,False,,,False,False,False,,,,,0.11354758877895138,0.10107837552054694,0.0634006201410375,,raw_or_retarget_questionable,0
22,0.44,0.3833340999999999,,,False,False,,,False,False,False,,,,,0.10913382088177442,0.09591582261950976,0.06343952488560223,,raw_or_retarget_questionable,0
23,0.46,0.4000007999999999,,,False,False,,,False,False,False,,,,,0.10468189025671676,0.09603352162681672,0.06348215823662857,,raw_or_retarget_questionable,0
24,0.48,0.41666749999999986,,,False,False,,,False,False,False,,,,,0.10030302632746052,0.09683680294469138,0.06352242084641344,,raw_or_retarget_questionable,0
25,0.5,0.43333419999999984,,,False,False,,,False,False,False,,,,,0.09662969720626907,0.09028146115254215,0.06357975127232537,,raw_or_retarget_questionable,0
26,0.52,0.4500008999999998,,,False,False,,,False,False,False,,,,,0.09432386981897573,0.0837809946572034,0.0636399404195608,,raw_or_retarget_questionable,0
27,0.54,0.4666675999999998,,,False,False,,,False,False,False,,,,,0.0944158727737287,0.07534696852151274,0.0636632944299554,,raw_or_retarget_questionable,0
