# variant	source_task	derived_task	mask_source_exp	mask_slug	person_idx	queue	role	wave
E016_box021_p1	box021_person1	box021_person1_freejoint_legobj_e016	E079	box021_person1	0	remote_gpu0	general	A
E016_box021_p2	box021_person2	box021_person2_freejoint_legobj_e016	E079	box021_person2	1	remote_gpu1	general	A
E016_box023_p1	box023_person1	box023_person1_freejoint_legobj_e016	E079	box023_person1	0	remote_gpu0	general	A
E016_box023_p2	box023_person2	box023_person2_freejoint_legobj_e016	E079	box023_person2	1	local	general	A
E016_box025_p1	box025_person1	box025_person1_freejoint_legobj_e016	E080	box025_person1	0	remote_gpu0	general	A
E016_box025_p2	box025_person2	box025_person2_freejoint_legobj_e016	E080	box025_person2	1	local	general	A
E016_bucket001_p1	bucket001_person1	bucket001_person1_freejoint_legobj_e016	E079	bucket001_person1	0	remote_gpu1	general	A
E016_bucket001_p2	bucket001_person2	bucket001_person2_freejoint_legobj_e016	E079	bucket001_person2	1	remote_gpu0	general	A
E016_bucket005_s2_p1	bucket005_s2_person1	bucket005_s2_person1_freejoint_legobj_e016	E079	bucket005_s2_person1	0	remote_gpu1	general	A
E016_bucket005_s2_p2	bucket005_s2_person2	bucket005_s2_person2_freejoint_legobj_e016	E079	bucket005_s2_person2	1	remote_gpu0	general	A
E016_bucket007_p1	bucket007_person1	bucket007_person1_freejoint_legobj_e016	E079	bucket007_person1	0	remote_gpu1	general	A
E016_bucket007_p2	bucket007_person2	bucket007_person2_freejoint_legobj_e016	E079	bucket007_person2	1	remote_gpu0	general	A
E016_desk021_p1	desk021_person1	desk021_person1_freejoint_legobj_e016	E079	desk021_person1	0	remote_gpu1	general	A
