# variant	source_task	derived_task	mask_source_exp	mask_slug	person_idx	split	role
E026_E081_box021_p1_legobj	box021_person1	box021_person1_legobj_e026_e081	E079	box021_person1	0	remote_gpu0	main
E026_E081_box021_p2_legobj	box021_person2	box021_person2_legobj_e026_e081	E079	box021_person2	1	remote_gpu1	main
E026_E081_box023_p1_legobj	box023_person1	box023_person1_legobj_e026_e081	E079	box023_person1	0	local	main
E026_E081_box023_p2_legobj	box023_person2	box023_person2_legobj_e026_e081	E079	box023_person2	1	remote_gpu0	main
E026_E081_box025_p1_legobj	box025_person1	box025_person1_legobj_e026_e081	E080	box025_person1	0	remote_gpu1	main
E026_E081_box025_p2_legobj	box025_person2	box025_person2_legobj_e026_e081	E080	box025_person2	1	local	main
E026_E081_bucket001_p1_legobj	bucket001_person1	bucket001_person1_legobj_e026_e081	E079	bucket001_person1	0	remote_gpu0	main
E026_E081_bucket001_p2_legobj	bucket001_person2	bucket001_person2_legobj_e026_e081	E079	bucket001_person2	1	remote_gpu1	main
E026_E081_bucket005_s2_p1_legobj	bucket005_s2_person1	bucket005_s2_person1_legobj_e026_e081	E079	bucket005_s2_person1	0	local	main
E026_E081_bucket005_s2_p2_legobj	bucket005_s2_person2	bucket005_s2_person2_legobj_e026_e081	E079	bucket005_s2_person2	1	remote_gpu0	main
E026_E081_bucket007_p1_legobj	bucket007_person1	bucket007_person1_legobj_e026_e081	E079	bucket007_person1	0	local	main
E026_E081_bucket007_p2_legobj	bucket007_person2	bucket007_person2_legobj_e026_e081	E079	bucket007_person2	1	remote_gpu1	main
E026_E081_desk021_p1_legobj	desk021_person1	desk021_person1_legobj_e026_e081	E079	desk021_person1	0	remote_gpu0	main
