case	selected_method	selected_variant	object_name	original_prefix	recommended_for_rl	reason
box021_p1	spider_E018b	E018b_box021_p1_canonical_t02	Box021	20231018-030-person1-Box021	no	fall_detected
box021_p2	spider_E018b	E018b_box021_p2_canonical_t02	Box021	20231018-030-person2-Box021	no	fall_detected_low_contact
box023_p1	spider_E022	E022_box023_p1_raw3_eval_axis	Box023	20231008-045-person1-Box023	maybe	mask_semantics_fixed_but_contact_low
box023_p2	spider_E018b	E018b_box023_p2_canonical_t02	Box023	20231008-045-person2-Box023	yes	gt_anchor_gate_stable_object_tracking
box025_p1	spider_E018b	E018b_box025_p1_canonical_t02	Box025	20231011-048-person1-Box025	maybe	object_tracking_ok_contact_moderate
box025_p2	spider_E018b	E018b_box025_p2_canonical_t02	Box025	20231011-048-person2-Box025	yes	strict_success_cleanest_case
bucket001_p1	spider_E024	E024_bucket001_p1_root025_gain2_stab_t065	bucket001	20231030-094-person1-bucket001	no	fall_detected
bucket001_p2	spider_E024	E024_bucket001_p2_root025_gain2_stab_t065	bucket001	20231030-094-person2-bucket001	maybe	stability_fixed_but_deep_penetration_high
bucket005_s2_p1	spider_E018b	E018b_bucket005_s2_p1_canonical_t02	bucket005	20231002-004-person1-bucket005	no	deep_penetration_high
bucket005_s2_p2	spider_E025	E025_bucket005_s2_p2_penalty_s4_hc1	bucket005	20231002-004-person2-bucket005	no	deep_penetration_high_after_penalty
bucket007_p1	spider_E025	E025_bucket007_p1_penalty_s4_hc1	Bucket007	20231020-055-person1-Bucket007	maybe	penalty_reduced_penetration_but_not_strict
bucket007_p2	spider_E018b	E018b_bucket007_p2_canonical_t02	Bucket007	20231020-055-person2-Bucket007	no	low_contact_and_retarget_quality_caveat
desk021_p1	spider_E018b	E018b_desk021_p1_canonical_t02	Desk021	20231008-007-person1-Desk021	maybe	category_coverage_with_data_quality_caveat
